t	I	a	y
0.0	1.12779	0.0	0.0
0.05	1.08249	0.0	0.0
0.1	1.05328	0.0	0.0
0.15	1.0121	0.0	0.0
0.2	0.95872	0.0	0.0
0.25	0.93518	0.0	0.0
0.3	0.90067	0.0	0.0
0.35	0.81146	0.0	0.0
0.4	0.7849	0.0	0.0
0.45	0.76666	0.0	0.0
0.5	0.75548	0.0	0.0
0.55	0.7805	0.0	0.0
0.6	0.79358	0.0	0.0
0.65	0.776	0.0	0.0
0.7	0.77391	0.0	0.0
0.75	0.76991	0.0	0.0
0.8	0.7587	0.0	0.0
0.85	0.786	0.0	0.0
0.9	0.80328	0.0	0.0
0.95	0.77797	0.0	0.0
1.0	0.77248	0.0	0.0
1.05	0.7692	0.0	0.0
1.1	0.75366	0.0	0.0
1.15	0.77704	0.0	0.0
1.2	0.80472	0.0	0.0
1.25	0.80865	0.0	0.0
1.3	0.80389	0.0	0.0
1.35	0.79845	0.0	0.0
1.4	0.77525	0.0	0.0
1.45	0.78284	0.0	0.0
1.5	0.80862	0.0	0.0
1.55	0.81593	0.0	0.0
1.6	0.80728	0.0	0.0
1.65	0.80322	0.0	0.0
1.7	0.78873	0.0	0.0
1.75	0.78818	0.0	0.0
1.8	0.81705	0.0	0.0
1.85	0.85013	0.0	0.0
1.9	0.84186	0.0	0.0
1.95	0.83751	0.0	0.0
2.0	0.82988	0.0	0.0
2.05	0.82367	0.0	0.0
2.1	0.84471	0.0	0.0
2.15	0.90137	0.0	0.0
2.2	0.89813	0.0	0.0
2.25	0.88431	0.0	0.0
2.3	0.873	0.0	0.0
2.35	0.8654	-0.00353	-4.432735728512541e-05
2.4	0.88927	-0.02356	-0.0002958505772344348
2.45	0.96536	-0.04045	-0.0005079437966524994
2.5	0.97284	-0.04398	-0.0005522711539376248
2.55	0.96039	-0.04516	-0.0005670887974493664
2.6	0.96005	-0.05184	-0.0006509717285158361
2.65	0.95857	-0.06676	-0.0008383270176642981
2.7	0.95831	-0.0809	-0.0010158875933049987
2.75	1.01906	-0.09857	-0.001237775526230825
2.8	1.03896	-0.11781	-0.0014793784594222732
2.85	1.03171	-0.13116	-0.001647018748305113
2.9	1.01852	-0.14373	-0.0018048643236801914
2.95	1.0162	-0.16454	-0.002066182257137262
3.0	1.01051	-0.18378	-0.0023077851903287104
3.05	1.01466	-0.1991	-0.0025001634094811527
3.1	1.0795	-0.21834	-0.0027417663426726013
