t	I	a	y
0.0	0.04868	0.0	0.0
0.05	0.04869	0.0	0.0
0.1	0.0488	0.0	0.0
0.15	0.04886	0.0	0.0
0.2	0.0489	0.0	0.0
0.25	0.04889	0.0	0.0
0.3	0.04903	0.0	0.0
0.35	0.04903	0.0	0.0
0.4	0.04892	0.0	0.0
0.45	0.04872	0.0	0.0
0.5	0.04872	0.0	0.0
0.55	0.04887	0.0	0.0
0.6	0.04865	0.0	0.0
0.65	0.04897	0.0	0.0
0.7	0.04887	0.0	0.0
0.75	0.04918	0.0	0.0
0.8	0.04922	0.0	0.0
0.85	0.04921	0.0	0.0
0.9	0.04924	0.0	0.0
0.95	0.04919	0.0	0.0
1.0	0.0497	0.0	0.0
1.05	0.04985	0.0	0.0
1.1	0.04959	0.0	0.0
1.15	0.04973	0.0	0.0
1.2	0.04985	0.0	0.0
1.25	0.04987	0.0	0.0
1.3	0.05005	0.0	0.0
1.35	0.05014	0.0	0.0
1.4	0.04994	0.0	0.0
1.45	0.04944	-0.000392699	-4.931248974082567e-06
1.5	0.04945	-0.00707	-8.878028782035033e-05
1.55	0.04968	-0.01374	-0.00017253764563672044
1.6	0.05008	-0.01414	-0.00017756057564070066
1.65	0.04997	-0.01414	-0.00017756057564070066
1.7	0.05029	-0.01414	-0.00017756057564070066
1.75	0.05046	-0.01414	-0.00017756057564070066
1.8	0.05052	-0.01414	-0.00017756057564070066
1.85	0.05046	-0.011	-0.00013813057510945594
1.9	0.0506	-0.011	-0.00013813057510945594
1.95	0.05055	-0.011	-0.00013813057510945594
2.0	0.0508	-0.011	-0.00013813057510945594
2.05	0.05051	-0.011	-0.00013813057510945594
2.1	0.05057	-0.011	-0.00013813057510945594
2.15	0.05019	-0.011	-0.00013813057510945594
2.2	0.05045	-0.011	-0.00013813057510945594
2.25	0.05017	-0.011	-0.00013813057510945594
2.3	0.05032	-0.011	-0.00013813057510945594
2.35	0.05043	-0.011	-0.00013813057510945594
2.4	0.05052	-0.011	-0.00013813057510945594
2.45	0.05045	-0.01139	-0.00014302793186333668
2.5	0.05042	-0.01492	-0.00018735528914846206
2.55	0.05023	-0.01846	-0.000231808219683687
2.6	0.0506	-0.01885	-0.0002367055764375677
2.65	0.05058	-0.01885	-0.0002367055764375677
2.7	0.05046	-0.01885	-0.0002367055764375677
2.75	0.05014	-0.01885	-0.0002367055764375677
2.8	0.05034	-0.01885	-0.0002367055764375677
2.85	0.05032	-0.02199	-0.0002761355769688124
2.9	0.05037	-0.04241	-0.0005325561536720025
2.95	0.05045	-0.07461	-0.0009369020189924098
3.0	0.05038	-0.09425	-0.0011835278821878386
3.05	0.05046	-0.09425	-0.0011835278821878386
3.1	0.05026	-0.08875	-0.0011144625946331104
3.15	0.05019	-0.05498	-0.0006904017290470808
3.2	0.04996	0.0	0.0
3.25	0.04977	0.0	0.0
3.3	0.04968	0.0	0.0
3.35	0.04997	0.0	0.0
3.4	0.04977	0.0	0.0
3.45	0.04985	0.0	0.0
3.5	0.04999	0.0	0.0
3.55	0.04977	0.0	0.0
3.6	0.0498	0.0	0.0
3.65	0.04985	0.0	0.0
3.7	0.04988	0.0	0.0
3.75	0.04993	0.0	0.0
3.8	0.04982	0.0	0.0
3.85	0.05028	-0.00353	-4.432735728512541e-05
3.9	0.04984	-0.01021	-0.00012821028835159504
3.95	0.05006	-0.011	-0.00013813057510945594
4.0	0.05011	-0.011	-0.00013813057510945594
4.05	0.04993	-0.011	-0.00013813057510945594
4.1	0.04987	-0.01178	-0.0001479252886172174
4.15	0.05003	-0.01257	-0.0001578455753750783
4.2	0.05	-0.01257	-0.0001578455753750783
4.25	0.04979	-0.01728	-0.00021699057617194535
4.3	0.05016	-0.02592	-0.00032548586425791803
4.35	0.04994	-0.03691	-0.00046349086611727447
4.4	0.05005	-0.05498	-0.0006904017290470808
4.45	0.05022	-0.08875	-0.0011144625946331104
4.5	0.05013	-0.12331	-0.0015484437469770013
4.55	0.0497	-0.14255	-0.0017900466801684498
4.6	0.04912	-0.16336	-0.0020513646136255206
4.65	0.0493	-0.19831	-0.0024902431227232917
4.7	0.04878	-0.23641	-0.002968677205602408
4.75	0.0489	-0.27803	-0.003491313072516549
4.8	0.04877	-0.30473	-0.0038265936502822283
4.85	0.04854	-0.30788	-0.0038661492240635725
4.9	0.04868	-0.30473	-0.0038265936502822283
4.95	0.04837	-0.30159	-0.003787163649750984
5.0	0.04848	-0.30159	-0.003787163649750984
5.05	0.04834	-0.3012	-0.0037822662929971034
5.1	0.04831	-0.29845	-0.0037477336492197392
5.15	0.04854	-0.28274	-0.003550458073313416
5.2	0.0484	-0.27018	-0.003392738071188437
5.25	0.04836	-0.27096	-0.0034025327846961984
5.3	0.04854	-0.27803	-0.003491313072516549
5.35	0.0486	-0.28746	-0.0036097286473603827
5.4	0.0484	-0.30473	-0.0038265936502822283
5.45	0.04872	-0.31966	-0.0040140745126807905
5.5	0.04852	-0.35657	-0.004477565378798064
5.55	0.04803	-0.40055	-0.00502983653273569
5.6	0.04767	-0.44454	-0.005582233259923413
5.65	0.04755	-0.4893	-0.0061442991273688
5.7	0.04735	-0.53171	-0.006676855281040802
5.75	0.04749	-0.56235	-0.007061611719345687
5.8	0.04756	-0.5812	-0.007298317295783255
5.85	0.04742	-0.59769	-0.00750538758519734
5.9	0.04762	-0.61654	-0.007742093161634906
