t	I	a	y
0.0	0.02603149	0.0	0.0
0.05	0.02632141	0.0	0.0
0.1	0.02670288	0.0	0.0
0.15	0.02679443	0.0	0.0
0.2	0.02697754	0.0	0.0
0.25	0.0269928	-0.00589049	-7.396879739786357e-05
0.3	0.02740479	-0.01570798	-0.0001972502101098029
0.35	0.0271759	-0.01845687	-0.00023176891525640586
0.4	0.02732849	-0.02199117	-0.0002761502690390741
0.45	0.02766418	-0.02945245	-0.0003698439869893178
0.5	0.02784729	-0.04162613	-0.0005227128433164525
0.55	0.02781677	-0.05497791	-0.0006903754842378099
0.6	0.02746582	-0.07382748	-0.0009270756610256234
0.65	0.02760315	-0.09738944	-0.0012229508506170776
0.7	0.0276947	-0.1233076	-0.0015484136093969773
0.75	0.02786255	-0.13155429	-0.0016519699759832863
0.8	0.02772522	-0.13665938	-0.0017160762503183348
0.85	0.0275116	-0.15825785	-0.0019872952578260015
0.9	0.02726746	-0.18221251	-0.002288101708948863
0.95	0.02690125	-0.20970147	-0.002633289513854393
1.0	0.02680969	-0.23090723	-0.002899577134257402
1.05	0.02641296	-0.26350128	-0.0033088712134979803
1.1	0.02632141	-0.28117275	-0.0035307776056915713
1.15	0.02635193	-0.29530993	-0.003708302769675744
1.2	0.02597046	-0.32358428	-0.004063352972070839
1.25	0.02581787	-0.36324692	-0.004561409633303503
1.3	0.02545166	-0.38563079	-0.0048424911638739855
1.35	0.02546692	-0.38916508	-0.0048868723920834035
1.4	0.02542114	-0.38798698	-0.004872078607489181
1.45	0.02542114	-0.3785622	-0.004753728581881899
1.5	0.02516174	-0.35500023	-0.004457853266717195
1.55	0.02522278	-0.35500023	-0.004457853266717195
1.6	0.0254364	-0.35500023	-0.004457853266717195
1.65	0.02540588	-0.35500023	-0.004457853266717195
1.7	0.02522278	-0.35500023	-0.004457853266717195
1.75	0.02526855	-0.35500023	-0.004457853266717195
1.8	0.02557373	-0.35500023	-0.004457853266717195
1.85	0.02545166	-0.35774913	-0.004492372097437048
1.9	0.02554321	-0.36128342	-0.004536753325646466
1.95	0.02548218	-0.36481772	-0.004581134679429134
