t	I	a	y
0.0	0.04356384	0.0	0.0
0.05	0.04379272	0.0	0.0
0.1	0.04408264	0.0	0.0
0.15	0.04421997	0.0	0.0
0.2	0.04388428	0.0	0.0
0.25	0.04434204	0.0	0.0
0.3	0.04397583	0.0	0.0
0.35	0.04425049	0.0	0.0
0.4	0.04405212	0.0	0.0
0.45	0.04402161	0.0	0.0
0.5	0.04380798	0.0	0.0
0.55	0.04394531	0.0	0.0
0.6	0.04417419	-0.0015708	-1.972504612563031e-05
0.65	0.04400635	-0.01021018	-0.00012821254867009682
0.7	0.04385376	-0.01570798	-0.0001972502101098029
0.75	0.04354858	-0.02120577	-0.0002662877459762589
0.8	0.04356384	-0.02670356	-0.0003353252818427149
0.85	0.04360962	-0.03769914	-0.00047340035357562685
0.9	0.04356384	-0.05811951	-0.0007298255764890706
0.95	0.04364014	-0.08796466	-0.001104600825009796
1.0	0.0430603	-0.11780981	-0.0014793760735305214
1.05	0.04252625	-0.13587398	-0.0017062137272555197
1.1	0.04206848	-0.15865055	-0.001992226519357409
1.15	0.04110718	-0.1884957	-0.002367001767878134
1.2	0.03944397	-0.22619484	-0.0028404021214537612
1.25	0.03881836	-0.26310858	-0.0033039399519665725
1.3	0.03808594	-0.28981214	-0.0036392652338092875
1.35	0.03756714	-0.3141595	-0.003945002946463557
1.4	0.03701782	-0.34243385	-0.004300053148858652
1.45	0.03645325	-0.3797403	-0.004768522366476121
1.5	0.03634644	-0.41076355	-0.0051580913995910695
1.55	0.03651428	-0.45003348	-0.005651216673719077
1.6	0.03669739	-0.49323041	-0.00619365456316116
1.65	0.03648376	-0.53289305	-0.006691711224393824
1.7	0.0365448	-0.57334109	-0.007199630408689304
1.75	0.03697205	-0.61850152	-0.0077667246057884255
1.8	0.03730774	-0.66915973	-0.008402856213180751
1.85	0.03739929	-0.72845734	-0.009147475574264045
1.9	0.03747559	-0.78854034	-0.009901957332836903
1.95	0.03779602	-0.82034899	-0.010301388889014666
2.0	0.03771973	-0.82309789	-0.01033590771973452
2.05	0.03796387	-0.8136731	-0.010217557568553989
2.1	0.03823853	-0.80424832	-0.010099207542946707
2.15	0.03858948	-0.80424832	-0.010099207542946707
2.2	0.03865051	-0.80424832	-0.010099207542946707
2.25	0.0400238	-0.80424832	-0.010099207542946707
2.3	0.04046631	-0.80424832	-0.010099207542946707
2.35	0.0402832	-0.80424832	-0.010099207542946707
2.4	0.04066467	-0.80424832	-0.010099207542946707
2.45	0.0411377	-0.80503372	-0.01010907006600952
2.5	0.04138184	-0.80974611	-0.010168245078813162
2.55	0.04151917	-0.81328041	-0.01021262643259583
2.6	0.04171753	-0.8168147	-0.01025700766080525
2.65	0.04252625	-0.82074169	-0.010306320150546075
2.7	0.04266357	-0.82623948	-0.010375357686412531
2.75	0.04299927	-0.83409347	-0.010473982791467431
2.8	0.04359436	-0.84194746	-0.010572607896522333
2.85	0.04374695	-0.85608464	-0.010750133060506505
2.9	0.04396057	-0.87179261	-0.010947383145043059
2.95	0.04423523	-0.88867869	-0.011159427139747085
3.0	0.04388428	-0.90477936	-0.011361608485815045
3.05	0.04425049	-0.92480703	-0.01161310244719708
3.1	0.04417419	-0.94562009	-0.011874458806068681
3.15	0.04386902	-0.96525506	-0.01212102150591931
3.2	0.04371643	-0.98960242	-0.01242675921857358
3.25	0.04348755	-1.01120089	-0.012697978226081246
3.3	0.04312134	-1.03594095	-0.013008647200266924
3.35	0.04295349	-1.06421531	-0.013363697528235269
3.4	0.04277039	-1.09327506	-0.01372861025369318
3.45	0.04283142	-1.12665451	-0.014147766855996573
3.5	0.04283142	-1.15217997	-0.014468298353245064
3.55	0.04312134	-1.18713021	-0.014907179876100839
3.6	0.04342651	-1.23778843	-0.015543311609066414
3.65	0.04443359	-1.28530505	-0.016139993249780733
3.7	0.04463196	-1.31632831	-0.01652956240846893
3.75	0.04423523	-1.34146107	-0.016845162644186014
3.8	0.04405212	-1.36659383	-0.017160762879903098
3.85	0.04373169	-1.38779959	-0.01742705050030611
3.9	0.04391479	-1.39486818	-0.017515813082298194
3.95	0.04399109	-1.39133389	-0.017471431854088778
4.0	0.04403687	-1.37444781	-0.01725938785938475
4.05	0.04446411	-1.35952524	-0.017072000297911012
4.1	0.04443359	-1.35716904	-0.017042412728722568
4.15	0.04444885	-1.35716904	-0.017042412728722568
4.2	0.04481506	-1.35716904	-0.017042412728722568
4.25	0.04440308	-1.35716904	-0.017042412728722568
4.3	0.04467773	-1.35716904	-0.017042412728722568
4.35	0.04450989	-1.35952524	-0.017072000297911012
4.4	0.04415894	-1.36973542	-0.01720021284658111
4.45	0.04402161	-1.38897769	-0.01744184428490033
4.5	0.04397583	-1.40821996	-0.01768347572321955
4.55	0.04389954	-1.44159941	-0.018102632325522946
4.6	0.04391479	-1.48754523	-0.01867958892011163
4.65	0.04396057	-1.53074216	-0.019222026809553712
4.7	0.04344177	-1.55980192	-0.019586939660584873
4.75	0.04307556	-1.58179308	-0.019863089804050698
4.8	0.0431366	-1.60221345	-0.02011951502696414
4.85	0.04292297	-1.62106302	-0.020356215203751957
4.9	0.04257202	-1.64383958	-0.020642227870280597
4.95	0.04283142	-1.66779425	-0.020943034446976705
5.0	0.04289246	-1.6980321	-0.021322740957028838
5.05	0.0428772	-1.71295467	-0.021510128518502578
5.1	0.04315186	-1.72866265	-0.021707378728612378
5.15	0.04290771	-1.74790492	-0.021949010166931602
5.2	0.04319763	-1.76557639	-0.022170916559125193
5.25	0.04342651	-1.78796025	-0.022451997964122422
5.3	0.04389954	-1.81034412	-0.022733079494692904
5.35	0.04354858	-1.82565939	-0.022925398317698048
5.4	0.04371643	-1.85039946	-0.023236067417456978
5.45	0.04396057	-1.86767823	-0.02345304254811916
5.5	0.04441833	-1.8857424	-0.02367988020184416
5.55	0.04434204	-1.90851896	-0.0239658928683728
5.6	0.04421997	-1.91637295	-0.024064517973427697
5.65	0.04452515	-1.91008976	-0.023985617914498426
5.7	0.04492187	-1.89359639	-0.023778505306899057
5.75	0.04508972	-1.8865278	-0.023689742724906974
5.8	0.04542542	-1.8865278	-0.023689742724906974
5.85	0.04542542	-1.8865278	-0.023689742724906974
5.9	0.04522705	-1.8865278	-0.023689742724906974
5.95	0.04533386	-1.8865278	-0.023689742724906974
6.0	0.04515076	-1.8865278	-0.023689742724906974
6.05	0.04521179	-1.8873132	-0.023699605247969786
6.1	0.04512024	-1.89359639	-0.023778505306899057
6.15	0.04444885	-1.90577007	-0.023931374163226195
6.2	0.04518127	-1.92893933	-0.02422231809128624
6.25	0.0464325	-1.97488516	-0.024799274811448176
6.3	0.04727173	-2.02161638	-0.02538609392909968
6.35	0.04699707	-2.05421043	-0.025795388008340255
6.4	0.04608154	-2.08444828	-0.02617509451839239
6.45	0.045578	-2.11664963	-0.02657945733610156
6.5	0.04521179	-2.14492399	-0.026934507664069907
6.55	0.04455566	-2.17908883	-0.027363526663862863
6.6	0.04455566	-2.21168288	-0.027772820743103444
6.65	0.04393005	-2.24663312	-0.028211702265959215
6.7	0.04370117	-2.28472496	-0.02869003388106625
6.75	0.04335022	-2.31457012	-0.029064809255160227
6.8	0.04356384	-2.3263511	-0.029212746849955954
6.85	0.04370117	-2.32949269	-0.029252196816633963
6.9	0.0435791	-2.32949269	-0.029252196816633963
6.95	0.0438385	-2.3247803	-0.029193021803830325
7.0	0.04406738	-2.32163871	-0.029153571837152316
7.05	0.04379272	-2.32163871	-0.029153571837152316
7.1	0.04414368	-2.32163871	-0.029153571837152316
7.15	0.04412842	-2.32163871	-0.029153571837152316
7.2	0.04399109	-2.32163871	-0.029153571837152316
7.25	0.04421997	-2.32163871	-0.029153571837152316
7.3	0.04434204	-2.32163871	-0.029153571837152316
7.35	0.0443573	-2.3239949	-0.02918315928076751
7.4	0.04406738	-2.3279219	-0.029232471896081587
7.45	0.04402161	-2.34166637	-0.029405065672961098
7.5	0.04429626	-2.37347502	-0.02980449722913886
7.55	0.0443573	-2.41353036	-0.030307485151902937
7.6	0.04620361	-2.45672729	-0.030849923041345016
7.65	0.04740906	-2.49560453	-0.03133811717951487
7.7	0.04876709	-2.52348618	-0.031688236120378556
7.75	0.04960632	-2.55136784	-0.03203835518681549
7.8	0.05046082	-2.5761079	-0.03234902416100117
7.85	0.05046082	-2.59220857	-0.03255120550706913
7.9	0.05006409	-2.61773403	-0.03287173700431762
7.95	0.04962158	-2.6409033	-0.03316268105795092
8.0	0.0486908	-2.67349735	-0.0335719751371915
8.05	0.04858398	-2.6994155	-0.03389743777039815
8.1	0.04838562	-2.70648409	-0.03398620035239023
8.15	0.04844666	-2.70648409	-0.03398620035239023
8.2	0.04905701	-2.68920532	-0.03376922522172805
8.25	0.04914856	-2.67506814	-0.033591700057743874
8.3	0.04925537	-2.67506814	-0.033591700057743874
8.35	0.04928589	-2.67506814	-0.033591700057743874
8.4	0.04907227	-2.67506814	-0.033591700057743874
8.45	0.04937744	-2.67506814	-0.033591700057743874
8.5	0.04927063	-2.67506814	-0.033591700057743874
8.55	0.04945374	-2.67742434	-0.03362128762693232
8.6	0.04916382	-2.67820974	-0.03363115014999513
8.65	0.04873657	-2.68606373	-0.03372977525505004
8.7	0.04820251	-2.69391771	-0.03382840023453169
8.75	0.0480957	-2.6994155	-0.03389743777039815
8.8	0.04801941	-2.7049133	-0.03396647543183785
8.85	0.04800415	-2.71590888	-0.034104550503570766
8.9	0.04800415	-2.73240225	-0.03431166311117013
8.95	0.04803467	-2.75125182	-0.03454836328795794
9.0	0.04760742	-2.77245759	-0.034814651033934205
9.05	0.04705811	-2.79641225	-0.03511545748505707
9.1	0.04669189	-2.81094213	-0.035297913910572645
9.15	0.04621887	-2.81958151	-0.035406401413117114
9.2	0.04434204	-2.84628507	-0.03574172669495983
9.25	0.04382324	-2.8890893	-0.0362792333228705
9.3	0.04338074	-2.92796654	-0.03676742746104035
9.35	0.043396	-2.95977519	-0.03716685901721811
9.4	0.04429626	-2.98765685	-0.037516978083655055
9.45	0.04454041	-3.01161151	-0.037817784534777917
9.5	0.04510498	-3.03713697	-0.03813831603202641
9.55	0.04623413	-3.06384052	-0.03847364118829587
9.6	0.05033875	-3.09290028	-0.03883855403932703
9.65	0.05270386	-3.13059942	-0.03931195439290266
9.7	0.05380249	-3.16986936	-0.03980507979260391
9.75	0.05433655	-3.21267359	-0.040342586420514595
9.8	0.0524292	-3.25783402	-0.040909680617613714
9.85	0.0521698	-3.29592585	-0.0413880121071475
9.9	0.05172729	-3.3277345	-0.04178744366332526
9.95	0.05116272	-3.35011837	-0.04206852519389574
10.0	0.0508728	-3.36778984	-0.04229043158608933
10.05	0.05030823	-3.3960642	-0.042645481914057676
10.1	0.04971313	-3.42669475	-0.043030119685641216
10.15	0.0483551	-3.4573253	-0.043414757457224756
10.2	0.04554749	-3.48559965	-0.04376980765961985
10.25	0.04524231	-3.50091493	-0.043962126608198246
10.3	0.04467773	-3.517801	-0.04417417047732902
10.35	0.04421997	-3.54528996	-0.04451935828223455
10.4	0.04400635	-3.57356431	-0.04487440848462965
10.45	0.04469299	-3.59908977	-0.045194939981878145
10.5	0.04542542	-3.62461523	-0.04551547147912663
10.55	0.04615784	-3.64896259	-0.045821209191780905
10.6	0.04821777	-3.67095376	-0.04609735946081998
10.65	0.0483551	-3.67409535	-0.04613680942749799
10.7	0.048172	-3.67409535	-0.04613680942749799
10.75	0.04829407	-3.67056106	-0.04609242819928857
10.8	0.04983521	-3.66152897	-0.04597900930963945
10.85	0.05194092	-3.65092609	-0.04584586549943794
10.9	0.05264282	-3.6473918	-0.04580148427122852
10.95	0.05276489	-3.6473918	-0.04580148427122852
11.0	0.05238342	-3.6473918	-0.04580148427122852
11.05	0.05238342	-3.6473918	-0.04580148427122852
11.1	0.05258179	-3.6473918	-0.04580148427122852
11.15	0.05285645	-3.6473918	-0.04580148427122852
11.2	0.05271912	-3.6473918	-0.04580148427122852
11.25	0.05291748	-3.64935529	-0.04582614045331231
11.3	0.05169678	-3.65367499	-0.04588038433015779
11.35	0.05088806	-3.66270707	-0.04599380309423367
11.4	0.05058289	-3.66781216	-0.04605790936856872
11.45	0.05085754	-3.68823253	-0.04631433459148216
11.5	0.05233765	-3.71336529	-0.046629934827199244
11.55	0.05500793	-3.74203234	-0.04698991629112575
11.6	0.06314087	-3.77933879	-0.04745838550874322
11.65	0.06544495	-3.82017952	-0.04797123582899685
11.7	0.06581116	-3.85709326	-0.04843477365950967
11.75	0.06411743	-3.894007	-0.04889831149002248
11.8	0.05775452	-3.93170614	-0.04937171184359811
11.85	0.05477905	-3.96861988	-0.04983524967411092
11.9	0.05290222	-4.00239203	-0.050259337537945724
11.95	0.05131531	-4.03262988	-0.05063904404799785
12.0	0.04931641	-4.06051154	-0.05098916311443479
12.05	0.04760742	-4.08957129	-0.0513540758398927
12.1	0.04658508	-4.11784565	-0.05170912616786104
12.15	0.04560852	-4.1472981	-0.052078970154850364
12.2	0.04521179	-4.17360896	-0.05240936417516167
12.25	0.0450592	-4.19402933	-0.05266578939807512
12.3	0.04492187	-4.2105227	-0.05287290200567448
12.35	0.04585266	-4.22937227	-0.053109602182462294
12.4	0.04853821	-4.25214883	-0.053395614848990934
12.45	0.04949951	-4.2729619	-0.05365697133343579
12.5	0.05039978	-4.29220417	-0.053898602771755004
12.55	0.0513916	-4.31498073	-0.05418461543828365
12.6	0.05375671	-4.3385427	-0.054480490753448345
12.65	0.05496216	-4.36014116	-0.05475170963538277
12.7	0.05628967	-4.37938343	-0.05499334107370198
12.75	0.05708313	-4.3962695	-0.05520538494283276
12.8	0.0597229	-4.41394098	-0.0554272914605996
12.85	0.06088257	-4.43161245	-0.055649197852793195
12.9	0.06208801	-4.45085472	-0.05589082929111241
12.95	0.06335449	-4.47480938	-0.05619163574223528
13.0	0.06542969	-4.50033484	-0.05651216723948377
13.05	0.06584167	-4.526253	-0.05683762999826367
13.1	0.06639099	-4.55374195	-0.05718281767759595
13.15	0.06564331	-4.58123091	-0.05752800548250148
13.2	0.06364441	-4.60086588	-0.057774568182352104
13.25	0.06176758	-4.62167894	-0.05803592454122371
13.3	0.0584259	-4.6479898	-0.05836631856153502
13.35	0.05378723	-4.67665686	-0.05872630015103476
13.4	0.04808044	-4.70139692	-0.05903696912522044
13.45	0.04829407	-4.70610931	-0.05909614413802409
13.5	0.04840088	-4.70610931	-0.05909614413802409
13.55	0.04853821	-4.69079403	-0.058903825189445695
13.6	0.04463196	-4.67626416	-0.058721368889503356
13.65	0.0440979	-4.67626416	-0.058721368889503356
13.7	0.04450989	-4.67626416	-0.058721368889503356
13.75	0.04428101	-4.67626416	-0.058721368889503356
13.8	0.04454041	-4.67626416	-0.058721368889503356
13.85	0.04454041	-4.67626416	-0.058721368889503356
13.9	0.04458618	-4.67626416	-0.058721368889503356
13.95	0.04432678	-4.67626416	-0.058721368889503356
14.0	0.04470825	-4.67626416	-0.058721368889503356
14.05	0.04463196	-4.67783496	-0.05874109393562899
14.1	0.04441833	-4.67783496	-0.05874109393562899
14.15	0.04455566	-4.68019115	-0.05877068137924418
14.2	0.04637146	-4.68568894	-0.058839718915110646
14.25	0.04660034	-4.68725974	-0.058859443961236275
14.3	0.04626465	-4.68725974	-0.058859443961236275
14.35	0.04594421	-4.69668453	-0.0589777941124168
14.4	0.04510498	-4.7155341	-0.05921449428920462
14.45	0.04402161	-4.73045667	-0.05940188185067835
14.5	0.04310608	-4.74145225	-0.05953995692241127
14.55	0.04220581	-4.75362593	-0.059692825778738405
14.6	0.04151917	-4.77051201	-0.05990486977344243
14.65	0.0413208	-4.78857618	-0.060131707427167426
14.7	0.04202271	-4.80978195	-0.06039799517314368
14.75	0.0428009	-4.82863152	-0.060634695349931496
14.8	0.04420471	-4.8396271	-0.060772770421664415
14.85	0.04528809	-4.84944458	-0.0608960517088031
14.9	0.04623413	-4.86161826	-0.061048920565130234
14.95	0.04829407	-4.88321673	-0.0613201395726379
15.0	0.05543518	-4.91188378	-0.06168012103656441
15.05	0.06184387	-4.94761943	-0.06212886520805624
15.1	0.06907654	-4.98335507	-0.06257760925397483
15.15	0.07611084	-5.01320022	-0.06295238450249556
15.2	0.08612061	-5.03597679	-0.06323839729459745
15.25	0.09007263	-5.05639715	-0.06349482239193763
15.3	0.0932312	-5.07131973	-0.06368221007898463
