t	I	a	y
0.0	0.04136658	0.0	0.0
0.05	0.04170227	0.0	0.0
0.1	0.04202271	0.0	0.0
0.15	0.04225159	0.0	0.0
0.2	0.04206848	0.0	0.0
0.25	0.0423584	0.0	0.0
0.3	0.04267883	0.0	0.0
0.35	0.04272461	-0.0011781	-1.4793784594222734e-05
0.4	0.04273987	-0.0015708	-1.972504612563031e-05
0.45	0.04255676	-0.0015708	-1.972504612563031e-05
0.5	0.04258728	-0.0015708	-1.972504612563031e-05
0.55	0.04269409	-0.0015708	-1.972504612563031e-05
0.6	0.04296875	-0.00628319	-7.890005892927115e-05
0.65	0.04299927	-0.01963497	-0.0002465626998506286
0.7	0.0428772	-0.02670356	-0.0003353252818427149
0.75	0.0426178	-0.02905975	-0.0003649127254579102
0.8	0.04284668	-0.03298675	-0.00041422534077198604
0.85	0.04278564	-0.03887724	-0.0004881941381698496
0.9	0.04289246	-0.04869472	-0.0006114754253085388
0.95	0.04295349	-0.0644027	-0.0008087256354183417
1.0	0.0431366	-0.08639386	-0.0010848757788841658
1.05	0.04394531	-0.11113392	-0.0013955447530698427
1.1	0.04394531	-0.1272346	-0.0015977262247110532
1.15	0.04421997	-0.13626668	-0.0017111449887869273
1.2	0.04406738	-0.13823018	-0.0017358012964439652
1.25	0.04437256	-0.13665938	-0.0017160762503183348
1.3	0.04399109	-0.13665938	-0.0017160762503183348
1.35	0.0438385	-0.13665938	-0.0017160762503183348
1.4	0.04389954	-0.13665938	-0.0017160762503183348
1.45	0.04359436	-0.13665938	-0.0017160762503183348
1.5	0.04364014	-0.13665938	-0.0017160762503183348
1.55	0.04371643	-0.13665938	-0.0017160762503183348
1.6	0.04414368	-0.13823018	-0.0017358012964439652
1.65	0.04371643	-0.13862288	-0.0017407325579753728
1.7	0.04370117	-0.14451337	-0.0018147013553732362
1.75	0.04467773	-0.16218484	-0.0020366077475668268
1.8	0.04510498	-0.16964613	-0.002130301591090321
1.85	0.04518127	-0.17514392	-0.002199339126956777
1.9	0.04585266	-0.21284306	-0.0026727394805324037
1.95	0.04553223	-0.2517203	-0.0031609336187022534
2.0	0.04536438	-0.25603999	-0.0032151773699744864
2.05	0.04541016	-0.25603999	-0.0032151773699744864
2.1	0.04551697	-0.25603999	-0.0032151773699744864
2.15	0.04545593	-0.25603999	-0.0032151773699744864
2.2	0.04551697	-0.25603999	-0.0032151773699744864
2.25	0.04533386	-0.2528984	-0.0031757274032964762
2.3	0.04598999	-0.252113	-0.0031658648802336607
2.35	0.0456543	-0.2513276	-0.0031560023571708456
2.4	0.0453186	-0.2513276	-0.0031560023571708456
2.45	0.04556274	-0.2532911	-0.0031806586648278836
