Time (s)	Light Intensity (% of scale max)	Position (m)
0.0	1.0	0.0
0.04	1.2	0.0
0.05	1.1	0.0
0.08	1.1	0.0
0.1	1.2	0.0
0.12	0.9	0.0
0.15	1.1	0.0
0.16	1.0	0.0
0.2	0.9	0.0
0.24	1.2	0.0
0.25	0.9	0.0
0.28	1.0	0.0
0.3	1.1	0.0
0.32	0.9	0.0
0.35	1.2	0.0
0.36	0.9	0.0
0.4	1.3	0.0
0.44	1.0	0.0
0.45	1.3	0.0
0.48	1.1	0.0
0.5	1.5	0.0
0.52	1.3	0.0
0.55	1.3	0.0
0.56	1.1	0.0
0.6	1.1	0.0
0.64	1.3	0.0
0.65	1.1	0.0
0.68	1.2	0.0
0.7	1.3	0.0
0.72	1.0	0.0
0.75	1.3	0.0
0.76	1.1	0.0
0.8	1.0	0.0
0.84	1.3	0.0
0.85	1.2	0.0
0.88	1.1	0.0
0.9	1.3	0.0
0.92	1.2	0.0
0.95	1.1	0.0
0.96	1.3	0.0
1.0	1.2	0.0
1.04	1.0	0.0
1.05	1.2	0.0
1.08	1.0	0.0
1.1	0.9	0.0
1.12	1.1	0.0
1.15	1.0	3.75e-05
1.16	0.9	3.75e-05
1.2	1.1	3.75e-05
1.24	1.0	3.75e-05
1.25	1.0	3.75e-05
1.28	1.2	3.75e-05
1.3	1.1	3.75e-05
1.32	1.0	3.75e-05
1.35	1.2	3.75e-05
1.36	1.1	0.0
1.4	1.1	0.0
1.44	1.1	0.0
1.45	1.3	0.0
1.48	1.1	0.0
1.5	1.0	0.0
1.52	1.2	0.0
1.55	1.1	0.0
1.56	1.0	0.0
1.6	1.3	-0.0005625
1.64	0.9	-0.000675
1.65	1.0	-0.001
1.68	1.0	-0.0012
1.7	0.9	-0.0014
1.72	1.2	-0.0019
1.75	1.0	-0.0024
1.76	0.9	-0.0028
1.8	1.2	-0.0031
1.84	1.1	-0.0037
1.85	1.0	-0.0045
1.88	1.1	-0.0053
1.9	1.2	-0.0058
1.92	1.0	-0.0062
1.95	1.0	-0.0069
1.96	1.1	-0.0072
2.0	1.0	-0.0077
2.04	0.9	-0.0084
2.05	1.2	-0.0086
2.08	1.0	-0.0085
2.1	1.0	-0.0082
2.12	1.2	-0.0082
2.15	1.1	-0.0082
2.16	1.0	-0.0082
2.2	1.3	-0.0082
2.24	1.0	-0.0082
2.25	1.0	-0.0082
2.28	1.2	-0.0082
2.3	1.1	-0.0082
2.32	1.0	-0.0082
2.35	1.3	-0.0082
2.36	1.1	-0.0083
2.4	1.3	-0.0087
2.44	1.3	-0.0093
2.45	1.0	-0.0099
2.48	1.2	-0.0107
2.5	1.3	-0.0116
2.52	1.1	-0.0122
2.55	1.1	-0.0128
2.56	1.2	-0.0132
2.6	1.2	-0.0137
2.64	1.1	-0.0142
2.65	1.2	-0.0148
2.68	1.4	-0.0154
2.7	1.3	-0.016
2.72	1.3	-0.0165
2.75	1.3	-0.017
2.76	1.3	-0.0173
2.8	1.5	-0.0177
2.84	1.3	-0.0182
2.85	1.2	-0.0185
2.88	1.3	-0.0191
2.9	1.5	-0.0196
2.92	1.5	-0.0197
2.95	1.5	-0.0197
2.96	1.4	-0.0196
3.0	1.6	-0.0194
3.04	1.6	-0.0194
3.05	1.5	-0.0194
3.08	1.3	-0.0194
3.1	1.4	-0.0194
3.12	1.6	-0.0194
3.15	1.5	-0.0194
3.16	1.5	-0.0194
3.2	1.4	-0.0194
3.24	1.4	-0.0194
3.25	1.6	-0.0194
3.28	1.5	-0.0194
3.3	1.5	-0.0196
3.32	1.5	-0.0199
3.35	1.5	-0.0204
3.36	1.6	-0.021
3.4	1.5	-0.0215
3.44	1.4	-0.022
3.45	1.4	-0.0225
3.48	1.4	-0.0231
3.5	1.6	-0.0237
3.52	1.5	-0.0244
3.55	1.2	-0.0249
3.56	1.3	-0.0253
3.6	1.5	-0.0257
3.64	1.1	-0.026
3.65	1.1	-0.0262
3.68	1.3	-0.0266
3.7	1.1	-0.0271
3.72	1.4	-0.0273
3.75	1.2	-0.0275
3.76	1.0	-0.0275
3.8	1.3	-0.0275
3.84	1.2	-0.027
3.85	1.2	-0.027
3.88	1.4	-0.027
3.9	1.2	-0.027
3.92	1.1	-0.027
3.95	1.3	-0.027
3.96	1.2	-0.027
4.0	1.0	-0.027
4.04	1.3	-0.027
4.05	1.1	-0.027
4.08	1.0	-0.027
4.1	1.3	-0.0272
4.12	1.1	-0.0273
4.15	1.4	-0.0274
4.16	1.2	-0.0277
4.2	1.3	-0.028
4.24	1.3	-0.0287
4.25	1.1	-0.0295
4.28	1.4	-0.0303
4.3	1.0	-0.0313
4.32	1.5	-0.032
4.35	1.0	-0.0325
4.36	1.3	-0.0327
4.4	0.8	-0.033
4.44	1.2	-0.0333
4.45	0.7	-0.0336
4.48	1.0	-0.034
4.5	0.9	-0.0348
4.52	0.8	-0.0356
4.55	0.9	-0.0362
4.56	0.7	-0.0367
4.6	0.9	-0.0372
4.64	0.7	-0.0373
4.65	1.0	-0.0373
4.68	0.8	-0.0371
4.7	1.1	-0.0368
4.72	0.8	-0.0368
4.75	1.2	-0.0368
4.76	0.8	-0.0368
4.8	1.2	-0.0368
4.84	0.9	-0.0368
4.85	1.3	-0.0368
4.88	1.0	-0.0368
4.9	1.4	-0.0368
4.92	1.0	-0.0369
4.95	1.4	-0.0371
4.96	1.0	-0.0374
5.0	1.4	-0.0385
5.04	1.1	-0.0394
5.05	1.1	-0.0401
5.08	1.4	-0.0406
5.1	1.4	-0.041
5.12	1.4	-0.0414
5.15	1.3	-0.0418
5.16	1.4	-0.0422
5.2	1.5	-0.0428
5.24	1.4	-0.0432
5.25	1.2	-0.0436
5.28	1.0	-0.0443
5.3	1.4	-0.0451
5.32	1.2	-0.0458
5.35	1.4	-0.0463
5.36	1.2	-0.0467
5.4	1.2	-0.0468
5.44	1.3	-0.0468
5.45	1.0	-0.0466
5.48	1.3	-0.0464
5.5	0.9	-0.0464
5.52	1.2	-0.0464
