Time (s)	Light Intensity (% of scale max)	Position (m)
0.0	0.0	0.0
0.05	0.0	0.0
0.1	0.0	0.0
0.15	0.0	0.0
0.2	0.0	0.0
0.25	0.0	-0.00014063
0.3	0.0	-0.000375
0.35	0.0	-0.00044062
0.4	0.0	-0.000525
0.45	0.0	-0.00070313
0.5	0.0	-0.00099375
0.55	0.0	-0.0013
0.6	0.0	-0.0018
0.65	0.0	-0.0023
0.7	0.0	-0.0029
0.75	0.0	-0.0031
0.8	0.0	-0.0033
0.85	0.0	-0.0038
0.9	0.0	-0.0043
0.95	0.0	-0.005
1.0	0.0	-0.0055
1.05	0.0	-0.0063
1.1	0.0	-0.0067
1.15	0.0	-0.0071
1.2	0.0	-0.0077
1.25	0.0	-0.0087
1.3	0.0	-0.0092
1.35	0.0	-0.0093
1.4	0.0	-0.0093
1.45	0.0	-0.009
1.5	0.0	-0.0085
1.55	0.0	-0.0085
1.6	0.0	-0.0085
1.65	0.0	-0.0085
1.7	0.0	-0.0085
1.75	0.0	-0.0085
1.8	0.0	-0.0085
1.85	0.0	-0.0085
1.9	0.0	-0.0086
1.95	0.0	-0.0087
2.0	0.0	-0.0089
2.05	0.0	-0.0091
2.1	0.0	-0.0094
2.15	0.0	-0.0097
2.2	0.0	-0.0105
2.25	0.0	-0.0113
2.3	0.0	-0.012
2.35	0.0	-0.0124
2.4	0.0	-0.0126
2.45	0.0	-0.013
2.5	0.0	-0.0134
2.55	0.0	-0.014
2.6	0.0	-0.0144
2.65	0.0	-0.0149
2.7	0.0	-0.0153
2.75	0.0	-0.0156
2.8	0.0	-0.0157
2.85	0.0	-0.0157
2.9	0.0	-0.0156
2.95	0.0	-0.0154
3.0	0.0	-0.0154
3.05	0.0	-0.0154
3.1	0.0	-0.0154
3.15	0.0	-0.0154
3.2	0.0	-0.0154
3.25	0.0	-0.0154
3.3	0.0	-0.0154
3.35	0.0	-0.0154
3.4	0.0	-0.0155
3.45	0.0	-0.0157
3.5	0.0	-0.0161
3.55	0.0	-0.0165
3.6	0.0	-0.0169
3.65	0.0	-0.0173
3.7	0.0	-0.0177
3.75	0.0	-0.0184
3.8	0.0	-0.0191
3.85	0.0	-0.0194
3.9	0.0	-0.0197
3.95	0.0	-0.0201
4.0	0.0	-0.0205
4.05	0.0	-0.0209
4.1	0.0	-0.0212
4.15	0.0	-0.0214
4.2	0.0	-0.0218
4.25	0.0	-0.0218
4.3	0.0	-0.0218
4.35	0.0	-0.0213
4.4	0.0	-0.021
4.45	0.0	-0.021
