Time (s)	Light Intensity (% of scale max)	Position (m)
0.0	0.04868	0.0
0.05	0.04869	0.0
0.1	0.0488	0.0
0.15	0.04886	0.0
0.2	0.0489	0.0
0.25	0.04889	0.0
0.3	0.04903	0.0
0.35	0.04903	0.0
0.4	0.04892	0.0
0.45	0.04872	0.0
0.5	0.04872	0.0
0.55	0.04887	0.0
0.6	0.04865	0.0
0.65	0.04897	0.0
0.7	0.04887	0.0
0.75	0.04918	0.0
0.8	0.04922	0.0
0.85	0.04921	0.0
0.9	0.04924	0.0
0.95	0.04919	0.0
1.0	0.0497	0.0
1.05	0.04985	0.0
1.1	0.04959	0.0
1.15	0.04973	0.0
1.2	0.04985	0.0
1.25	0.04987	0.0
1.3	0.05005	0.0
1.35	0.05014	0.0
1.4	0.04994	0.0
1.45	0.04944	-9.375e-06
1.5	0.04945	-0.00016875
1.55	0.04968	-0.00032812
1.6	0.05008	-0.0003375
1.65	0.04997	-0.0003375
1.7	0.05029	-0.0003375
1.75	0.05046	-0.0003375
1.8	0.05052	-0.0003375
1.85	0.05046	-0.0002625
1.9	0.0506	-0.0002625
1.95	0.05055	-0.0002625
2.0	0.0508	-0.0002625
2.05	0.05051	-0.0002625
2.1	0.05057	-0.0002625
2.15	0.05019	-0.0002625
2.2	0.05045	-0.0002625
2.25	0.05017	-0.0002625
2.3	0.05032	-0.0002625
2.35	0.05043	-0.0002625
2.4	0.05052	-0.0002625
2.45	0.05045	-0.00027188
2.5	0.05042	-0.00035625
2.55	0.05023	-0.00044063
2.6	0.0506	-0.00045
2.65	0.05058	-0.00045
2.7	0.05046	-0.00045
2.75	0.05014	-0.00045
2.8	0.05034	-0.00045
2.85	0.05032	-0.000525
2.9	0.05037	-0.001
2.95	0.05045	-0.0018
3.0	0.05038	-0.0022
3.05	0.05046	-0.0022
3.1	0.05026	-0.0021
3.15	0.05019	-0.0013
3.2	0.04996	0.0
3.25	0.04977	0.0
3.3	0.04968	0.0
3.35	0.04997	0.0
3.4	0.04977	0.0
3.45	0.04985	0.0
3.5	0.04999	0.0
3.55	0.04977	0.0
3.6	0.0498	0.0
3.65	0.04985	0.0
3.7	0.04988	0.0
3.75	0.04993	0.0
3.8	0.04982	0.0
3.85	0.05028	-8.4375e-05
3.9	0.04984	-0.00024375
3.95	0.05006	-0.0002625
4.0	0.05011	-0.0002625
4.05	0.04993	-0.0002625
4.1	0.04987	-0.00028125
4.15	0.05003	-0.0003
4.2	0.05	-0.0003
4.25	0.04979	-0.0004125
4.3	0.05016	-0.00061875
4.35	0.04994	-0.00088125
4.4	0.05005	-0.0013
4.45	0.05022	-0.0021
4.5	0.05013	-0.0029
4.55	0.0497	-0.0034
4.6	0.04912	-0.0039
4.65	0.0493	-0.0047
4.7	0.04878	-0.0056
4.75	0.0489	-0.0066
4.8	0.04877	-0.0073
4.85	0.04854	-0.0074
4.9	0.04868	-0.0073
4.95	0.04837	-0.0072
5.0	0.04848	-0.0072
5.05	0.04834	-0.0072
5.1	0.04831	-0.0071
5.15	0.04854	-0.0067
5.2	0.0484	-0.0065
5.25	0.04836	-0.0065
5.3	0.04854	-0.0066
5.35	0.0486	-0.0069
5.4	0.0484	-0.0073
5.45	0.04872	-0.0076
5.5	0.04852	-0.0085
5.55	0.04803	-0.0096
5.6	0.04767	-0.0106
5.65	0.04755	-0.0117
5.7	0.04735	-0.0127
5.75	0.04749	-0.0134
5.8	0.04756	-0.0139
5.85	0.04742	-0.0143
5.9	0.04762	-0.0147
5.95	0.04724	-0.0149
6.0	0.04721	-0.015
6.05	0.04713	-0.015
6.1	0.04732	-0.015
6.15	0.04729	-0.015
6.2	0.04703	-0.015
6.25	0.0472	-0.0146
6.3	0.04701	-0.0144
6.35	0.04747	-0.0143
6.4	0.04738	-0.0143
6.45	0.04713	-0.0143
6.5	0.04741	-0.0143
6.55	0.04735	-0.0144
6.6	0.04721	-0.0147
6.65	0.04732	-0.015
6.7	0.04707	-0.0154
6.75	0.04729	-0.0163
6.8	0.047	-0.0174
6.85	0.04715	-0.0185
6.9	0.04695	-0.0197
6.95	0.04729	-0.0207
7.0	0.04707	-0.0215
7.05	0.04724	-0.0222
7.1	0.04726	-0.0226
7.15	0.04721	-0.0227
7.2	0.04716	-0.0225
7.25	0.04716	-0.0224
7.3	0.04713	-0.0224
7.35	0.04723	-0.0224
7.4	0.04735	-0.0224
7.45	0.04739	-0.0222
7.5	0.04707	-0.0222
7.55	0.04733	-0.0222
7.6	0.04712	-0.0222
7.65	0.04692	-0.0223
7.7	0.04707	-0.0224
7.75	0.0473	-0.0225
7.8	0.04707	-0.0229
7.85	0.04721	-0.024
7.9	0.04742	-0.0253
7.95	0.04747	-0.0265
8.0	0.04747	-0.0275
8.05	0.04741	-0.0282
8.1	0.04749	-0.0291
8.15	0.04739	-0.0303
8.2	0.04733	-0.0314
8.25	0.04756	-0.0321
8.3	0.04773	-0.0324
8.35	0.04741	-0.0324
8.4	0.047	-0.0321
8.45	0.04733	-0.0319
8.5	0.04715	-0.0319
8.55	0.04671	-0.0319
8.6	0.04675	-0.0319
8.65	0.04637	-0.0316
8.7	0.04671	-0.0316
8.75	0.04655	-0.0317
8.8	0.0463	-0.0319
8.85	0.04677	-0.0322
8.9	0.04678	-0.033
8.95	0.04686	-0.0339
9.0	0.04675	-0.0354
9.05	0.04753	-0.0368
9.1	0.04825	-0.0379
9.15	0.0486	-0.0388
9.2	0.04765	-0.0397
9.25	0.04744	-0.0407
9.3	0.04735	-0.0416
9.35	0.04768	-0.0424
9.4	0.04836	-0.0429
9.45	0.0484	-0.0429
9.5	0.04852	-0.0428
9.55	0.04849	-0.0423
9.6	0.04848	-0.0422
9.65	0.04863	-0.0422
9.7	0.04866	-0.0422
9.75	0.04834	-0.0421
9.8	0.04871	-0.0419
9.85	0.04872	-0.0419
9.9	0.04875	-0.0419
9.95	0.04886	-0.042
10.0	0.04799	-0.0425
10.05	0.04823	-0.0428
10.1	0.04874	-0.0434
10.15	0.04915	-0.0443
10.2	0.04831	-0.0455
10.25	0.04836	-0.047
10.3	0.04884	-0.0485
10.35	0.04929	-0.0496
10.4	0.04884	-0.0507
10.45	0.04808	-0.0519
10.5	0.04776	-0.0532
10.55	0.04797	-0.0538
10.6	0.04759	-0.0539
10.65	0.0475	-0.0539
10.7	0.04758	-0.0537
10.75	0.04808	-0.0533
10.8	0.04842	-0.0532
10.85	0.04832	-0.0532
10.9	0.04819	-0.0532
10.95	0.04817	-0.0532
11.0	0.04825	-0.0532
11.05	0.04805	-0.0532
11.1	0.04802	-0.0533
11.15	0.04823	-0.0533
11.2	0.04739	-0.0535
11.25	0.04735	-0.0539
11.3	0.04779	-0.0545
11.35	0.04791	-0.055
11.4	0.04799	-0.0558
11.45	0.04781	-0.0565
11.5	0.04703	-0.0575
11.55	0.04672	-0.0587
11.6	0.04625	-0.0599
11.65	0.04599	-0.0606
11.7	0.04611	-0.0608
11.75	0.04613	-0.0611
11.8	0.04584	-0.0612
11.85	0.04593	-0.0611
11.9	0.04613	-0.0606
11.95	0.04623	-0.0603
12.0	0.04623	-0.0603
12.05	0.04628	-0.0603
12.1	0.04633	-0.0603
12.15	0.04634	-0.0603
12.2	0.04633	-0.0604
12.25	0.04651	-0.0604
12.3	0.04631	-0.0606
12.35	0.0459	-0.0608
12.4	0.04614	-0.0613
12.45	0.04573	-0.0622
12.5	0.04565	-0.0633
12.55	0.04498	-0.0646
12.6	0.0441	-0.0658
12.65	0.04405	-0.0666
12.7	0.04402	-0.0672
12.75	0.04355	-0.0674
12.8	0.04381	-0.0674
12.85	0.04369	-0.0672
12.9	0.04353	-0.0666
12.95	0.04366	-0.0665
13.0	0.04352	-0.0665
13.05	0.0437	-0.0665
13.1	0.04352	-0.0665
13.15	0.04343	-0.0665
13.2	0.04369	-0.0665
13.25	0.04329	-0.0666
13.3	0.04315	-0.0667
13.35	0.0434	-0.0671
13.4	0.04344	-0.0675
13.45	0.0434	-0.0685
13.5	0.04317	-0.0696
13.55	0.04311	-0.0706
13.6	0.04277	-0.0715
13.65	0.04265	-0.0722
13.7	0.04231	-0.0729
13.75	0.04253	-0.0736
13.8	0.04243	-0.0738
13.85	0.04225	-0.0737
13.9	0.04218	-0.0735
13.95	0.04271	-0.0733
14.0	0.04239	-0.0732
14.05	0.0425	-0.0732
14.1	0.0425	-0.0732
14.15	0.04239	-0.0729
14.2	0.0425	-0.0728
14.25	0.04221	-0.0728
14.3	0.04224	-0.0729
14.35	0.04231	-0.0729
14.4	0.04221	-0.0733
14.45	0.04236	-0.0737
14.5	0.0425	-0.0744
14.55	0.04276	-0.0754
14.6	0.04317	-0.0764
14.65	0.0428	-0.0775
14.7	0.04311	-0.0783
14.75	0.04312	-0.079
14.8	0.04314	-0.0795
14.85	0.04335	-0.0798
14.9	0.04324	-0.08
14.95	0.04347	-0.0801
15.0	0.04356	-0.0798
15.05	0.04391	-0.0793
15.1	0.04376	-0.0793
15.15	0.04375	-0.0793
15.2	0.04401	-0.0793
15.25	0.04376	-0.0788
15.3	0.04379	-0.0787
15.35	0.04396	-0.0787
15.4	0.04373	-0.0787
15.45	0.04349	-0.0789
15.5	0.04349	-0.0795
15.55	0.0434	-0.0802
15.6	0.04384	-0.0809
15.65	0.0441	-0.0816
15.7	0.04449	-0.0822
15.75	0.0452	-0.0827
15.8	0.04649	-0.0832
15.85	0.04742	-0.0838
15.9	0.04781	-0.0845
15.95	0.04845	-0.0851
16.0	0.04842	-0.0857
16.05	0.04849	-0.0861
16.1	0.04822	-0.0865
16.15	0.04832	-0.0866
16.2	0.04852	-0.0866
16.25	0.04939	-0.086
16.3	0.04944	-0.0859
16.35	0.04956	-0.0859
16.4	0.0499	-0.0859
16.45	0.04984	-0.0859
16.5	0.04968	-0.0859
16.55	0.04965	-0.0859
16.6	0.04977	-0.086
16.65	0.04941	-0.086
16.7	0.04933	-0.0864
16.75	0.04855	-0.087
16.8	0.04877	-0.0882
16.85	0.04984	-0.0894
16.9	0.05103	-0.0902
16.95	0.05255	-0.0911
17.0	0.05716	-0.0918
17.05	0.0589	-0.0924
17.1	0.05928	-0.0926
17.15	0.06003	-0.0928
17.2	0.06015	-0.0929
17.25	0.06093	-0.093
17.3	0.06085	-0.0932
17.35	0.06099	-0.0929
17.4	0.06546	-0.0925
17.45	0.06554	-0.0925
17.5	0.06555	-0.0925
17.55	0.06575	-0.0925
17.6	0.0654	-0.0924
17.65	0.06566	-0.0924
17.7	0.06578	-0.0924
17.75	0.06563	-0.0925
17.8	0.06577	-0.0925
17.85	0.06561	-0.0926
17.9	0.06551	-0.0927
17.95	0.06302	-0.0931
18.0	0.06194	-0.0935
18.05	0.06221	-0.0939
18.1	0.06126	-0.0948
18.15	0.06042	-0.0957
18.2	0.05869	-0.0966
18.25	0.05826	-0.0972
18.3	0.0582	-0.0977
18.35	0.05875	-0.0982
18.4	0.05859	-0.0986
18.45	0.05914	-0.0989
18.5	0.05919	-0.0989
18.55	0.05919	-0.0989
18.6	0.05919	-0.0987
18.65	0.0645	-0.0982
18.7	0.06454	-0.0982
18.75	0.06462	-0.0982
18.8	0.06448	-0.0982
18.85	0.06441	-0.0982
18.9	0.06439	-0.0982
18.95	0.06432	-0.0982
19.0	0.0645	-0.0982
19.05	0.06432	-0.0983
19.1	0.06438	-0.0984
19.15	0.06259	-0.0986
19.2	0.05957	-0.099
19.25	0.05937	-0.0992
19.3	0.06081	-0.0997
19.35	0.06297	-0.1003
19.4	0.06517	-0.101
19.45	0.07307	-0.1019
19.5	0.07657	-0.1028
19.55	0.07822	-0.1037
19.6	0.0788	-0.1038
19.65	0.07901	-0.1038
19.7	0.07895	-0.1038
19.75	0.07906	-0.1038
19.8	0.07835	-0.1038
19.85	0.07944	-0.1037
19.9	0.08287	-0.1032
19.95	0.08395	-0.1031
20.0	0.0838	-0.1031
20.05	0.08395	-0.1031
20.1	0.08409	-0.1031
20.15	0.0843	-0.1031
20.2	0.08444	-0.1031
20.25	0.08446	-0.1031
20.3	0.08453	-0.1031
20.35	0.0847	-0.1031
20.4	0.08472	-0.1032
20.45	0.08463	-0.1032
20.5	0.08452	-0.1033
20.55	0.07861	-0.1037
20.6	0.0778	-0.104
20.65	0.07747	-0.1043
20.7	0.07692	-0.1047
20.75	0.07468	-0.1051
20.8	0.07391	-0.1054
20.85	0.07298	-0.1057
20.9	0.07161	-0.1061
20.95	0.06908	-0.1066
21.0	0.06807	-0.107
21.05	0.06688	-0.1076
21.1	0.06596	-0.1081
21.15	0.06509	-0.1085
21.2	0.06509	-0.1086
21.25	0.06499	-0.1088
21.3	0.06483	-0.1089
21.35	0.06485	-0.1092
21.4	0.06511	-0.1097
21.45	0.06511	-0.1101
21.5	0.06573	-0.1104
21.55	0.06645	-0.1106
21.6	0.06725	-0.1109
21.65	0.06743	-0.1112
21.7	0.06828	-0.1114
21.75	0.06859	-0.1114
21.8	0.07001	-0.1113
21.85	0.07431	-0.111
21.9	0.07524	-0.111
21.95	0.07553	-0.111
22.0	0.07584	-0.111
22.05	0.07581	-0.111
22.1	0.07608	-0.111
22.15	0.07649	-0.111
22.2	0.07907	-0.1107
22.25	0.08047	-0.1107
22.3	0.08022	-0.1107
22.35	0.08022	-0.1107
22.4	0.08035	-0.1107
22.45	0.07976	-0.1108
22.5	0.07593	-0.111
22.55	0.073	-0.1114
22.6	0.07146	-0.1116
22.65	0.07191	-0.112
22.7	0.07317	-0.1122
22.75	0.07434	-0.1125
22.8	0.07562	-0.1128
22.85	0.07645	-0.1132
22.9	0.07823	-0.1136
22.95	0.07887	-0.1138
23.0	0.0791	-0.114
23.05	0.07936	-0.1143
23.1	0.07933	-0.1146
23.15	0.07909	-0.115
23.2	0.0787	-0.1152
23.25	0.07837	-0.1155
23.3	0.07695	-0.1158
23.35	0.07605	-0.116
23.4	0.07556	-0.1161
23.45	0.07394	-0.1164
23.5	0.07294	-0.1167
23.55	0.07314	-0.1168
23.6	0.07303	-0.1168
23.65	0.07079	-0.1171
23.7	0.06952	-0.1174
23.75	0.06923	-0.1176
23.8	0.06915	-0.1176
23.85	0.06921	-0.1176
23.9	0.06923	-0.1176
23.95	0.06917	-0.1174
24.0	0.06943	-0.117
24.05	0.06952	-0.117
24.1	0.06946	-0.117
24.15	0.0695	-0.117
24.2	0.06949	-0.117
24.25	0.06985	-0.117
24.3	0.06989	-0.117
24.35	0.06969	-0.117
24.4	0.07007	-0.117
24.45	0.06979	-0.1171
24.5	0.06964	-0.1171
24.55	0.06956	-0.1171
24.6	0.06897	-0.1174
24.65	0.06821	-0.1176
24.7	0.0668	-0.118
24.75	0.06461	-0.1185
24.8	0.06291	-0.1189
24.85	0.06038	-0.1194
24.9	0.05934	-0.1197
24.95	0.05815	-0.1201
25.0	0.05782	-0.1203
25.05	0.05664	-0.1205
25.1	0.05646	-0.1208
25.15	0.05591	-0.1211
25.2	0.05524	-0.1214
25.25	0.05489	-0.1215
25.3	0.0547	-0.1217
25.35	0.0545	-0.1219
25.4	0.05399	-0.1221
25.45	0.05392	-0.1222
25.5	0.05322	-0.1226
25.55	0.05264	-0.123
25.6	0.05237	-0.1233
25.65	0.05264	-0.1234
25.7	0.05205	-0.1237
25.75	0.05202	-0.124
