Time (s)	Light Intensity (% of scale max)	Position (m)
0.0	0.0	0.0
0.05	0.0	0.0
0.1	0.0	0.0
0.15	0.0	0.0
0.2	0.0	0.0
0.25	0.0	0.0
0.3	0.0	0.0001125
0.35	0.0	0.00030938
0.4	0.0	0.0004125
0.45	0.0	0.0004125
0.5	0.0	0.0004125
0.55	0.0	0.0004125
0.6	0.0	0.0004125
0.65	0.0	0.0004125
0.7	0.0	0.0004125
0.75	0.0	0.0004125
0.8	0.0	0.0004125
0.85	0.0	0.0004125
0.9	0.0	0.0004125
0.95	0.0	0.0004125
1.0	0.0	0.0004125
1.05	0.0	0.0004125
1.1	0.0	0.0004125
1.15	0.0	0.00032812
1.2	0.0	0.0
1.25	0.0	-0.0001875
1.3	0.0	-0.00043125
1.35	0.0	-0.00087187
1.4	0.0	-0.0014
1.45	0.0	-0.002
1.5	0.0	-0.0025
1.55	0.0	-0.0029
1.6	0.0	-0.0033
1.65	0.1	-0.0038
1.7	0.0	-0.0043
1.75	0.0	-0.0049
1.8	0.0	-0.0054
1.85	0.0	-0.0061
1.9	0.0	-0.0067
1.95	0.0	-0.0073
2.0	0.0	-0.0082
2.05	0.0	-0.0085
2.1	0.0	-0.0083
2.15	0.0	-0.0081
2.2	0.0	-0.0081
2.25	0.0	-0.0081
2.3	0.0	-0.0081
2.35	0.0	-0.0081
2.4	0.0	-0.0081
2.45	0.0	-0.0081
2.5	0.0	-0.0081
2.55	0.0	-0.0083
2.6	0.0	-0.0088
2.65	0.0	-0.0095
2.7	0.0	-0.0104
2.75	0.0	-0.0111
2.8	0.0	-0.0117
2.85	0.0	-0.0123
2.9	0.0	-0.0129
2.95	0.0	-0.0134
3.0	0.0	-0.0143
3.05	0.0	-0.015
3.1	0.0	-0.0158
3.15	0.0	-0.0166
3.2	0.0	-0.0174
3.25	0.0	-0.0177
3.3	0.0	-0.0176
3.35	0.0	-0.0174
3.4	0.0	-0.0173
3.45	0.0	-0.0173
3.5	0.0	-0.0173
3.55	0.0	-0.0173
3.6	0.0	-0.0174
3.65	0.0	-0.0176
3.7	0.0	-0.0182
3.75	0.0	-0.019
3.8	0.0	-0.0198
3.85	0.0	-0.0207
3.9	0.0	-0.0218
3.95	0.0	-0.0231
4.0	0.0	-0.0243
4.05	0.0	-0.0255
4.1	0.0	-0.0265
4.15	0.0	-0.027
4.2	0.0	-0.027
4.25	0.0	-0.027
4.3	0.0	-0.027
4.35	0.0	-0.0267
4.4	0.0	-0.0266
4.45	0.0	-0.0266
