Time (s)	Light Intensity (% of scale max)	Position (m)
0.0	1.7	0.0
0.04	1.7	0.0
0.05	1.7	0.0
0.08	1.7	0.0
0.1	1.6	0.0
0.12	1.6	0.0
0.15	1.7	0.0
0.16	1.6	0.0
0.2	1.6	0.0
0.24	1.7	0.0
0.25	1.7	0.0
0.28	1.7	0.0
0.3	1.8	0.0
0.32	1.8	0.0
0.35	1.8	0.0
0.36	1.8	0.0
0.4	1.8	0.0
0.44	1.9	0.0
0.45	1.9	0.0
0.48	2.0	0.0
0.5	2.0	0.0
0.52	1.9	0.0
0.55	2.0	0.0
0.56	2.0	0.0
0.6	2.0	0.0
0.64	2.0	0.0
0.65	1.9	0.0
0.68	1.9	0.0
0.7	1.9	0.0
0.72	1.9	0.0
0.75	1.9	0.0
0.76	1.9	0.0
0.8	1.9	0.0
0.84	1.9	0.0
0.85	1.9	0.0
0.88	1.9	0.0
0.9	1.8	0.0
0.92	1.8	0.0
0.95	1.8	0.0
0.96	1.8	0.0
1.0	1.8	0.0
1.04	1.8	0.0
1.05	1.8	0.0
1.08	1.8	0.0
1.1	1.8	0.0
1.12	1.8	0.0
1.15	1.8	0.0
1.16	1.8	0.0
1.2	1.8	0.0
1.24	1.8	0.0
1.25	1.8	0.0
1.28	1.9	0.0
1.3	1.9	0.0
1.32	1.8	0.0
1.35	1.8	0.0
1.36	1.8	0.0
1.4	1.9	0.0
1.44	1.9	0.0
1.45	1.8	0.0
1.48	1.8	0.0
1.5	1.8	0.0
1.52	1.8	0.0
1.55	1.9	0.0
1.56	1.8	0.0
1.6	1.8	0.0
1.64	1.8	0.0
1.65	1.8	0.0
1.68	1.8	0.0
1.7	1.8	0.0
1.72	1.8	0.0
1.75	1.8	0.0
1.76	1.8	0.0
1.8	1.8	0.0
1.84	1.8	0.0
1.85	1.8	0.0
1.88	1.8	0.0
1.9	1.8	0.0
1.92	1.8	0.0
1.95	1.8	0.0
1.96	1.8	0.0
2.0	1.8	0.0
2.04	1.7	0.0
2.05	1.7	0.0
2.08	1.8	0.0
2.1	1.8	0.0
2.12	1.7	0.0
2.15	1.7	0.0
2.16	1.7	0.0
2.2	1.7	0.0
2.24	1.7	0.0
2.25	1.7	0.0
2.28	1.7	0.0
2.3	1.7	0.0
2.32	1.7	0.0
2.35	1.7	0.0
2.36	1.7	0.0
2.4	1.6	0.0
2.44	1.6	0.0
2.45	1.7	0.0
2.48	1.7	0.0
2.5	1.7	0.0
2.52	1.7	0.0
2.55	1.7	0.0
2.56	1.7	0.0
2.6	1.8	0.0
2.64	1.8	0.0
2.65	1.7	0.0
2.68	1.7	0.0
2.7	1.7	0.0
2.72	1.8	0.0
2.75	1.8	0.0
2.76	1.8	0.0
2.8	1.8	0.0
2.84	1.8	0.0
2.85	1.9	0.0
2.88	1.9	0.0
2.9	1.9	0.0
2.92	1.9	0.0
2.95	1.9	0.0
2.96	1.9	0.0
3.0	2.0	0.0
3.04	2.0	0.0
3.05	2.0	0.0
3.08	2.0	0.0
3.1	2.0	0.0
3.12	2.0	0.0
3.15	2.0	0.0
3.16	1.9	0.0
3.2	1.8	0.0
3.24	1.7	0.0
3.25	1.6	0.0
3.28	1.7	0.0
3.3	1.6	0.0
3.32	1.6	0.0
3.35	1.5	0.0
3.36	1.5	0.0
3.4	1.6	0.0
3.44	1.6	0.0
3.45	1.7	0.0
3.48	1.8	0.0
3.5	1.8	0.0
3.52	2.0	0.0
3.55	2.1	0.0
3.56	2.1	0.0
3.6	2.1	0.0
3.64	2.0	0.0
3.65	2.0	0.0
3.68	2.0	0.0
3.7	2.0	0.0
3.72	2.0	0.0
3.75	2.0	0.0
3.76	2.0	0.0
3.8	2.0	0.0
3.84	1.9	0.0
3.85	2.0	0.0
3.88	2.0	0.0
3.9	1.9	0.0
3.92	1.9	0.0
3.95	1.9	0.0
3.96	1.9	0.0
4.0	1.9	0.0
4.04	1.9	0.0
4.05	1.8	0.0
4.08	1.8	0.0
4.1	1.7	0.0
4.12	1.7	0.0
4.15	1.7	0.0
4.16	1.7	0.0
4.2	1.7	0.0
4.24	1.7	0.0
4.25	1.8	0.0
4.28	1.8	0.0
4.3	1.7	0.0
4.32	1.7	0.0
4.35	1.7	0.0
4.36	1.7	0.0
4.4	1.8	0.0
4.44	1.7	0.0
4.45	1.7	0.0
4.48	1.7	0.0
4.5	1.7	0.0
4.52	1.7	0.0
4.55	1.7	0.0
4.56	1.7	0.0
4.6	1.7	0.0
4.64	1.7	0.0
4.65	1.8	0.0
4.68	1.8	0.0
4.7	1.7	0.0
4.72	1.7	0.0
4.75	1.7	0.0
4.76	1.8	0.0
4.8	1.8	0.0
4.84	1.7	0.0
4.85	1.7	0.0
4.88	1.7	0.0
4.9	1.8	0.0
4.92	1.8	0.0
4.95	1.8	0.0
4.96	1.7	0.0
5.0	1.7	0.0
5.04	1.7	0.0
5.05	1.8	0.0
5.08	1.8	0.0
5.1	1.8	0.0
5.12	1.8	0.0
5.15	1.8	0.0
5.16	1.8	0.0
5.2	1.8	0.0
5.24	1.8	0.0
5.25	1.8	0.0
5.28	1.7	0.0
5.3	1.8	0.0
5.32	1.8	0.0
5.35	1.7	0.0
5.36	1.7	0.0
5.4	1.7	0.0
5.44	1.7	0.0
5.45	1.8	0.0
5.48	1.7	0.0
5.5	1.7	0.0
5.52	1.7	0.0
5.55	1.7	0.0
5.56	1.7	0.0
5.6	1.7	0.0
5.64	1.7	0.0
5.65	1.7	0.0
5.68	1.7	0.0
5.7	1.7	0.0
5.72	1.7	0.0
5.75	1.7	0.0
5.76	1.7	0.0
5.8	1.7	0.0
5.84	1.8	0.0
5.85	1.8	0.0
5.88	1.8	0.0
5.9	1.8	0.0
5.92	1.8	0.0
5.95	1.8	0.0
5.96	1.8	0.0
6.0	1.8	0.0
6.04	1.8	0.0
6.05	1.8	0.0
6.08	1.8	0.0
6.1	1.8	0.0
6.12	1.8	0.0
6.15	1.8	0.0
6.16	1.8	0.0
6.2	1.8	0.0
6.24	1.8	0.0
6.25	1.8	0.0
6.28	1.8	0.0
6.3	1.7	0.0
6.32	1.7	0.0
6.35	1.7	0.0
6.36	1.7	0.0
6.4	1.7	0.0
6.44	1.7	0.0
6.45	1.6	0.0
6.48	1.6	0.0
6.5	1.6	0.0
6.52	1.6	0.0
6.55	1.6	0.0
6.56	1.7	0.0
6.6	1.7	0.0
6.64	1.7	0.0
6.65	1.7	0.0
6.68	1.7	0.0
6.7	1.6	0.0
6.72	1.7	0.0
6.75	1.7	0.0
6.76	1.7	0.0
6.8	1.7	0.0
6.84	1.6	0.0
6.85	1.7	0.0
6.88	1.7	0.0
6.9	1.7	0.0
6.92	1.6	0.0
6.95	1.6	0.0
6.96	1.6	0.0
7.0	1.7	0.0
7.04	1.6	0.0
7.05	1.6	0.0
7.08	1.6	0.0
7.1	1.6	0.0
7.12	1.6	0.0
7.15	1.6	0.0
7.16	1.6	0.0
7.2	1.6	0.0
