Time (s)	Light Intensity (% of scale max)	Position (m)
0.0	1.12779	0.0
0.05	1.08249	0.0
0.1	1.05328	0.0
0.15	1.0121	0.0
0.2	0.95872	0.0
0.25	0.93518	0.0
0.3	0.90067	0.0
0.35	0.81146	0.0
0.4	0.7849	0.0
0.45	0.76666	0.0
0.5	0.75548	0.0
0.55	0.7805	0.0
0.6	0.79358	0.0
0.65	0.776	0.0
0.7	0.77391	0.0
0.75	0.76991	0.0
0.8	0.7587	0.0
0.85	0.786	0.0
0.9	0.80328	0.0
0.95	0.77797	0.0
1.0	0.77248	0.0
1.05	0.7692	0.0
1.1	0.75366	0.0
1.15	0.77704	0.0
1.2	0.80472	0.0
1.25	0.80865	0.0
1.3	0.80389	0.0
1.35	0.79845	0.0
1.4	0.77525	0.0
1.45	0.78284	0.0
1.5	0.80862	0.0
1.55	0.81593	0.0
1.6	0.80728	0.0
1.65	0.80322	0.0
1.7	0.78873	0.0
1.75	0.78818	0.0
1.8	0.81705	0.0
1.85	0.85013	0.0
1.9	0.84186	0.0
1.95	0.83751	0.0
2.0	0.82988	0.0
2.05	0.82367	0.0
2.1	0.84471	0.0
2.15	0.90137	0.0
2.2	0.89813	0.0
2.25	0.88431	0.0
2.3	0.873	0.0
2.35	0.8654	-8.4375e-05
2.4	0.88927	-0.0005625
2.45	0.96536	-0.00096563
2.5	0.97284	-0.001
2.55	0.96039	-0.0011
2.6	0.96005	-0.0012
2.65	0.95857	-0.0016
2.7	0.95831	-0.0019
2.75	1.01906	-0.0024
2.8	1.03896	-0.0028
2.85	1.03171	-0.0031
2.9	1.01852	-0.0034
2.95	1.0162	-0.0039
3.0	1.01051	-0.0044
3.05	1.01466	-0.0048
3.1	1.0795	-0.0052
3.15	1.09224	-0.0055
3.2	1.0746	-0.0055
3.25	1.06204	-0.0055
3.3	1.05353	-0.0055
3.35	1.04411	-0.0055
3.4	1.08743	-0.0055
3.45	1.09914	-0.0055
3.5	1.08057	-0.0055
3.55	1.04868	-0.0055
3.6	1.03699	-0.0055
3.65	1.01932	-0.0055
3.7	1.04356	-0.0055
3.75	1.06108	-0.0055
3.8	1.05788	-0.0055
3.85	1.01172	-0.0055
3.9	1.00186	-0.0055
3.95	0.98665	-0.0055
4.0	0.98825	-0.0056
4.05	1.00729	-0.0058
4.1	1.01625	-0.0064
4.15	0.96097	-0.0068
4.2	0.94774	-0.0072
4.25	0.93582	-0.0074
4.3	0.91843	-0.0077
4.35	0.94154	-0.0082
4.4	0.9597	-0.0089
4.45	0.93523	-0.0092
4.5	0.92773	-0.0093
4.55	0.92384	-0.0093
4.6	0.90938	-0.0093
4.65	0.93623	-0.0093
4.7	0.96391	-0.0091
4.75	0.95876	-0.009
4.8	0.94905	-0.009
4.85	0.95232	-0.009
4.9	0.95702	-0.009
4.95	0.98038	-0.009
5.0	1.02438	-0.009
5.05	1.07716	-0.009
5.1	1.06993	-0.009
5.15	1.07608	-0.009
5.2	1.08662	-0.0091
5.25	1.08961	-0.0092
5.3	1.11774	-0.0093
5.35	1.16736	-0.0098
5.4	1.14868	-0.0107
5.45	1.14275	-0.0117
5.5	1.13692	-0.0123
5.55	1.13353	-0.0126
5.6	1.16173	-0.0128
5.65	1.21094	-0.0128
5.7	1.19182	-0.0128
5.75	1.189	-0.0128
5.8	1.16441	-0.0127
5.85	1.16928	-0.0126
5.9	1.19537	-0.0126
5.95	1.21281	-0.0126
6.0	1.19466	-0.0126
6.05	1.19098	-0.0126
6.1	1.16411	-0.0126
6.15	1.16716	-0.0126
6.2	1.19748	-0.0126
6.25	1.19273	-0.0126
6.3	1.17157	-0.0126
6.35	1.16045	-0.0126
6.4	1.11786	-0.0126
6.45	1.12811	-0.0127
6.5	1.14227	-0.0128
6.55	1.10742	-0.0131
6.6	1.07869	-0.0134
6.65	1.0567	-0.0137
6.7	0.991	-0.0139
6.75	0.9807	-0.0143
6.8	0.98267	-0.0147
6.85	0.93398	-0.015
6.9	0.8856	-0.0152
6.95	0.84752	-0.0153
7.0	0.76666	-0.0154
7.05	0.75363	-0.0154
7.1	0.77077	-0.0153
7.15	0.72899	-0.0153
7.2	0.70753	-0.0153
7.25	0.69603	-0.0153
7.3	0.66217	-0.0153
7.35	0.64973	-0.0153
7.4	0.67331	-0.0153
7.45	0.68034	-0.0153
7.5	0.66234	-0.0153
7.55	0.65646	-0.0153
7.6	0.6357	-0.0153
7.65	0.62993	-0.0153
7.7	0.65688	-0.0153
7.75	0.683	-0.0153
7.8	0.66956	-0.0153
7.85	0.67021	-0.0153
7.9	0.66478	-0.0153
7.95	0.66335	-0.0155
8.0	0.69847	-0.0159
8.05	0.74152	-0.0164
8.1	0.73434	-0.017
8.15	0.74466	-0.0174
8.2	0.74663	-0.0176
8.25	0.75174	-0.018
8.3	0.79155	-0.0187
8.35	0.85027	-0.0192
8.4	0.84825	-0.0194
8.45	0.8506	-0.0194
8.5	0.86122	-0.0194
8.55	0.86948	-0.0193
8.6	0.90294	-0.0193
8.65	0.978	-0.0193
8.7	0.97989	-0.0193
8.75	0.97816	-0.0193
8.8	0.99289	-0.0193
8.85	0.99026	-0.0192
8.9	1.00166	-0.0191
8.95	1.07216	-0.0191
9.0	1.08267	-0.0191
9.05	1.06755	-0.0191
9.1	1.06749	-0.0191
9.15	1.06218	-0.0191
9.2	1.05855	-0.0192
9.25	1.11592	-0.0192
9.3	1.13297	-0.0193
9.35	1.11459	-0.0195
9.4	1.10907	-0.0199
9.45	1.1055	-0.0201
9.5	1.09917	-0.0206
9.55	1.15697	-0.0211
