Time (s)	Light Intensity (% of scale max)	Position (m)
0.0	0.0	0.0
0.04	0.0	0.0
0.05	0.0	0.0
0.08	0.0	0.0
0.1	0.0	0.0
0.12	0.0	0.0
0.15	0.0	0.0
0.16	0.0	0.0
0.2	0.0	0.0
0.24	0.0	0.0
0.25	0.0	0.0
0.28	0.0	0.0
0.3	0.0	0.0
0.32	0.0	0.0
0.35	0.0	3.75e-05
0.36	0.0	3.75e-05
0.4	0.0	3.75e-05
0.44	0.0	3.75e-05
0.45	0.0	3.75e-05
0.48	0.0	3.75e-05
0.5	0.0	3.75e-05
0.52	0.0	3.75e-05
0.55	0.0	3.75e-05
0.56	0.0	3.75e-05
0.6	0.0	3.75e-05
0.64	0.0	3.75e-05
0.65	0.0	3.75e-05
0.68	0.0	3.75e-05
0.7	0.0	3.75e-05
0.72	0.0	3.75e-05
0.75	0.0	3.75e-05
0.76	0.1	3.75e-05
0.8	0.1	3.75e-05
0.84	0.1	3.75e-05
0.85	0.1	3.75e-05
0.88	0.1	3.75e-05
0.9	0.1	7.5e-05
0.92	0.0	7.5e-05
0.95	0.0	7.5e-05
0.96	0.0	7.5e-05
1.0	0.0	7.5e-05
1.04	0.0	7.5e-05
1.05	0.0	7.5e-05
1.08	0.0	7.5e-05
1.1	0.0	7.5e-05
1.12	0.0	7.5e-05
1.15	0.0	7.5e-05
1.16	0.0	3.75e-05
1.2	0.0	3.75e-05
1.24	0.0	3.75e-05
1.25	0.0	3.75e-05
1.28	0.0	3.75e-05
1.3	0.0	3.75e-05
1.32	0.0	3.75e-05
1.35	0.0	-0.000525
1.36	0.0	-0.000825
1.4	0.0	-0.0014
1.44	0.0	-0.0016
1.45	0.0	-0.0016
1.48	0.0	-0.0019
1.5	0.0	-0.0022
1.52	0.0	-0.0027
1.55	0.0	-0.0028
1.56	0.0	-0.0028
1.6	0.0	-0.0028
1.64	0.0	-0.003
1.65	0.0	-0.0031
1.68	0.0	-0.0033
1.7	0.0	-0.0037
1.72	0.0	-0.0043
1.75	0.0	-0.0046
1.76	0.0	-0.0046
1.8	0.0	-0.0046
1.84	0.0	-0.0046
1.85	0.0	-0.0046
1.88	0.0	-0.0046
1.9	0.0	-0.0046
1.92	0.0	-0.0046
1.95	0.0	-0.0043
1.96	0.0	-0.0043
2.0	0.0	-0.0043
2.04	0.0	-0.0043
2.05	0.0	-0.0043
2.08	0.0	-0.0043
2.1	0.0	-0.0043
2.12	0.0	-0.0043
2.15	0.0	-0.0043
2.16	0.0	-0.0043
2.2	0.0	-0.0043
2.24	0.0	-0.0044
2.25	0.0	-0.0045
2.28	0.0	-0.0046
2.3	0.0	-0.0048
2.32	0.0	-0.0048
2.35	0.0	-0.0056
2.36	0.0	-0.0065
2.4	0.0	-0.0065
2.44	0.0	-0.0065
2.45	0.0	-0.0066
2.48	0.0	-0.0067
2.5	0.0	-0.0069
2.52	0.0	-0.0071
2.55	0.0	-0.0072
2.56	0.0	-0.0076
2.6	0.0	-0.008
2.64	0.0	-0.0086
2.65	0.0	-0.0091
2.68	0.0	-0.0092
2.7	0.0	-0.0092
2.72	0.0	-0.0094
2.75	0.0	-0.0097
2.76	0.0	-0.0105
2.8	0.0	-0.011
2.84	0.0	-0.011
2.85	0.0	-0.011
2.88	0.0	-0.011
2.9	0.0	-0.011
2.92	0.0	-0.011
2.95	0.0	-0.011
2.96	0.0	-0.011
3.0	0.0	-0.011
3.04	0.0	-0.011
3.05	0.0	-0.0108
3.08	0.0	-0.0108
3.1	0.0	-0.0108
3.12	0.0	-0.0108
3.15	0.0	-0.0108
3.16	0.0	-0.0109
3.2	0.0	-0.011
3.24	0.0	-0.0112
3.25	0.0	-0.0112
3.28	0.0	-0.0113
3.3	0.0	-0.0118
3.32	0.0	-0.0126
3.35	0.0	-0.013
3.36	0.0	-0.0131
3.4	0.0	-0.0131
3.44	0.0	-0.0131
3.45	0.0	-0.0132
3.48	0.0	-0.0132
3.5	0.0	-0.0133
3.52	0.0	-0.0133
3.55	0.0	-0.0137
3.56	0.0	-0.0144
3.6	0.0	-0.0147
3.64	0.0	-0.0148
3.65	0.0	-0.0148
3.68	0.0	-0.0154
3.7	0.0	-0.0162
3.72	0.0	-0.0167
3.75	0.0	-0.0169
3.76	0.0	-0.0172
3.8	0.1	-0.018
3.84	0.1	-0.0186
3.85	0.1	-0.0189
3.88	0.1	-0.0189
3.9	0.1	-0.0189
3.92	0.1	-0.0189
3.95	0.1	-0.0187
3.96	0.1	-0.0187
4.0	0.1	-0.0187
4.04	0.1	-0.0187
4.05	0.1	-0.0187
4.08	0.1	-0.0187
4.1	0.1	-0.0187
4.12	0.1	-0.0187
4.15	0.0	-0.0187
4.16	0.1	-0.0187
4.2	0.0	-0.0187
4.24	0.0	-0.0189
4.25	0.0	-0.0189
4.28	0.0	-0.0192
4.3	0.0	-0.0196
4.32	0.0	-0.0198
4.35	0.0	-0.0199
4.36	0.0	-0.0199
4.4	0.0	-0.0199
4.44	0.0	-0.0199
4.45	0.0	-0.02
4.48	0.0	-0.0201
4.5	0.0	-0.0204
4.52	0.0	-0.0208
4.55	0.0	-0.021
4.56	0.0	-0.0211
4.6	0.0	-0.0212
4.64	0.0	-0.0217
4.65	0.0	-0.0225
4.68	0.0	-0.0228
4.7	0.0	-0.023
4.72	0.0	-0.0232
4.75	0.0	-0.0237
4.76	0.0	-0.0241
4.8	0.0	-0.0244
4.84	0.0	-0.0247
4.85	0.0	-0.0247
4.88	0.0	-0.0247
4.9	0.0	-0.0247
4.92	0.0	-0.0249
4.95	0.0	-0.0253
4.96	0.0	-0.0257
5.0	0.0	-0.0257
5.04	0.0	-0.0257
5.05	0.0	-0.0257
5.08	0.0	-0.0257
5.1	0.0	-0.0255
5.12	0.0	-0.0255
5.15	0.0	-0.0255
5.16	0.0	-0.0255
5.2	0.0	-0.0255
5.24	0.0	-0.0255
5.25	0.0	-0.0255
