t	I	a	y
0.0	32.69162	0.0	0.0
0.05	32.6828	0.0	0.0
0.1	32.62999	0.0	0.0
0.15	32.69481	0.0	0.0
0.2	32.65704	0.0	0.0
0.25	32.66005	0.0	0.0
0.3	32.66853	0.0	0.0
0.35	32.64265	0.0	0.0
0.4	32.64789	0.0	0.0
0.45	32.64984	0.0	0.0
0.5	32.64511	0.0	0.0
0.55	32.63051	0.0	0.0
0.6	32.66443	0.0	0.0
0.65	32.62241	0.0	0.0
0.7	32.60951	0.0	0.0
0.75	32.65382	0.0	0.0
0.8	32.61815	0.0	0.0
0.85	32.64792	0.0	0.0
0.9	32.63228	0.0	0.0
0.95	32.63135	0.0	0.0
1.0	32.63385	0.0	0.0
1.05	32.62512	0.0	0.0
1.1	32.62328	0.0	0.0
1.15	32.62326	0.0	0.0
1.2	32.63495	0.0	0.0
1.25	32.61981	0.0	0.0
1.3	32.64006	0.0	0.0
1.35	32.61006	0.0	0.0
1.4	32.61171	0.0	0.0
1.45	32.62798	0.0	0.0
1.5	32.60374	0.0	0.0
1.55	32.62639	0.0	0.0
1.6	32.61398	0.0	0.0
1.65	32.6035	0.0	0.0
1.7	32.61382	0.0	0.0
1.75	32.60204	0.0	0.0
1.8	32.60503	0.0	0.0
1.85	32.60884	0.0	0.0
1.9	32.61111	0.0	0.0
1.95	32.59451	0.0	0.0
2.0	32.60306	0.0	0.0
2.05	32.60023	0.0	0.0
2.1	32.59637	0.0	0.0
2.15	32.60742	0.0	0.0
2.2	32.59506	0.0	0.0
2.25	32.59952	0.0	0.0
2.3	32.60519	0.0	0.0
2.35	32.59543	0.0	0.0
2.4	32.595	0.0	0.0
2.45	32.60431	0.0	0.0
2.5	32.58481	0.0	0.0
2.55	32.61594	0.0	0.0
2.6	32.58707	0.0	0.0
2.65	32.60541	0.0	0.0
2.7	32.60542	0.0	0.0
2.75	32.5835	0.0	0.0
2.8	32.61516	0.0	0.0
2.85	32.59251	0.0	0.0
2.9	32.59192	0.0	0.0
2.95	32.60257	0.0	0.0
3.0	32.58682	0.0	0.0
3.05	32.57347	0.0	0.0
3.1	32.58377	0.0	0.0
3.15	32.61194	0.0	0.0
3.2	32.55356	0.0	0.0
3.25	32.60219	0.0	0.0
3.3	32.59247	0.0	0.0
3.35	32.56799	0.0	0.0
3.4	32.58372	0.0	0.0
3.45	32.55431	0.0	0.0
3.5	32.57805	0.0	0.0
3.55	32.57568	0.0	0.0
3.6	32.5724	0.0	0.0
3.65	32.56023	0.0	0.0
3.7	32.56793	0.0	0.0
3.75	32.59161	0.0	0.0
3.8	32.56003	0.0	0.0
3.85	32.55797	0.0	0.0
3.9	32.62718	0.0	0.0
3.95	32.55069	0.0	0.0
4.0	32.58592	0.0	0.0
4.05	32.55408	0.0	0.0
4.1	32.55537	0.0	0.0
4.15	32.59622	0.0	0.0
4.2	32.5611	0.0	0.0
4.25	32.55769	0.0	0.0
4.3	32.58177	0.0	0.0
4.35	32.57262	0.0	0.0
4.4	32.56367	0.0	0.0
4.45	32.58434	0.0	0.0
4.5	32.5777	0.0	0.0
4.55	32.58073	0.0	0.0
4.6	32.59395	0.0	0.0
4.65	32.5685	0.0	0.0
4.7	32.58237	0.0	0.0
4.75	32.59157	0.0	0.0
4.8	32.56154	0.0	0.0
4.85	32.58914	0.0	0.0
4.9	32.56526	0.0	0.0
4.95	32.56461	0.0	0.0
5.0	32.58276	0.0	0.0
5.05	32.56972	0.0	0.0
5.1	32.56812	0.0	0.0
5.15	32.58069	0.0	0.0
5.2	32.57219	0.0	0.0
5.25	32.57503	0.0	0.0
5.3	32.57709	0.0	0.0
5.35	32.57793	0.0	0.0
5.4	32.58817	0.0	0.0
5.45	32.57042	0.0	0.0
5.5	32.58157	0.0	0.0
5.55	32.58601	0.0	0.0
5.6	32.5656	0.0	0.0
5.65	32.58968	0.0	0.0
5.7	32.58281	0.0	0.0
5.75	32.57309	0.0	0.0
5.8	32.58559	0.0	0.0
5.85	32.57281	0.0	0.0
5.9	32.57378	0.0	0.0
5.95	32.57649	0.0	0.0
6.0	32.57184	0.0	0.0
6.05	32.57391	0.0	0.0
6.1	32.57225	0.0	0.0
6.15	32.57739	0.0	0.0
6.2	32.58107	0.0	0.0
6.25	32.57756	0.0	0.0
6.3	32.58528	0.0	0.0
6.35	32.57782	0.0	0.0
6.4	32.5798	0.0	0.0
6.45	32.57477	0.0	0.0
6.5	32.57829	0.0	0.0
6.55	32.59731	0.0	0.0
6.6	32.56648	0.0	0.0
6.65	32.58104	0.0	0.0
6.7	32.5744	0.0	0.0
6.75	32.56671	0.0	0.0
6.8	32.58841	0.0	0.0
6.85	32.57765	0.0	0.0
6.9	32.5753	0.0	0.0
6.95	32.58563	0.0	0.0
7.0	32.58408	0.0	0.0
7.05	32.58612	0.0	0.0
7.1	32.58919	0.0	0.0
7.15	32.58513	0.0	0.0
7.2	32.58113	0.0	0.0
7.25	32.59129	0.0	0.0
7.3	32.57323	0.0	0.0
7.35	32.57237	0.0	0.0
7.4	32.57126	0.0	0.0
7.45	32.60951	0.0	0.0
7.5	32.56326	0.0	0.0
7.55	32.59998	0.0	0.0
7.6	32.62189	0.0	0.0
7.65	32.58531	0.0	0.0
7.7	32.6198	0.0	0.0
7.75	32.58412	0.0	0.0
7.8	32.59256	0.0	0.0
7.85	32.6254	0.0	0.0
7.9	32.58929	0.0	0.0
7.95	32.60454	0.0	0.0
8.0	32.57707	0.0	0.0
8.05	32.59842	0.0	0.0
8.1	32.60745	0.0	0.0
8.15	32.58386	0.0	0.0
8.2	32.61032	0.0	0.0
8.25	32.58064	0.0	0.0
8.3	32.60472	0.0	0.0
8.35	32.5972	0.0	0.0
8.4	32.58136	0.0	0.0
8.45	32.60913	0.0	0.0
8.5	32.58925	0.0	0.0
8.55	32.58841	0.0	0.0
8.6	32.58028	0.0	0.0
8.65	32.59457	0.0	0.0
8.7	32.59201	0.0	0.0
8.75	32.59093	0.0	0.0
8.8	32.58569	0.0	0.0
8.85	32.58853	0.0	0.0
8.9	32.58398	0.0	0.0
8.95	32.604	0.0	0.0
9.0	32.58577	0.0	0.0
9.05	32.57283	0.0	0.0
9.1	32.60808	0.0	0.0
9.15	32.56456	0.0	0.0
9.2	32.61501	0.0	0.0
9.25	32.6106	0.0	0.0
9.3	32.539	0.0	0.0
9.35	32.64359	0.0	0.0
9.4	32.58415	0.0	0.0
9.45	32.55481	0.0	0.0
9.5	32.6591	0.0	0.0
9.55	32.56989	0.0	0.0
9.6	32.53792	0.0	0.0
9.65	32.63029	0.0	0.0
9.7	32.58214	0.0	0.0
9.75	32.61954	0.0	0.0
9.8	32.60617	0.0	0.0
9.85	32.59521	0.0	0.0
9.9	32.59128	0.0	0.0
9.95	32.62961	0.0	0.0
10.0	32.60115	0.0	0.0
10.05	32.6125	0.0	0.0
10.1	32.62158	0.0	0.0
10.15	32.57912	0.0	0.0
10.2	32.63086	0.0	0.0
10.25	32.62682	0.0	0.0
10.3	32.58321	0.0	0.0
10.35	32.63245	0.0	0.0
10.4	32.59099	0.0	0.0
10.45	32.6037	0.0	0.0
10.5	32.59122	0.0	0.0
10.55	32.59853	0.0	0.0
10.6	32.60214	0.0	0.0
10.65	32.6021	0.0	0.0
10.7	32.57883	0.0	0.0
10.75	32.61234	0.0	0.0
10.8	32.61491	0.0	0.0
10.85	32.58745	0.0	0.0
10.9	32.60805	0.0	0.0
10.95	32.59352	0.0	0.0
11.0	32.5961	0.0	0.0
11.05	32.59404	0.0	0.0
11.1	32.58429	0.0	0.0
11.15	32.58722	0.0	0.0
11.2	32.59329	0.0	0.0
11.25	32.59283	0.0	0.0
11.3	32.57596	0.0	0.0
11.35	32.60022	0.0	0.0
11.4	32.58821	0.0	0.0
11.45	32.5898	0.0	0.0
11.5	32.59062	0.0	0.0
11.55	32.5849	0.0	0.0
11.6	32.59103	0.0	0.0
11.65	32.59027	0.0	0.0
11.7	32.58725	0.0	0.0
11.75	32.59113	0.0	0.0
11.8	32.59123	0.0	0.0
11.85	32.58005	0.0	0.0
11.9	32.59717	0.0	0.0
11.95	32.58112	0.0	0.0
12.0	32.58278	0.0	0.0
12.05	32.60092	0.0	0.0
12.1	32.58041	0.0	0.0
12.15	32.57047	0.0	0.0
12.2	32.61029	0.0	0.0
12.25	32.57539	0.0	0.0
12.3	32.59827	0.0	0.0
12.35	32.60594	0.0	0.0
12.4	32.5788	0.0	0.0
12.45	32.59164	0.0	0.0
12.5	32.60197	0.0	0.0
12.55	32.57863	0.0	0.0
12.6	32.59462	0.0	0.0
12.65	32.59177	0.0	0.0
12.7	32.57143	0.0	0.0
12.75	32.59637	0.0	0.0
12.8	32.58905	0.0	0.0
12.85	32.57195	0.0	0.0
12.9	32.60329	0.0	0.0
12.95	32.58778	0.0	0.0
13.0	32.59596	0.0	0.0
13.05	32.59981	0.0	0.0
13.1	32.58856	0.0	0.0
13.15	32.58803	0.0	0.0
13.2	32.6004	0.0	0.0
13.25	32.58168	0.0	0.0
13.3	32.5831	0.0	0.0
13.35	32.60475	0.0	0.0
13.4	32.57344	0.0	0.0
13.45	32.58578	0.0	0.0
13.5	32.59087	0.0	0.0
13.55	32.57942	0.0	0.0
13.6	32.6008	0.0	0.0
13.65	32.59193	0.0	0.0
13.7	32.58308	0.0	0.0
13.75	32.59708	0.0	0.0
13.8	32.59399	0.0	0.0
13.85	32.59218	0.0	0.0
13.9	32.59975	0.0	0.0
13.95	32.59586	0.0	0.0
14.0	32.59044	0.0	0.0
14.05	32.60329	0.0	0.0
14.1	32.58775	0.0	0.0
14.15	32.58754	0.0	0.0
14.2	32.59575	0.0	0.0
14.25	32.58746	0.0	0.0
14.3	32.59062	0.0	0.0
14.35	32.59372	0.0	0.0
14.4	32.58707	0.0	0.0
14.45	32.59741	0.0	0.0
14.5	32.59523	0.0	0.0
14.55	32.5912	0.0	0.0
14.6	32.59624	0.0	0.0
14.65	32.59576	0.0	0.0
14.7	32.59035	0.0	0.0
14.75	32.59833	0.0	0.0
14.8	32.58963	0.0	0.0
14.85	32.59184	0.0	0.0
14.9	32.60031	0.0	0.0
14.95	32.59189	0.0	0.0
15.0	32.59201	0.0	0.0
15.05	32.59848	0.0	0.0
15.1	32.59422	0.0	0.0
15.15	32.59892	0.0	0.0
15.2	32.59959	0.0	0.0
15.25	32.59393	0.0	0.0
15.3	32.59908	0.0	0.0
15.35	32.59862	0.0	0.0
15.4	32.59241	0.0	0.0
15.45	32.59886	0.0	0.0
15.5	32.59779	0.0	0.0
15.55	32.59245	0.0	0.0
15.6	32.59828	0.0	0.0
15.65	32.59384	0.0	0.0
15.7	32.59544	0.0	0.0
15.75	32.5963	0.0	0.0
15.8	32.5932	0.0	0.0
15.85	32.60095	0.0	0.0
15.9	32.5952	0.0	0.0
15.95	32.59737	0.0	0.0
16.0	32.59355	0.0	0.0
16.05	32.59999	0.0	0.0
16.1	32.5815	0.0	0.0
16.15	32.5957	0.0	0.0
16.2	32.59892	0.0	0.0
16.25	32.593	0.0	0.0
16.3	32.59972	0.0	0.0
16.35	32.58952	0.0	0.0
16.4	32.58508	0.0	0.0
16.45	32.61235	0.0	0.0
16.5	32.58478	0.0	0.0
16.55	32.59067	0.0	0.0
16.6	32.59172	0.0	0.0
16.65	32.5887	0.0	0.0
16.7	32.59973	0.0	0.0
16.75	32.58913	0.0	0.0
16.8	32.60098	0.0	0.0
16.85	32.58842	0.0	0.0
16.9	32.60106	0.0	0.0
16.95	32.59387	0.0	0.0
17.0	32.59271	0.0	0.0
17.05	32.60919	0.0	0.0
17.1	32.58478	0.0	0.0
17.15	32.60349	0.0	0.0
17.2	32.58556	0.0	0.0
17.25	32.59401	0.0	0.0
17.3	32.59482	0.0	0.0
17.35	32.58914	0.0	0.0
17.4	32.59483	0.0	0.0
17.45	32.58897	0.0	0.0
17.5	32.60149	0.0	0.0
17.55	32.59003	0.0	0.0
17.6	32.59834	0.0	0.0
17.65	32.59753	0.0	0.0
17.7	32.59247	0.0	0.0
17.75	32.60022	0.0	0.0
17.8	32.58884	0.0	0.0
17.85	32.59888	0.0	0.0
17.9	32.58585	0.0	0.0
17.95	32.59474	0.0	0.0
18.0	32.59821	0.0	0.0
18.05	32.58896	0.0	0.0
18.1	32.59663	0.0	0.0
18.15	32.58778	0.0	0.0
18.2	32.5952	0.0	0.0
18.25	32.58707	0.0	0.0
18.3	32.5921	0.0	0.0
18.35	32.59894	0.0	0.0
18.4	32.5905	0.0	0.0
18.45	32.59543	0.0	0.0
18.5	32.5876	0.0	0.0
18.55	32.58873	0.0	0.0
18.6	32.59679	0.0	0.0
18.65	32.58849	0.0	0.0
18.7	32.59581	0.0	0.0
18.75	32.59045	0.0	0.0
18.8	32.59369	0.0	0.0
18.85	32.58842	0.0	0.0
18.9	32.59084	0.0	0.0
18.95	32.59261	0.0	0.0
19.0	32.58891	0.0	0.0
19.05	32.59264	0.0	0.0
19.1	32.59116	0.0	0.0
19.15	32.59055	0.0	0.0
19.2	32.5914	0.0	0.0
19.25	32.59155	0.0	0.0
19.3	32.59135	0.0	0.0
19.35	32.59056	0.0	0.0
19.4	32.59175	0.0	0.0
19.45	32.595	0.0	0.0
19.5	32.59204	0.0	0.0
19.55	32.59227	0.0	0.0
19.6	32.59389	0.0	0.0
19.65	32.58951	0.0	0.0
19.7	32.59393	0.0	0.0
19.75	32.59055	0.0	0.0
19.8	32.5887	0.0	0.0
19.85	32.59247	0.0	0.0
19.9	32.589	0.0	0.0
19.95	32.59319	0.0	0.0
20.0	32.59154	0.0	0.0
20.05	32.59019	0.0	0.0
20.1	32.59132	0.0	0.0
20.15	32.59	0.0	0.0
20.2	32.5896	0.0	0.0
20.25	32.58946	0.0	0.0
20.3	32.59172	0.0	0.0
20.35	32.58997	0.0	0.0
20.4	32.59653	0.0	0.0
20.45	32.59427	0.0	0.0
20.5	32.59651	0.0	0.0
20.55	32.60028	0.0	0.0
20.6	32.5981	0.0	0.0
20.65	32.59998	0.0	0.0
20.7	32.59676	0.0	0.0
20.75	32.59534	0.0	0.0
20.8	32.59476	0.0	0.0
20.85	32.59265	0.0	0.0
20.9	32.59193	0.0	0.0
20.95	32.58981	0.0	0.0
21.0	32.59398	0.0	0.0
21.05	32.59015	0.0	0.0
21.1	32.58969	0.0	0.0
21.15	32.59001	0.0	0.0
21.2	32.58752	0.0	0.0
21.25	32.5889	0.0	0.0
21.3	32.58557	0.0	0.0
21.35	32.58968	0.0	0.0
21.4	32.58568	0.0	0.0
21.45	32.58745	0.0	0.0
21.5	32.58426	0.0	0.0
21.55	32.58479	0.0	0.0
21.6	32.58243	0.0	0.0
21.65	32.58116	0.0	0.0
21.7	32.58209	0.0	0.0
21.75	32.57765	0.0	0.0
21.8	32.57613	0.0	0.0
21.85	32.56915	0.0	0.0
21.9	32.56874	0.0	0.0
21.95	32.57251	0.0	0.0
22.0	32.57602	0.0	0.0
22.05	32.58415	0.0	0.0
22.1	32.59006	0.0	0.0
22.15	32.58881	0.0	0.0
22.2	32.58521	0.0	0.0
22.25	32.58377	0.0	0.0
22.3	32.58377	0.0	0.0
