t	I	a	y
0.0	0.09127808	0.0	0.0
0.05	0.09133911	0.0	0.0
0.1	0.09130859	0.0	0.0
0.15	0.09135437	0.0	0.0
0.2	0.09133911	0.0	0.0
0.25	0.09141541	0.0	0.0
0.3	0.09120178	0.0	0.0
0.35	0.09132385	0.0	0.0
0.4	0.09127808	0.0	0.0
0.45	0.09150696	0.0	0.0
0.5	0.09103394	0.0	0.0
0.55	0.09115601	0.0	0.0
0.6	0.09083557	0.0	0.0
0.65	0.09068298	0.0	0.0
0.7	0.09086609	0.0	0.0
0.75	0.09120178	0.0	0.0
0.8	0.09277344	0.0	0.0
0.85	0.09346008	0.0	0.0
0.9	0.09249878	-0.00078539875	-9.862507366158894e-06
0.95	0.09121704	-0.00746129	-9.369384352349388e-05
1.0	0.09088135	-0.03141595	-0.0003945002946463557
1.05	0.09107971	-0.07736178	-0.0009714570148082916
1.1	0.0909729	-0.10995582	-0.0013807509684756198
1.15	0.09095764	-0.15315276	-0.001923188983490953
1.2	0.09083557	-0.20891607	-0.002623426990791578
1.25	0.09063721	-0.26585748	-0.0033384587826864255
1.3	0.09065247	-0.32515508	-0.004083078018196469
1.35	0.09024048	-0.39741177	-0.004990428758669712
1.4	0.09011841	-0.45867287	-0.0057597043018367934
1.45	0.08999634	-0.5026552	-0.006312004714341691
1.5	0.08976746	-0.52778796	-0.006627604950058775
1.55	0.08973694	-0.5658798	-0.007105936565165811
1.6	0.08938599	-0.6298898	-0.007909730939052746
1.65	0.0894165	-0.70018299	-0.00879242537186895
1.7	0.0894928	-0.76654918	-0.00962580718937108
1.75	0.08935547	-0.80464102	-0.010104138804478115
1.8	0.08920288	-0.80896071	-0.010158382555750347
1.85	0.08959961	-0.80896071	-0.010158382555750347
1.9	0.0899353	-0.80503372	-0.01010907006600952
1.95	0.08990479	-0.80110672	-0.010059757450695447
2.0	0.08981323	-0.80110672	-0.010059757450695447
2.05	0.08964539	-0.80110672	-0.010059757450695447
2.1	0.08966064	-0.80110672	-0.010059757450695447
2.15	0.08984375	-0.80110672	-0.010059757450695447
2.2	0.08981323	-0.80110672	-0.010059757450695447
2.25	0.08961487	-0.80149942	-0.010064688712226853
2.3	0.08979797	-0.80660452	-0.010128795112135153
2.35	0.08978271	-0.82231249	-0.010326045196671704
2.4	0.08969116	-0.84508905	-0.010612057863200344
2.45	0.0894165	-0.89849617	-0.011282708426885774
2.5	0.08979797	-0.95818647	-0.012032258923927225
2.55	0.0892334	-1.0060958	-0.012633871951746197
2.6	0.08901978	-1.04458034	-0.01311713482838464
2.65	0.08927917	-1.09288236	-0.01372367899216177
2.7	0.08926392	-1.12783261	-0.014162560640590795
2.75	0.08901978	-1.14864567	-0.014423916999462397
2.8	0.08970642	-1.1922353	-0.014971286150435888
