t	I	a	y
0.0	4.69226	0.0	0.0
0.05	4.68883	0.0	0.0
0.1	4.68599	0.0	0.0
0.15	4.72223	0.0	0.0
0.2	4.73784	0.0	0.0
0.25	4.71077	0.0	0.0
0.3	4.6954	0.0	0.0
0.35	4.71095	0.0	0.0
0.4	4.73347	0.0	0.0
0.45	4.71173	0.0	0.0
0.5	4.69627	0.0	0.0
0.55	4.69531	0.0	0.0
0.6	4.6929	0.0	0.0
0.65	4.64145	0.0	0.0
0.7	4.57527	0.0	0.0
0.75	4.54695	0.0	0.0
0.8	4.55423	0.0	0.0
0.85	4.50481	0.0	0.0
0.9	4.47723	0.0	0.0
0.95	4.42838	0.0	0.0
1.0	4.44737	0.0	0.0
1.05	4.42389	0.0	0.0
1.1	4.38083	0.0	0.0
1.15	4.36174	0.0	0.0
1.2	4.37883	0.0	0.0
1.25	4.42644	0.0	0.0
1.3	4.41695	0.0	0.0
1.35	4.41588	0.0	0.0
1.4	4.43776	0.0	0.0
1.45	4.48337	0.0	0.0
1.5	4.46181	0.0	0.0
1.55	4.46707	0.0	0.0
1.6	4.45926	0.0	0.0
1.65	4.56148	0.0	0.0
1.7	4.55959	0.0	0.0
1.75	4.56567	0.0	0.0
1.8	4.57104	0.0	0.0
1.85	4.60295	0.0	0.0
1.9	4.58975	0.0	0.0
1.95	4.57924	0.0	0.0
2.0	4.56711	0.0	0.0
2.05	4.62352	0.0	0.0
2.1	4.63922	0.0	0.0
2.15	4.61774	0.0	0.0
2.2	4.6109	0.0	0.0
2.25	4.62653	0.0	0.0
2.3	4.66899	0.0	0.0
2.35	4.65828	0.0	0.0
2.4	4.66542	0.0	0.0
2.45	4.68521	0.0	0.0
2.5	4.72107	0.0	0.0
2.55	4.69751	0.0	0.0
2.6	4.68106	0.0	0.0
2.65	4.67738	0.0	0.0
2.7	4.72528	0.0	0.0
2.75	4.70546	0.0	0.0
2.8	4.70871	0.0	0.0
2.85	4.7153	0.0	0.0
2.9	4.76015	0.0	0.0
2.95	4.74107	0.0	0.0
3.0	4.73006	0.0	0.0
3.05	4.72061	0.0	0.0
3.1	4.7666	0.0	0.0
3.15	4.75455	0.0	0.0
3.2	4.75496	0.0	0.0
3.25	4.74652	0.0	0.0
3.3	4.78722	0.0	0.0
3.35	4.7618	0.0	0.0
3.4	4.72867	0.0	0.0
3.45	4.70192	0.0	0.0
3.5	4.72835	0.0	0.0
3.55	4.68694	0.0	0.0
3.6	4.67015	0.0	0.0
3.65	4.63368	0.0	0.0
3.7	4.66766	0.0	0.0
3.75	4.64764	0.0	0.0
3.8	4.60571	0.0	0.0
3.85	4.58255	0.0	0.0
3.9	4.6013	0.0	0.0
3.95	4.60887	0.0	0.0
4.0	4.59795	0.0	0.0
4.05	4.58333	0.0	0.0
4.1	4.62207	0.0	0.0
4.15	4.64241	0.0	0.0
4.2	4.60757	0.0	0.0
4.25	4.59331	0.0	0.0
4.3	4.58788	0.0	0.0
4.35	4.63258	0.0	0.0
4.4	4.60864	0.0	0.0
4.45	4.60937	0.0	0.0
4.5	4.60535	0.0	0.0
4.55	4.64203	0.0	0.0
4.6	4.60004	0.0	0.0
4.65	4.59601	0.0	0.0
4.7	4.58047	0.0	0.0
4.75	4.64273	0.0	0.0
4.8	4.61414	0.0	0.0
4.85	4.60577	0.0	0.0
4.9	4.57298	0.0	0.0
4.95	4.60471	0.0	0.0
5.0	4.57268	0.0	0.0
5.05	4.57404	0.0	0.0
5.1	4.55391	0.0	0.0
5.15	4.59183	0.0	0.0
5.2	4.57246	0.0	0.0
5.25	4.54507	0.0	0.0
5.3	4.52133	0.0	0.0
5.35	4.53972	0.0	0.0
5.4	4.57173	0.0	0.0
5.45	4.51994	0.0	0.0
5.5	4.50716	0.0	0.0
5.55	4.51289	0.0	0.0
5.6	4.53418	0.0	0.0
5.65	4.50179	0.0	0.0
5.7	4.47733	0.0	0.0
5.75	4.46574	0.0	0.0
5.8	4.49921	0.0	0.0
5.85	4.49199	0.0	0.0
5.9	4.48822	0.0	0.0
5.95	4.46631	0.0	0.0
6.0	4.5025	0.0	0.0
6.05	4.50897	0.0	0.0
6.1	4.46771	0.0	0.0
6.15	4.45367	0.0	0.0
6.2	4.45694	0.0	0.0
6.25	4.49915	0.0	0.0
6.3	4.47556	0.0	0.0
6.35	4.4771	0.0	0.0
6.4	4.46794	0.0	0.0
6.45	4.50644	0.0	0.0
6.5	4.47504	0.0	0.0
6.55	4.47444	0.0	0.0
6.6	4.4552	0.0	0.0
6.65	4.50879	0.0	0.0
6.7	4.48573	0.0	0.0
6.75	4.46779	0.0	0.0
6.8	4.44386	0.0	0.0
6.85	4.47202	0.0	0.0
6.9	4.51302	0.0	0.0
6.95	4.48404	0.0	0.0
7.0	4.47046	0.0	0.0
7.05	4.45802	0.0	0.0
7.1	4.46577	0.0	0.0
7.15	4.42081	0.0	0.0
7.2	4.37682	0.0	0.0
7.25	4.35585	0.0	0.0
7.3	4.37782	0.0	0.0
7.35	4.36037	0.0	0.0
7.4	4.34834	0.0	0.0
7.45	4.34059	0.0	0.0
7.5	4.3602	0.0	0.0
7.55	4.38914	0.0	0.0
7.6	4.37708	0.0	0.0
7.65	4.38937	0.0	0.0
7.7	4.38495	0.0	0.0
7.75	4.45193	0.0	0.0
7.8	4.42419	0.0	0.0
7.85	4.41408	0.0	0.0
7.9	4.4005	0.0	0.0
7.95	4.43883	0.0	0.0
8.0	4.46054	0.0	0.0
8.05	4.42793	0.0	0.0
8.1	4.42068	0.0	0.0
8.15	4.44832	0.0	0.0
8.2	4.45869	0.0	0.0
8.25	4.42944	0.0	0.0
8.3	4.41493	0.0	0.0
8.35	4.41371	0.0	0.0
8.4	4.4516	0.0	0.0
8.45	4.42398	0.0	0.0
8.5	4.41898	0.0	0.0
8.55	4.40324	0.0	0.0
8.6	4.42487	0.0	0.0
8.65	4.41074	0.0	0.0
8.7	4.36736	0.0	0.0
8.75	4.37325	0.0	0.0
8.8	4.40868	0.0	0.0
8.85	4.5558	0.0	0.0
8.9	4.60144	0.0	0.0
8.95	4.6813	0.0	0.0
9.0	4.85788	0.0	0.0
9.05	5.02855	0.0	0.0
9.1	5.30374	0.0	0.0
9.15	5.45131	0.0	0.0
9.2	5.63441	0.0	0.0
9.25	6.03966	0.0	0.0
9.3	6.21355	0.0	0.0
9.35	6.38017	0.0	0.0
9.4	6.76144	0.0	0.0
9.45	6.88524	0.0	0.0
9.5	7.1337	0.0	0.0
9.55	7.23689	0.0	0.0
9.6	7.36818	0.0	0.0
9.65	7.43622	0.0	0.0
9.7	7.48679	0.0	0.0
9.75	7.66411	0.0	0.0
9.8	7.76703	0.0	0.0
9.85	7.78903	0.0	0.0
9.9	7.87125	0.0	0.0
9.95	7.91876	0.0	0.0
10.0	7.99992	0.0	0.0
10.05	8.04388	0.0	0.0
10.1	8.08781	0.0	0.0
10.15	8.17911	0.0	0.0
10.2	8.18016	0.0	0.0
10.25	8.09708	0.0	0.0
10.3	7.94286	0.0	0.0
10.35	7.89668	0.0	0.0
10.4	7.89429	0.0	0.0
10.45	7.7067	0.0	0.0
10.5	7.61543	0.0	0.0
