t	I	a	y
0.0	0.06636	0.0	0.0
0.05	0.07184	0.0	0.0
0.1	0.07463	0.0	0.0
0.15	0.07741	0.0	0.0
0.2	0.0797	0.0	0.0
0.25	0.08292	0.0	0.0
0.3	0.08401	0.0	0.0
0.35	0.08478	0.0	0.0
0.4	0.08569	0.0	0.0
0.45	0.08681	0.0	0.0
0.5	0.08754	0.0	0.0
0.55	0.08797	0.0	0.0
0.6	0.08894	0.0	0.0
0.65	0.08928	0.0	0.0
0.7	0.08965	0.0	0.0
0.75	0.09	0.0	0.0
0.8	0.09062	0.0	0.0
0.85	0.09109	0.0	0.0
0.9	0.09152	0.0	0.0
0.95	0.09203	0.0	0.0
1.0	0.09218	0.0	0.0
1.05	0.09283	0.0	0.0
1.1	0.09352	0.0	0.0
1.15	0.09502	0.0	0.0
1.2	0.09586	0.0	0.0
1.25	0.09674	0.0	0.0
1.3	0.09703	0.0	0.0
1.35	0.09741	0.0	0.0
1.4	0.09698	0.0	0.0
1.45	0.09648	0.0	0.0
1.5	0.09676	0.0	0.0
1.55	0.1004	0.0	0.0
1.6	0.10258	0.0	0.0
1.65	0.10275	0.0	0.0
1.7	0.10248	0.0	0.0
1.75	0.10237	0.0	0.0
1.8	0.1024	0.0	0.0
1.85	0.10207	0.0	0.0
1.9	0.10194	0.0	0.0
1.95	0.10175	0.0	0.0
2.0	0.10168	0.0	0.0
2.05	0.10179	0.0	0.0
2.1	0.1013	0.0	0.0
2.15	0.10089	0.0	0.0
2.2	0.1008	0.0	0.0
2.25	0.10062	0.0	0.0
2.3	0.10022	0.0	0.0
2.35	0.10001	0.0	0.0
2.4	0.09991	0.0	0.0
2.45	0.09962	0.0	0.0
2.5	0.09949	0.0	0.0
2.55	0.09944	0.0	0.0
2.6	0.09898	0.0	0.0
2.65	0.09862	0.0	0.0
2.7	0.09851	0.0	0.0
2.75	0.09778	0.0	0.0
2.8	0.09682	0.0	0.0
2.85	0.09436	0.0	0.0
2.9	0.09328	0.0	0.0
2.95	0.09267	0.0	0.0
3.0	0.09268	0.0	0.0
3.05	0.09146	0.0	0.0
3.1	0.0894	0.0	0.0
3.15	0.08672	0.0	0.0
3.2	0.08412	0.0	0.0
3.25	0.08432	0.0	0.0
3.3	0.08646	0.0	0.0
3.35	0.08488	0.0	0.0
3.4	0.07915	0.0	0.0
3.45	0.07649	0.0	0.0
3.5	0.07381	0.0	0.0
3.55	0.06898	0.0	0.0
3.6	0.06699	0.0	0.0
3.65	0.06534	0.0	0.0
3.7	0.06419	0.0	0.0
3.75	0.062	0.0	0.0
3.8	0.06189	0.0	0.0
3.85	0.06282	0.0	0.0
3.9	0.06393	0.0	0.0
3.95	0.06491	0.0	0.0
4.0	0.06473	0.0	0.0
4.05	0.06419	0.0	0.0
4.1	0.06337	0.0	0.0
4.15	0.06247	0.0	0.0
4.2	0.06033	0.0	0.0
4.25	0.05975	0.0	0.0
4.3	0.0596	0.0	0.0
4.35	0.06009	0.0	0.0
4.4	0.06007	0.0	0.0
4.45	0.06068	0.0	0.0
4.5	0.0609	0.0	0.0
4.55	0.06181	0.0	0.0
4.6	0.06291	0.0	0.0
4.65	0.06358	0.0	0.0
4.7	0.06383	0.0	0.0
4.75	0.06407	0.0	0.0
4.8	0.06465	0.0	0.0
4.85	0.0647	0.0	0.0
4.9	0.06482	0.0	0.0
4.95	0.06482	0.0	0.0
5.0	0.06491	0.0	0.0
5.05	0.06494	0.0	0.0
5.1	0.06483	0.0	0.0
5.15	0.06454	0.0	0.0
5.2	0.06396	0.0	0.0
5.25	0.0639	0.0	0.0
5.3	0.06374	0.0	0.0
5.35	0.06364	0.0	0.0
5.4	0.06389	0.0	0.0
5.45	0.06381	0.0	0.0
5.5	0.06369	0.0	0.0
5.55	0.06401	0.0	0.0
5.6	0.064	0.0	0.0
5.65	0.06412	0.0	0.0
5.7	0.06404	0.0	0.0
5.75	0.06422	0.0	0.0
5.8	0.06386	-0.00314	-3.94300005312447e-05
5.85	0.06393	-0.00236	-2.963528702348328e-05
5.9	0.06348	0.0	0.0
5.95	0.06355	0.0	0.0
6.0	0.06329	0.0	0.0
6.05	0.0632	0.0	0.0
6.1	0.0629	-0.000785399	-9.862510505490145e-06
6.15	0.06288	-0.00157	-1.971500026562235e-05
6.2	0.06262	-0.00157	-1.971500026562235e-05
6.25	0.06236	-0.00157	-1.971500026562235e-05
6.3	0.06258	-0.00157	-1.971500026562235e-05
6.35	0.06232	-0.00157	-1.971500026562235e-05
6.4	0.06241	-0.00157	-1.971500026562235e-05
6.45	0.06204	-0.00157	-1.971500026562235e-05
6.5	0.06212	-0.00157	-1.971500026562235e-05
6.55	0.06219	-0.00157	-1.971500026562235e-05
6.6	0.06192	-0.00157	-1.971500026562235e-05
6.65	0.06195	-0.00157	-1.971500026562235e-05
6.7	0.06206	-0.00157	-1.971500026562235e-05
6.75	0.06201	-0.00157	-1.971500026562235e-05
6.8	0.062	-0.00157	-1.971500026562235e-05
6.85	0.06203	-0.00157	-1.971500026562235e-05
6.9	0.06242	-0.00157	-1.971500026562235e-05
6.95	0.06268	-0.00157	-1.971500026562235e-05
7.0	0.06281	-0.00157	-1.971500026562235e-05
7.05	0.06284	-0.00157	-1.971500026562235e-05
7.1	0.06279	-0.00157	-1.971500026562235e-05
7.15	0.06282	-0.00157	-1.971500026562235e-05
7.2	0.0634	-0.00157	-1.971500026562235e-05
7.25	0.06334	-0.00157	-1.971500026562235e-05
7.3	0.0631	-0.00157	-1.971500026562235e-05
7.35	0.06332	-0.00157	-1.971500026562235e-05
7.4	0.06342	-0.00157	-1.971500026562235e-05
7.45	0.06358	-0.00157	-1.971500026562235e-05
7.5	0.06348	-0.00157	-1.971500026562235e-05
7.55	0.06361	-0.00157	-1.971500026562235e-05
7.6	0.06372	-0.00157	-1.971500026562235e-05
7.65	0.06335	-0.00157	-1.971500026562235e-05
7.7	0.06352	-0.00157	-1.971500026562235e-05
7.75	0.06367	-0.00157	-1.971500026562235e-05
7.8	0.06329	-0.00157	-1.971500026562235e-05
7.85	0.06314	-0.00157	-1.971500026562235e-05
7.9	0.06313	-0.00157	-1.971500026562235e-05
7.95	0.06308	-0.00157	-1.971500026562235e-05
8.0	0.06331	-0.00157	-1.971500026562235e-05
8.05	0.06285	-0.00157	-1.971500026562235e-05
8.1	0.06308	-0.00157	-1.971500026562235e-05
8.15	0.06268	-0.00157	-1.971500026562235e-05
8.2	0.06264	-0.00157	-1.971500026562235e-05
8.25	0.06279	-0.00157	-1.971500026562235e-05
8.3	0.06256	-0.00157	-1.971500026562235e-05
8.35	0.06248	-0.00157	-1.971500026562235e-05
8.4	0.06238	-0.00157	-1.971500026562235e-05
8.45	0.06256	-0.00157	-1.971500026562235e-05
