Time (s) Florinda 0.02 1.5	Light Intensity (% of scale max) Florinda 0.02 1.5	Position (m) Florinda 0.02 1.5	Time (s) Arianna 0.02 1.5	Light Intensity (% of scale max) Arianna 0.02 1.5	Position (m) Arianna 0.02 1.5	Time (s) Antonio 0.02 1.5	Light Intensity (% of scale max) Antonio 0.02 1.5	Position (m) Antonio 0.02 1.5	Time (s) Florinda 0.04 1.5	Light Intensity (% of scale max) Florinda 0.04 1.5	Position (m) Florinda 0.04 1.5	Time (s) Matteo 0.04 1.5	Light Intensity (% of scale max) Matteo 0.04 1.5	Position (m) Matteo 0.04 1.5	Time (s) Antonio 0.04 1.5	Light Intensity (% of scale max) Antonio 0.04 1.5	Position (m) Antonio 0.04 1.5	Time (s) Arianna 0.08 1.5	Light Intensity (% of scale max) Arianna 0.08 1.5	Position (m) Arianna 0.08 1.5	Time (s) Florinda 0.08 1.5	Light Intensity (% of scale max) Florinda 0.08 1.5	Position (m) Florinda 0.08 1.5	Time (s) Matteo 0.08 1.5	Light Intensity (% of scale max) Matteo 0.08 1.5	Position (m) Matteo 0.08 1.5	Time (s) Florinda 0.02 1.0 candela	Light Intensity (% of scale max) Florinda 0.02 1.0 candela	Position (m) Florinda 0.02 1.0 candela	Time (s) Antonio 0.04 1.0 candela	Light Intensity (% of scale max) Antonio 0.04 1.0 candela	Position (m) Antonio 0.04 1.0 candela	Time (s) Matteo 0.04 1.0	Light Intensity (% of scale max) Matteo 0.04 1.0	Position (m) Matteo 0.04 1.0	Time (s) Arianna 0.08 1.0	Light Intensity (% of scale max) Arianna 0.08 1.0	Position (m) Arianna 0.08 1.0	Time (s) Antonio 0.08 0.5	Light Intensity (% of scale max) Antonio 0.08 0.5	Position (m) Antonio 0.08 0.5	Time (s) Florinda 0.04 0.5	Light Intensity (% of scale max) Florinda 0.04 0.5	Position (m) Florinda 0.04 0.5	Time (s) Laser rumore costante sole	Light Intensity (% of scale max) Laser rumore costante sole	Position (m) Laser rumore costante sole	Time (s) Corrente di buio t candela	Light Intensity (% of scale max) Corrente di buio t candela	Position (m) Corrente di buio t candela	Time (s) Corrente di buio t lampadina	Light Intensity (% of scale max) Corrente di buio t lampadina	Position (m) Corrente di buio t lampadina	Time (s) Rumore t lampadina	Light Intensity (% of scale max) Rumore t lampadina	Position (m) Rumore t lampadina	Time (s) Rumore t candela	Light Intensity (% of scale max) Rumore t candela	Position (m) Rumore t candela	Time (s) Rumore s lampadina	Light Intensity (% of scale max) Rumore s lampadina	Position (m) Rumore s lampadina	Time (s) Antonio 2 0.02 1.5	Light Intensity (% of scale max) Antonio 2 0.02 1.5	Position (m) Antonio 2 0.02 1.5
0,000	0,0	0,0000	0,000	0,0	0,0000	0,000	0,0	0,0000	0,000	0,0	0,0000	0,000	0,0	0,0000	0,000	0,0	0,0000	0,000	0,0	0,0000	0,000	0,1	1,5000E-4	0,000	0,0	0,0000	0,000	1,1	0,0000	0,000	1,0	0,0000	0,000	0,0	0,0000	0,000	0,0	0,0000	0,000	0,0	0,0000	0,000	0,0	0,0000	0,000	32,7	0,0000	0,000	1,7	0,0000	0,000	0,0	0,0000	0,000	0,1	0,0000	0,000	4,7	0,0000	0,000	0,1	0,0000	0,000	0,0	0,0000
0,050	0,0	0,0000	0,050	0,0	0,0000	0,050	0,0	0,0000	0,050	0,0	0,0000	0,050	0,0	0,0000	0,050	0,0	0,0000	0,050	0,0	0,0000	0,050	0,1	1,5000E-4	0,050	0,0	0,0000	0,050	1,1	0,0000	0,050	1,2	0,0000	0,050	0,0	0,0000	0,050	0,0	0,0000	0,050	0,0	0,0000	0,050	0,0	0,0000	0,050	32,7	0,0000	0,050	1,7	0,0000	0,050	0,0	0,0000	0,050	0,1	0,0000	0,050	4,7	0,0000	0,050	0,1	0,0000	0,050	0,0	0,0000
0,100	0,0	0,0000	0,100	0,0	0,0000	0,100	0,0	0,0000	0,100	0,0	0,0000	0,100	0,0	0,0000	0,100	0,0	0,0000	0,100	0,0	0,0000	0,100	0,1	1,3125E-4	0,100	0,0	0,0000	0,100	1,1	0,0000	0,100	1,1	0,0000	0,100	0,0	0,0000	0,100	0,0	0,0000	0,100	0,0	0,0000	0,100	0,0	0,0000	0,100	32,6	0,0000	0,100	1,7	0,0000	0,100	0,0	0,0000	0,100	0,1	0,0000	0,100	4,7	0,0000	0,100	0,1	0,0000	0,100	0,0	0,0000
0,150	0,0	0,0000	0,150	0,0	2,8125E-5	0,150	0,0	0,0000	0,150	0,0	0,0000	0,150	0,0	0,0000	0,150	0,0	0,0000	0,150	0,0	0,0000	0,150	0,1	1,1250E-4	0,150	0,0	0,0000	0,150	1,0	0,0000	0,150	1,1	0,0000	0,150	0,0	0,0000	0,150	0,0	0,0000	0,150	0,0	0,0000	0,150	0,0	0,0000	0,150	32,7	0,0000	0,150	1,7	0,0000	0,150	0,0	0,0000	0,150	0,1	0,0000	0,150	4,7	0,0000	0,150	0,1	0,0000	0,150	0,0	0,0000
0,200	0,0	0,0000	0,200	0,0	3,7500E-5	0,200	0,0	0,0000	0,200	0,0	0,0000	0,200	0,0	0,0000	0,200	0,0	0,0000	0,200	0,0	0,0000	0,200	0,1	1,1250E-4	0,200	0,0	0,0000	0,200	1,0	0,0000	0,200	1,2	0,0000	0,200	0,0	0,0000	0,200	0,0	0,0000	0,200	0,0	0,0000	0,200	0,0	0,0000	0,200	32,7	0,0000	0,200	1,6	0,0000	0,200	0,0	0,0000	0,200	0,1	0,0000	0,200	4,7	0,0000	0,200	0,1	0,0000	0,200	0,0	0,0000
0,250	0,0	0,0000	0,250	0,0	3,7500E-5	0,250	0,0	0,0000	0,250	0,0	0,0000	0,250	0,0	0,0000	0,250	0,0	0,0000	0,250	0,0	0,0000	0,250	0,1	1,1250E-4	0,250	0,0	0,0000	0,250	0,9	0,0000	0,250	0,9	0,0000	0,250	0,0	0,0000	0,250	0,0	0,0000	0,250	0,0	-1,4063E-4	0,250	0,0	0,0000	0,250	32,7	0,0000	0,250	1,6	0,0000	0,250	0,0	0,0000	0,250	0,1	0,0000	0,250	4,7	0,0000	0,250	0,1	0,0000	0,250	0,0	0,0000
0,300	0,0	0,0000	0,300	0,0	3,7500E-5	0,300	0,0	0,0000	0,300	0,0	0,0000	0,300	0,0	0,0000	0,300	0,0	0,0000	0,300	0,0	1,1250E-4	0,300	0,1	1,1250E-4	0,300	0,0	0,0000	0,300	0,9	0,0000	0,300	1,1	0,0000	0,300	0,0	0,0000	0,300	0,0	0,0000	0,300	0,0	-3,7500E-4	0,300	0,0	0,0000	0,300	32,7	0,0000	0,300	1,7	0,0000	0,300	0,0	0,0000	0,300	0,1	0,0000	0,300	4,7	0,0000	0,300	0,1	0,0000	0,300	0,0	0,0000
0,350	0,0	0,0000	0,350	0,0	3,7500E-5	0,350	0,0	0,0000	0,350	0,0	0,0000	0,350	0,0	0,0000	0,350	0,0	0,0000	0,350	0,0	3,0938E-4	0,350	0,1	1,1250E-4	0,350	0,0	-2,8125E-5	0,350	0,8	0,0000	0,350	1,0	0,0000	0,350	0,0	0,0000	0,350	0,0	0,0000	0,350	0,0	-4,4062E-4	0,350	0,0	0,0000	0,350	32,6	0,0000	0,350	1,6	0,0000	0,350	0,0	0,0000	0,350	0,1	0,0000	0,350	4,7	0,0000	0,350	0,1	0,0000	0,350	0,0	0,0000
0,400	0,0	0,0000	0,400	0,0	3,7500E-5	0,400	0,0	0,0000	0,400	0,0	0,0000	0,400	0,0	0,0000	0,400	0,0	0,0000	0,400	0,0	4,1250E-4	0,400	0,1	7,5000E-5	0,400	0,0	-3,7500E-5	0,400	0,8	0,0000	0,400	0,9	0,0000	0,400	0,0	0,0000	0,400	0,0	0,0000	0,400	0,0	-5,2500E-4	0,400	0,0	0,0000	0,400	32,6	0,0000	0,400	1,6	0,0000	0,400	0,0	0,0000	0,400	0,1	0,0000	0,400	4,7	0,0000	0,400	0,1	0,0000	0,400	0,0	0,0000
0,450	0,0	0,0000	0,450	0,0	3,7500E-5	0,450	0,0	0,0000	0,450	0,0	0,0000	0,450	0,0	0,0000	0,450	0,0	0,0000	0,450	0,0	4,1250E-4	0,450	0,1	7,5000E-5	0,450	0,0	-3,7500E-5	0,450	0,8	0,0000	0,450	1,2	0,0000	0,450	0,0	0,0000	0,450	0,0	0,0000	0,450	0,0	-7,0313E-4	0,450	0,0	0,0000	0,450	32,6	0,0000	0,450	1,7	0,0000	0,450	0,0	0,0000	0,450	0,1	0,0000	0,450	4,7	0,0000	0,450	0,1	0,0000	0,450	0,0	0,0000
