,t,I,dI,a,da,y,dy
0,0.0,0.0446167,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
1,0.05,0.04452515,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
2,0.1,0.04440308,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
3,0.15,0.04438782,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
4,0.2,0.04452515,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
5,0.25,0.04426575,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
6,0.3,0.04432678,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
7,0.35,0.04417419,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
8,0.4,0.04388428,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
9,0.45,0.04400635,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
10,0.5,0.04386902,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
11,0.55,0.04405212,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
12,0.6,0.04415894,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
13,0.65,0.04400635,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
14,0.7,0.04405212,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
15,0.75,0.04414368,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
16,0.8,0.04385376,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
17,0.85,0.04380798,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
18,0.9,0.04379272,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
19,0.95,0.04396057,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
20,1.0,0.04359436,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
21,1.05,0.0438385,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
22,1.1,0.04373169,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
23,1.15,0.04385376,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
24,1.2,0.04388428,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
25,1.25,0.04382324,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
26,1.3,0.04382324,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
27,1.35,0.04360962,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
28,1.4,0.04341125,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
29,1.45,0.04324341,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
30,1.5,0.04347229,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
31,1.55,0.04325867,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
32,1.6,0.04351807,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
33,1.65,0.04371643,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
34,1.7,0.04364014,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
35,1.75,0.04354858,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
36,1.8,0.04333496,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
37,1.85,0.0433197,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
38,1.9,0.04367065,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
39,1.95,0.04354858,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
40,2.0,0.04380798,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
41,2.05,0.04359436,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
42,2.1,0.04351807,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
43,2.15,0.04350281,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
44,2.2,0.04336548,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
45,2.25,0.04360962,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
46,2.3,0.0436554,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
47,2.35,0.04368591,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
48,2.4,0.04368591,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
49,2.45,0.04344177,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
50,2.5,0.0431366,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
51,2.55,0.04356384,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
