,t,I,dI,a,da,y,dy
0,0.0,0.04867554,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
1,0.05,0.0486908,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
2,0.1,0.04879761,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
3,0.15,0.04885864,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
4,0.2,0.04890442,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
5,0.25,0.04888916,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
6,0.3,0.04902649,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
7,0.35,0.04902649,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
8,0.4,0.04891968,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
9,0.45,0.04872131,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
10,0.5,0.04872131,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
11,0.55,0.0488739,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
12,0.6,0.04864502,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
13,0.65,0.04896545,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
14,0.7,0.0488739,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
15,0.75,0.04917908,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
16,0.8,0.04922485,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
17,0.85,0.04920959,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
18,0.9,0.04924011,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
19,0.95,0.04919434,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
20,1.0,0.04969788,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
21,1.05,0.04985046,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
22,1.1,0.04959106,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
23,1.15,0.04972839,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
24,1.2,0.04985046,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
25,1.25,0.04986572,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
26,1.3,0.05004883,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
27,1.35,0.05014038,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
28,1.4,0.04994202,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
29,1.45,0.04943848,0.001,-0.000392699375,0.0031415926535897933,-4.931253683079447e-06,3.945e-05
30,1.5,0.04945374,0.001,-0.00706859,0.0031415926535897933,-8.87625819920863e-05,3.945e-05
31,1.55,0.04968262,0.001,-0.01374448,0.0031415926535897933,-0.0001725939024527,3.945e-05
32,1.6,0.05007935,0.001,-0.01413718,0.0031415926535897933,-0.0001775251639841,3.945e-05
33,1.65,0.04997253,0.001,-0.01413718,0.0031415926535897933,-0.0001775251639841,3.945e-05
34,1.7,0.05029297,0.001,-0.01413718,0.0031415926535897933,-0.0001775251639841,3.945e-05
35,1.75,0.05046082,0.001,-0.01413718,0.0031415926535897933,-0.0001775251639841,3.945e-05
36,1.8,0.05052185,0.001,-0.01413718,0.0031415926535897933,-0.0001775251639841,3.945e-05
37,1.85,0.05046082,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
38,1.9,0.05059814,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
39,1.95,0.05055237,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
40,2.0,0.05079651,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
41,2.05,0.05050659,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
42,2.1,0.05056763,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
43,2.15,0.05018616,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
44,2.2,0.05044556,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
45,2.25,0.0501709,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
46,2.3,0.05032349,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
47,2.35,0.0504303,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
48,2.4,0.05052185,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
49,2.45,0.05044556,0.001,-0.01138828,0.0031415926535897933,-0.0001430063332643,3.945e-05
50,2.5,0.05041504,0.001,-0.01492258,0.0031415926535897933,-0.0001873876870469,3.945e-05
51,2.55,0.05023193,0.001,-0.01845687,0.0031415926535897933,-0.0002317689152564,3.945e-05
52,2.6,0.05059814,0.001,-0.01884957,0.0031415926535897933,-0.0002367001767878,3.945e-05
53,2.65,0.05058289,0.001,-0.01884957,0.0031415926535897933,-0.0002367001767878,3.945e-05
54,2.7,0.05046082,0.001,-0.01884957,0.0031415926535897933,-0.0002367001767878,3.945e-05
55,2.75,0.05014038,0.001,-0.01884957,0.0031415926535897933,-0.0002367001767878,3.945e-05
56,2.8,0.05033875,0.001,-0.01884957,0.0031415926535897933,-0.0002367001767878,3.945e-05
57,2.85,0.05032349,0.001,-0.02199117,0.0031415926535897933,-0.000276150269039,3.945e-05
58,2.9,0.05036926,0.001,-0.04241153,0.0031415926535897933,-0.0005325753663792,3.945e-05
59,2.95,0.05044556,0.001,-0.07461288,0.0031415926535897933,-0.0009369381840884,3.945e-05
60,3.0,0.05038452,0.001,-0.09424785,0.0031415926535897933,-0.001183500883939,3.945e-05
61,3.05,0.05046082,0.001,-0.09424785,0.0031415926535897933,-0.001183500883939,3.945e-05
62,3.1,0.05026245,0.001,-0.08875006,0.0031415926535897933,-0.0011144633480726,3.945e-05
63,3.15,0.05018616,0.001,-0.05497791,0.0031415926535897933,-0.0006903754842378,3.945e-05
64,3.2,0.04995728,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
65,3.25,0.04977417,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
66,3.3,0.04968262,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
67,3.35,0.04997253,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
68,3.4,0.04977417,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
69,3.45,0.04985046,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
70,3.5,0.04998779,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
71,3.55,0.04977417,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
72,3.6,0.04980469,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
73,3.65,0.04985046,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
74,3.7,0.04988098,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
75,3.75,0.04992676,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
76,3.8,0.04981995,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
77,3.85,0.05027771,0.001,-0.00353429,0.0031415926535897933,-4.43812282094181e-05,3.945e-05
78,3.9,0.04983521,0.001,-0.01021018,0.0031415926535897933,-0.00012821254867,3.945e-05
79,3.95,0.05006409,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
80,4.0,0.05010986,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
81,4.05,0.04992676,0.001,-0.01099558,0.0031415926535897933,-0.0001380750717329,3.945e-05
82,4.1,0.04986572,0.001,-0.01178098,0.0031415926535897933,-0.0001479375947957,3.945e-05
83,4.15,0.05003357,0.001,-0.01256638,0.0031415926535897933,-0.0001578001178585,3.945e-05
84,4.2,0.05000305,0.001,-0.01256638,0.0031415926535897933,-0.0001578001178585,3.945e-05
85,4.25,0.04978943,0.001,-0.01727877,0.0031415926535897933,-0.0002169751306621,3.945e-05
86,4.3,0.05015564,0.001,-0.02591816,0.0031415926535897933,-0.0003254627587798,3.945e-05
87,4.35,0.04994202,0.001,-0.03691374,0.0031415926535897933,-0.0004635378305128,3.945e-05
88,4.4,0.05004883,0.001,-0.05497791,0.0031415926535897933,-0.0006903754842378,3.945e-05
89,4.45,0.05021667,0.001,-0.08875006,0.0031415926535897933,-0.0011144633480726,3.945e-05
