,t,I,dI,a,da,y,dy
0,0.0,0.03895569,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
1,0.05,0.03912354,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
2,0.1,0.03878784,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
3,0.15,0.03860474,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
4,0.2,0.03852844,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
5,0.25,0.03823853,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
6,0.3,0.03819275,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
7,0.35,0.0378418,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
8,0.4,0.03785706,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
9,0.45,0.03733826,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
10,0.5,0.03651428,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
11,0.55,0.03607178,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
12,0.6,0.03565979,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
13,0.65,0.03500366,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
14,0.7,0.034729,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
15,0.75,0.03395081,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
16,0.8,0.03317261,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
17,0.85,0.03370667,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
18,0.9,0.03372192,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
19,0.95,0.03274536,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
20,1.0,0.03251648,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
21,1.05,0.03016663,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
22,1.1,0.02958679,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
23,1.15,0.03076172,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
24,1.2,0.03349304,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
25,1.25,0.03430176,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
26,1.3,0.03393555,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
27,1.35,0.03198242,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
28,1.4,0.03164673,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
29,1.45,0.03096008,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
30,1.5,0.02854919,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
31,1.55,0.03100586,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
32,1.6,0.0328064,0.001,-0.0015708,0.0031415926535897933,-1.972504612563031e-05,3.945e-05
33,1.65,0.03118896,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
34,1.7,0.03019714,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
35,1.75,0.03010559,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
36,1.8,0.02838135,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
37,1.85,0.02958679,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
38,1.9,0.03239441,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
39,1.95,0.03370667,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
40,2.0,0.03196716,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
41,2.05,0.03149414,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
42,2.1,0.03109741,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
43,2.15,0.02937317,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
44,2.2,0.02998352,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
45,2.25,0.03083801,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
46,2.3,0.03440857,0.001,-0.00314159,0.0031415926535897933,-3.944996667801052e-05,3.945e-05
