,t,I,dI,a,da,y,dy
0,0.0,0.04011536,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
1,0.05,0.04014587,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
2,0.1,0.04019165,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
3,0.15,0.04023743,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
4,0.2,0.04026794,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
5,0.25,0.04017639,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
6,0.3,0.04037476,0.001,0.00471239,0.0031415926535897933,5.917501280364084e-05,3.945e-05
7,0.35,0.04071045,0.001,0.01295908,0.0031415926535897933,0.0001627313793899,3.945e-05
8,0.4,0.04090881,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
9,0.45,0.04083252,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
10,0.5,0.0408783,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
11,0.55,0.04092407,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
12,0.6,0.04104614,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
13,0.65,0.04151917,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
14,0.7,0.04164124,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
15,0.75,0.04165649,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
16,0.8,0.04222107,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
17,0.85,0.0426178,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
18,0.9,0.043396,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
19,0.95,0.04307556,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
20,1.0,0.04333496,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
21,1.05,0.04412842,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
22,1.1,0.04452515,0.001,0.01727877,0.0031415926535897933,0.0002169751306621,3.945e-05
23,1.15,0.04444885,0.001,0.01374448,0.0031415926535897933,0.0001725939024527,3.945e-05
24,1.2,0.04489136,0.001,1.73472348e-18,0.0031415926535897933,2.178348654075244e-20,3.945e-05
25,1.25,0.04483032,0.001,-0.00785399,0.0031415926535897933,-9.862510505490144e-05,3.945e-05
26,1.3,0.04521179,0.001,-0.01806417,0.0031415926535897933,-0.0002268376537249,3.945e-05
27,1.35,0.04553223,0.001,-0.03652104,0.0031415926535897933,-0.0004586065689814,3.945e-05
28,1.4,0.04655457,0.001,-0.05811951,0.0031415926535897933,-0.000729825576489,3.945e-05
29,1.45,0.04759216,0.001,-0.08207417,0.0031415926535897933,-0.0010306320276119,3.945e-05
30,1.5,0.0483551,0.001,-0.10445803,0.0031415926535897933,-0.0013117134326091,3.945e-05
