t	%	I	y
0.0	1.04688	0.01046753	0.0
0.05	1.22055	0.01219177	0.0
0.1	1.05502	0.01054382	0.0
0.15	1.06575	0.01065063	0.0
0.2	1.23524	0.01234436	0.0
0.25	0.89796	0.00897217	0.0
0.3	1.11887	0.01118469	0.0
0.35	1.01393	0.01013184	0.0
0.4	0.89931	0.00898743	0.0
0.45	1.15944	0.01158142	0.0
0.5	0.94716	0.00946045	0.0
0.55	0.98242	0.0098114	0.0
0.6	1.05769	0.01057434	0.0
0.65	0.87843	0.0087738	0.0
0.7	1.17102	0.01170349	0.0
0.75	0.92157	0.00920105	0.0
0.8	1.26309	0.01261902	0.0
0.85	1.02612	0.01025391	0.0
0.9	1.29686	0.01295471	0.0
0.95	1.12352	0.01123047	0.0
1.0	1.48688	0.01486206	0.0
1.05	1.32678	0.01325989	0.0
1.1	1.28908	0.01287842	0.0
1.15	1.14003	0.01139832	0.0
1.2	1.09474	0.01094055	0.0
1.25	1.274	0.01272583	0.0
1.3	1.07349	0.01072693	0.0
1.35	1.22702	0.01226807	0.0
1.4	1.25302	0.01252747	0.0
1.45	0.99771	0.00996399	0.0
1.5	1.3239	0.01322937	0.0
1.55	1.13739	0.0113678	0.0
1.6	1.03719	0.01036072	0.0
1.65	1.31584	0.01315308	0.0
1.7	1.17719	0.01176453	0.0
1.75	1.06496	0.01063538	0.0
1.8	1.34904	0.01348877	0.0
1.85	1.17792	0.01176453	1.9725e-05
1.9	1.07097	0.01069641	1.9725e-05
1.95	1.30379	0.01303101	1.9725e-05
2.0	1.17659	0.01176453	1.9725e-05
2.05	0.96309	0.0096283	1.9725e-05
2.1	1.22491	0.01223755	1.9725e-05
2.15	0.99847	0.00997925	1.9725e-05
2.2	0.91844	0.00917053	0.0
2.25	1.13081	0.01130676	0.0
2.3	0.98474	0.00984192	0.0
2.35	0.90645	0.00906372	0.0
2.4	1.14943	0.01148987	0.0
2.45	1.02272	0.01022339	0.0
2.5	1.04608	0.01045227	0.0
2.55	1.22549	0.01225281	-0.00022190625000000002
2.6	1.1171	0.01116943	-0.00035505000000000004
2.65	0.99051	0.00990295	-0.0005786000000000001
2.7	1.21053	0.01210022	-0.00068906
2.75	1.14175	0.01141357	-0.00093628
2.8	1.10765	0.01106262	-0.0012624
2.85	1.08279	0.01081848	-0.0015148800000000001
2.9	1.29674	0.01295471	-0.00178314
2.95	1.12125	0.01119995	-0.00225128
3.0	1.00093	0.00999451	-0.00280358
3.05	1.24522	0.01245117	-0.00309288
3.1	1.11272	0.01112366	-0.00344004
3.15	0.99756	0.00996399	-0.0037609
3.2	1.26939	0.01268005	-0.00406072
3.25	0.92072	0.00920105	-0.00446048
3.3	1.0275	0.01026917	-0.0044973
3.35	1.03819	0.01037598	-0.0043447600000000005
3.4	0.88974	0.00889587	-0.00430268
3.45	1.18613	0.01185608	-0.00430268
3.5	1.01932	0.01019287	-0.00430268
3.55	0.9173	0.00917053	-0.00430268
3.6	1.20432	0.01203918	-0.00430268
3.65	1.06969	0.01069641	-0.00430268
3.7	0.9595	0.00958252	-0.00430268
3.75	1.14406	0.01142883	-0.00430268
3.8	1.20195	0.01200867	-0.00438158
3.85	0.99974	0.00999451	-0.00466562
3.9	0.95711	0.00956726	-0.0050390800000000005
3.95	1.1288	0.01127625	-0.00551774
4.0	1.00853	0.0100708	-0.0060753
4.05	0.90248	0.00901794	-0.00649084
4.1	1.17056	0.01170349	-0.00684326
4.15	1.02942	0.01028442	-0.0071430800000000004
4.2	0.96471	0.00964355	-0.0074586800000000005
4.25	1.19464	0.01193237	-0.0078637
4.3	1.08826	0.01087952	-0.00824242
4.35	0.9765	0.00975037	-0.008626400000000001
4.4	1.25154	0.01251221	-0.0089157
4.45	1.04259	0.01042175	-0.00913136
4.5	0.97943	0.00978088	-0.00943118
4.55	1.2124	0.01211548	-0.00966788
4.6	1.07927	0.01078796	-0.01004134
4.65	0.98415	0.00982666	-0.0103096
4.7	1.25529	0.01254272	-0.01035694
4.75	1.09262	0.01092529	-0.010325380000000002
4.8	1.28371	0.01283264	-0.0101781
4.85	1.26308	0.01261902	-0.0101781
4.9	1.02507	0.01023865	-0.0101781
4.95	1.16858	0.01167297	-0.0101781
5.0	1.32277	0.01321411	-0.0101781
5.05	1.11452	0.01113892	-0.0101781
5.1	1.05705	0.01055908	-0.0101781
5.15	1.17439	0.01173401	-0.0101781
5.2	1.20404	0.01203918	-0.0101781
5.25	1.14333	0.01142883	-0.01022018
5.3	1.1582	0.01158142	-0.01038324
5.35	1.35486	0.01353455	-0.010683060000000001
5.4	1.34857	0.01347351	-0.011046000000000002
5.45	1.33418	0.01333618	-0.011366860000000001
5.5	1.29684	0.01295471	-0.01169824
5.55	1.26343	0.01263428	-0.01205592
