t	%	I	y
0.0	0.02603	0.02603149	0.0
0.05	0.02632	0.02632141	0.0
0.1	0.0267	0.02670288	0.0
0.15	0.02679	0.02679443	0.0
0.2	0.02698	0.02697754	0.0
0.25	0.02699	0.0269928	-7.396874999999999e-05
0.3	0.0274	0.02740479	-0.00019725000000000002
0.35	0.02718	0.0271759	-0.00023176875
0.4	0.02733	0.02732849	-0.00027615
0.45	0.02766	0.02766418	-0.00036984375
0.5	0.02785	0.02784729	-0.0005227125
0.55	0.02782	0.02781677	-0.00068906
0.6	0.02747	0.02746582	-0.0009257600000000001
0.65	0.0276	0.02760315	-0.00122032
0.7	0.02769	0.0276947	-0.00154644
0.75	0.02786	0.02786255	-0.00165164
0.8	0.02773	0.02772522	-0.00171476
0.85	0.02751	0.0275116	-0.0019882800000000003
0.9	0.02727	0.02726746	-0.0022881
0.95	0.0269	0.02690125	-0.00263526
1.0	0.02681	0.02680969	-0.00289826
1.05	0.02641	0.02641296	-0.00330854
1.1	0.02632	0.02632141	-0.00352946
1.15	0.02635	0.02635193	-0.0037083
1.2	0.02597	0.02597046	-0.00406598
1.25	0.02582	0.02581787	-0.004560420000000001
1.3	0.02545	0.02545166	-0.00484446
1.35	0.02547	0.02546692	-0.00488654
1.4	0.02542	0.02542114	-0.00487076
1.45	0.02542	0.02542114	-0.00475504
1.5	0.02516	0.02516174	-0.00446048
1.55	0.02522	0.02522278	-0.00446048
1.6	0.02544	0.0254364	-0.00446048
1.65	0.02541	0.02540588	-0.00446048
1.7	0.02522	0.02522278	-0.00446048
1.75	0.02527	0.02526855	-0.00446048
1.8	0.02557	0.02557373	-0.00446048
1.85	0.02545	0.02545166	-0.004492040000000001
1.9	0.02554	0.02554321	-0.00453412
1.95	0.02548	0.02548218	-0.004581460000000001
2.0	0.02545	0.02545166	-0.0046919200000000005
2.05	0.02545	0.02545166	-0.0048129
2.1	0.02571	0.02571106	-0.004939140000000001
2.15	0.02577	0.02577209	-0.0051285
2.2	0.02556	0.02555847	-0.005523000000000001
2.25	0.02574	0.02574158	-0.0059438
2.3	0.02527	0.02526855	-0.006312000000000001
2.35	0.02542	0.02542114	-0.00650662
2.4	0.0256	0.02560425	-0.006648640000000001
2.45	0.02565	0.02565002	-0.00683274
2.5	0.02545	0.02545166	-0.007069440000000001
2.55	0.0257	0.0256958	-0.007337700000000001
2.6	0.02557	0.02557373	-0.0075744
2.65	0.02577	0.02577209	-0.00781636
2.7	0.02563	0.02563477	-0.00803728
2.75	0.02577	0.02577209	-0.0082319
2.8	0.02583	0.02583313	-0.0082845
2.85	0.02582	0.02581787	-0.0082845
2.9	0.02594	0.02593994	-0.00819508
2.95	0.02553	0.02552795	-0.00808988
3.0	0.02574	0.02574158	-0.00808462
3.05	0.0258	0.02580261	-0.00808462
3.1	0.02565	0.02565002	-0.00808462
3.15	0.02562	0.02561951	-0.00808462
3.2	0.02547	0.02546692	-0.00808462
3.25	0.02557	0.02557373	-0.00810566
3.3	0.02565	0.02565002	-0.00811618
3.35	0.0255	0.02549744	-0.0081267
3.4	0.02538	0.02537537	-0.00816352
3.45	0.02576	0.02575684	-0.00827924
3.5	0.02567	0.02566528	-0.008452820000000002
3.55	0.02574	0.02574158	-0.008668480000000001
3.6	0.02567	0.02566528	-0.0089157
3.65	0.0256	0.02560425	-0.00909454
3.7	0.02559	0.02558899	-0.00933124
3.75	0.02551	0.0255127	-0.009699440000000002
3.8	0.0257	0.0256958	-0.010057120000000001
3.85	0.02551	0.0255127	-0.01021492
3.9	0.02553	0.02552795	-0.01038324
3.95	0.02544	0.0254364	-0.01058838
4.0	0.02501	0.02500916	-0.010809299999999999
4.05	0.02519	0.02519226	-0.01100392
4.1	0.02341	0.02340698	-0.01114594
4.15	0.02771	0.02770996	-0.01124062
4.2	0.02553	0.02552795	-0.011461540000000001
4.25	0.02293	0.02293396	-0.01147732
4.3	0.02548	0.02548218	-0.0114405
4.35	0.02562	0.02561951	-0.011224840000000002
4.4	0.02571	0.02571106	-0.01106704
4.45	0.02589	0.02589417	-0.01106704
4.5	0.02592	0.02592468	-0.01106704
4.55	0.02565	0.02565002	-0.01106704
4.6	0.02571	0.02571106	-0.01108282
4.65	0.02594	0.02593994	-0.01108282
4.7	0.02603	0.02603149	-0.01111438
4.75	0.02606	0.02606201	-0.01117224
4.8	0.02612	0.02612305	-0.01124062
4.85	0.02589	0.02589417	-0.011377380000000001
4.9	0.02596	0.0259552	-0.01156674
4.95	0.02599	0.02598572	-0.011803440000000002
5.0	0.02594	0.02593994	-0.01210852
5.05	0.02586	0.02586365	-0.01248724
5.1	0.02567	0.02566528	-0.012792320000000001
5.15	0.02574	0.02574158	-0.01311318
5.2	0.02592	0.02592468	-0.013370920000000001
5.25	0.02579	0.02578735	-0.0136234
5.3	0.02448	0.0244751	-0.01393374
5.35	0.02226	0.02226257	-0.014144140000000001
5.4	0.02354	0.02354431	-0.01425986
5.45	0.0262	0.02619934	-0.014307199999999999
5.5	0.02635	0.02635193	-0.01431772
5.55	0.02605	0.02604675	-0.01431772
5.6	0.02618	0.02618408	-0.01430194
5.65	0.02605	0.02604675	-0.013865360000000002
5.7	0.02625	0.02624512	-0.013865360000000002
5.75	0.02605	0.02604675	-0.013865360000000002
5.8	0.02623	0.02622986	-0.013865360000000002
5.85	0.02586	0.02586365	-0.013865360000000002
5.9	0.02609	0.02609253	-0.013865360000000002
5.95	0.02556	0.02555847	-0.013865360000000002
6.0	0.02582	0.02581787	-0.013865360000000002
6.05	0.02611	0.02610779	-0.01387588
6.1	0.02589	0.02589417	-0.01393374
6.15	0.02556	0.02555847	-0.01398108
6.2	0.02582	0.02581787	-0.014044200000000001
6.25	0.0256	0.02560425	-0.0141231
6.3	0.02554	0.02554321	-0.014223040000000001
6.35	0.02544	0.0254364	-0.01429142
6.4	0.02567	0.02566528	-0.01433876
6.45	0.02548	0.02548218	-0.01445448
6.5	0.02536	0.02536011	-0.014675400000000002
