t	%	I	y
0.0	0.04012	0.04011536	0.0
0.05	0.04015	0.04014587	0.0
0.1	0.04019	0.04019165	0.0
0.15	0.04024	0.04023743	0.0
0.2	0.04027	0.04026794	0.0
0.25	0.04018	0.04017639	0.0
0.3	0.04037	0.04037476	5.9175e-05
0.35	0.04071	0.04071045	0.00016273125000000003
0.4	0.04091	0.04090881	0.000216975
0.45	0.04083	0.04083252	0.000216975
0.5	0.04088	0.0408783	0.000216975
0.55	0.04092	0.04092407	0.000216975
0.6	0.04105	0.04104614	0.000216975
0.65	0.04152	0.04151917	0.000216975
0.7	0.04164	0.04164124	0.000216975
0.75	0.04166	0.04165649	0.000216975
0.8	0.04222	0.04222107	0.000216975
0.85	0.04262	0.0426178	0.000216975
0.9	0.0434	0.043396	0.000216975
0.95	0.04308	0.04307556	0.000216975
1.0	0.04333	0.04333496	0.000216975
1.05	0.04413	0.04412842	0.000216975
1.1	0.04453	0.04452515	0.000216975
1.15	0.04445	0.04444885	0.00017259375000000003
1.2	0.04489	0.04489136	0.0
1.25	0.04483	0.04483032	-9.862500000000001e-05
1.3	0.04521	0.04521179	-0.0002268375
1.35	0.04553	0.04553223	-0.00045860625000000005
1.4	0.04655	0.04655457	-0.00073114
1.45	0.04759	0.04759216	-0.00103096
1.5	0.04836	0.0483551	-0.00130974
1.55	0.04878	0.04878235	-0.0015201400000000001
1.6	0.04974	0.04974365	-0.0017568400000000002
1.65	0.05023	0.05023193	-0.00200406
1.7	0.04997	0.04997253	-0.00227758
1.75	0.04968	0.04968262	-0.00256688
1.8	0.0493	0.04930115	-0.0028404000000000003
1.85	0.04912	0.04911804	-0.0031980800000000003
1.9	0.04921	0.04920959	-0.0035136800000000004
1.95	0.04967	0.04966736	-0.00383454
2.0	0.04938	0.04937744	-0.004297420000000001
2.05	0.04929	0.04928589	-0.00447626
2.1	0.04897	0.04896545	-0.00438684
2.15	0.0489	0.04890442	-0.00425534
2.2	0.04898	0.04898071	-0.00423956
2.25	0.04898	0.04898071	-0.00423956
2.3	0.049	0.04899597	-0.00423956
2.35	0.04895	0.0489502	-0.00423956
2.4	0.04907	0.04907227	-0.00423956
2.45	0.0491	0.04910278	-0.00423956
2.5	0.04883	0.04882812	-0.004250080000000001
2.55	0.04887	0.0488739	-0.0043658
2.6	0.04791	0.0479126	-0.00461302
2.65	0.04701	0.04701233	-0.00500226
2.7	0.04573	0.04573059	-0.0054441
2.75	0.04486	0.04486084	-0.00585964
2.8	0.04373	0.04373169	-0.00613316
2.85	0.04341	0.04341125	-0.0064592799999999995
2.9	0.04324	0.04324341	-0.0067643600000000005
2.95	0.04292	0.04292297	-0.007069440000000001
3.0	0.04349	0.04348755	-0.00751654
3.05	0.04398	0.04397583	-0.00788474
3.1	0.04469	0.04469299	-0.0082845
3.15	0.04575	0.04574585	-0.00874212
3.2	0.04759	0.04759216	-0.0091524
3.25	0.04773	0.04772949	-0.00928916
3.3	0.04767	0.04766846	-0.009252340000000001
3.35	0.04744	0.04743958	-0.00913662
3.4	0.04764	0.04763794	-0.009115580000000002
3.45	0.04787	0.04786682	-0.009115580000000002
3.5	0.04778	0.04777527	-0.009115580000000002
3.55	0.04807	0.04806519	-0.009115580000000002
3.6	0.04799	0.04798889	-0.009173440000000001
3.65	0.04793	0.04792786	-0.009262860000000001
3.7	0.04861	0.0486145	-0.00957846
3.75	0.04866	0.04866028	-0.009994
3.8	0.04852	0.04852295	-0.01043584
3.85	0.0484	0.04840088	-0.01089346
3.9	0.04881	0.04881287	-0.011451020000000001
3.95	0.04837	0.04837036	-0.012124300000000001
4.0	0.04491	0.04490662	-0.012802840000000001
4.05	0.04373	0.04373169	-0.01339722
4.1	0.04343	0.04342651	-0.01394426
4.15	0.04332	0.0433197	-0.014196740000000001
4.2	0.04356	0.04356384	-0.014223040000000001
4.25	0.04303	0.04302979	-0.014223040000000001
4.3	0.04332	0.0433197	-0.01421252
4.35	0.04305	0.04304504	-0.0140705
4.4	0.04301	0.04301453	-0.014007380000000002
4.45	0.043	0.04299927	-0.014007380000000002
4.5	0.04312	0.04312134	-0.014007380000000002
4.55	0.04326	0.04325867	-0.014007380000000002
4.6	0.04321	0.04321289	-0.014007380000000002
4.65	0.04315	0.04315186	-0.014054720000000001
4.7	0.04333	0.04333496	-0.01434928
