t	%	I	y
0.0	0.03712	0.03712463	0.0
0.05	0.03711	0.03710937	0.0
0.1	0.03729	0.03729248	0.0
0.15	0.03694	0.03694153	0.0
0.2	0.03732	0.037323	0.0
0.25	0.03712	0.03712463	0.0
0.3	0.03728	0.03727722	0.0
0.35	0.0374	0.03739929	0.0
0.4	0.03751	0.0375061	0.0
0.45	0.03719	0.03718567	0.0
0.5	0.03731	0.03730774	0.0
0.55	0.03719	0.03718567	0.0
0.6	0.03712	0.03712463	0.0
0.65	0.03714	0.03713989	0.0
0.7	0.03712	0.03712463	0.0
0.75	0.03685	0.03684998	0.0
0.8	0.03659	0.03659058	0.0
0.85	0.0367	0.03669739	0.0
0.9	0.03621	0.03620911	0.0
0.95	0.03618	0.03617859	0.0
1.0	0.03615	0.03614807	0.0
1.05	0.0361	0.03610229	0.0
1.1	0.0361	0.03610229	0.0
1.15	0.03604	0.03604126	0.0
1.2	0.03619	0.03619385	0.0
1.25	0.03604	0.03604126	0.0
1.3	0.03607	0.03607178	0.0
1.35	0.03603	0.036026	0.0
1.4	0.03596	0.03596497	0.0
1.45	0.03596	0.03596497	0.0
1.5	0.03578	0.03578186	0.0
1.55	0.03569	0.03569031	0.0
1.6	0.03566	0.03565979	0.0
1.65	0.03561	0.03561401	0.0
1.7	0.03557	0.03556824	0.0
1.75	0.03566	0.03565979	0.0
1.8	0.03554	0.03553772	0.0
1.85	0.03542	0.03541565	0.0
1.9	0.03535	0.03535461	0.0
1.95	0.03575	0.03575134	0.0
2.0	0.03561	0.03561401	0.0
2.05	0.03542	0.03541565	0.0
2.1	0.03563	0.03562927	0.0
2.15	0.03566	0.03565979	0.0
2.2	0.03542	0.03541565	0.0
2.25	0.03535	0.03535461	0.0
2.3	0.03531	0.03530884	0.0
2.35	0.03531	0.03530884	0.0
2.4	0.03528	0.03527832	0.0
2.45	0.0354	0.03540039	0.0
2.5	0.03549	0.03549194	0.0
2.55	0.03522	0.03521729	0.0
2.6	0.03545	0.03544617	0.0
2.65	0.03523	0.03523254	0.0
2.7	0.03522	0.03521729	0.0
2.75	0.0354	0.03540039	0.0
2.8	0.03522	0.03521729	0.0
2.85	0.03522	0.03521729	0.0
2.9	0.03529	0.03529358	0.0
2.95	0.03537	0.03536987	0.0
3.0	0.03523	0.03523254	0.0
3.05	0.03532	0.0353241	0.0
3.1	0.03506	0.0350647	0.0
3.15	0.03528	0.03527832	0.0
3.2	0.03517	0.03517151	0.0
3.25	0.03516	0.03515625	0.0
3.3	0.03537	0.03536987	0.0
3.35	0.03522	0.03521729	0.0
3.4	0.03537	0.03536987	0.0
3.45	0.0352	0.03520203	0.0
3.5	0.03537	0.03536987	0.0
3.55	0.03554	0.03553772	0.0
3.6	0.03535	0.03535461	0.0
3.65	0.03529	0.03529358	0.0
3.7	0.03505	0.03504944	0.0
3.75	0.03568	0.03567505	0.0
3.8	0.03531	0.03530884	0.0
3.85	0.03532	0.0353241	0.0
3.9	0.03529	0.03529358	0.0
3.95	0.03537	0.03536987	0.0
4.0	0.03537	0.03536987	0.0
4.05	0.03549	0.03549194	0.0
4.1	0.03554	0.03553772	0.0
4.15	0.0356	0.03559875	0.0
4.2	0.03528	0.03527832	0.0
4.25	0.03539	0.03538513	0.0
4.3	0.03563	0.03562927	0.0
4.35	0.03554	0.03553772	0.0
4.4	0.03516	0.03515625	0.0
4.45	0.03485	0.03485107	0.0
4.5	0.03517	0.03517151	0.0
4.55	0.03572	0.03572083	0.0
4.6	0.03584	0.0358429	0.0
4.65	0.03593	0.03593445	0.0
4.7	0.03581	0.03581238	0.0
4.75	0.03549	0.03549194	0.0
4.8	0.03534	0.03533936	0.0
4.85	0.03513	0.03512573	0.0
4.9	0.03508	0.03507996	0.0
4.95	0.03476	0.03475952	0.0
5.0	0.03493	0.03492737	0.0
5.05	0.035	0.03500366	0.0
5.1	0.03519	0.03518677	0.0
5.15	0.03522	0.03521729	0.0
5.2	0.03514	0.03514099	0.0
5.25	0.03516	0.03515625	0.0
5.3	0.03548	0.03547668	0.0
5.35	0.03537	0.03536987	0.0
5.4	0.03571	0.03570557	0.0
5.45	0.03551	0.0355072	0.0
5.5	0.03566	0.03565979	0.0
5.55	0.03568	0.03567505	0.0
5.6	0.0358	0.03579712	0.0
5.65	0.03595	0.03594971	0.0
5.7	0.03587	0.03587341	0.0
5.75	0.03569	0.03569031	0.0
5.8	0.03561	0.03561401	0.0
5.85	0.03563	0.03562927	0.0
5.9	0.03545	0.03544617	0.0
5.95	0.03568	0.03567505	0.0
6.0	0.03557	0.03556824	0.0
6.05	0.03532	0.0353241	0.0
6.1	0.03529	0.03529358	0.0
6.15	0.0352	0.03520203	0.0
6.2	0.03557	0.03556824	0.0
6.25	0.03523	0.03523254	0.0
6.3	0.03531	0.03530884	0.0
6.35	0.03534	0.03533936	0.0
6.4	0.03534	0.03533936	0.0
6.45	0.03499	0.0349884	0.0
6.5	0.03513	0.03512573	0.0
6.55	0.03506	0.0350647	0.0
6.6	0.03511	0.03511047	0.0
6.65	0.03502	0.03501892	0.0
6.7	0.03506	0.0350647	0.0
6.75	0.03531	0.03530884	0.0
