t	%	I	y
0.0	1.12779	0.01127625	0.0
0.05	1.08249	0.01081848	0.0
0.1	1.05328	0.01052856	0.0
0.15	1.0121	0.01011658	0.0
0.2	0.95872	0.00958252	0.0
0.25	0.93518	0.00933838	0.0
0.3	0.90067	0.00900269	0.0
0.35	0.81146	0.00810242	0.0
0.4	0.7849	0.00784302	0.0
0.45	0.76666	0.00765991	0.0
0.5	0.75548	0.0075531	0.0
0.55	0.7805	0.00779724	0.0
0.6	0.79358	0.00793457	0.0
0.65	0.776	0.00775146	0.0
0.7	0.77391	0.00773621	0.0
0.75	0.76991	0.00769043	0.0
0.8	0.7587	0.00758362	0.0
0.85	0.786	0.00785828	0.0
0.9	0.80328	0.00802612	0.0
0.95	0.77797	0.00776672	0.0
1.0	0.77248	0.00772095	0.0
1.05	0.7692	0.00769043	0.0
1.1	0.75366	0.00752258	0.0
1.15	0.77704	0.00776672	0.0
1.2	0.80472	0.00804138	0.0
1.25	0.80865	0.0080719	0.0
1.3	0.80389	0.00802612	0.0
1.35	0.79845	0.00798035	0.0
1.4	0.77525	0.00775146	0.0
1.45	0.78284	0.00782776	0.0
1.5	0.80862	0.0080719	0.0
1.55	0.81593	0.00814819	0.0
1.6	0.80728	0.0080719	0.0
1.65	0.80322	0.00802612	0.0
1.7	0.78873	0.00787354	0.0
1.75	0.78818	0.00787354	0.0
1.8	0.81705	0.00816345	0.0
1.85	0.85013	0.00849915	0.0
1.9	0.84186	0.00840759	0.0
1.95	0.83751	0.00836182	0.0
2.0	0.82988	0.00828552	0.0
2.05	0.82367	0.00822449	0.0
2.1	0.84471	0.00843811	0.0
2.15	0.90137	0.00900269	0.0
2.2	0.89813	0.00897217	0.0
2.25	0.88431	0.00883484	0.0
2.3	0.873	0.00872803	0.0
2.35	0.8654	0.00865173	-4.4381250000000005e-05
2.4	0.88927	0.00888062	-0.00029587499999999997
2.45	0.96536	0.00964355	-0.00050791875
2.5	0.97284	0.00971985	-0.0005523
2.55	0.96039	0.00959778	-0.00056808
2.6	0.96005	0.00959778	-0.00065224
2.65	0.95857	0.00958252	-0.0008363400000000001
2.7	0.95831	0.00958252	-0.00101518
2.75	1.01906	0.01017761	-0.0012361000000000002
2.8	1.03896	0.01037598	-0.00147806
2.85	1.03171	0.01031494	-0.00164638
2.9	1.01852	0.01017761	-0.00180418
2.95	1.0162	0.01014709	-0.00206718
3.0	1.01051	0.01010132	-0.00230914
3.05	1.01466	0.01013184	-0.0024985
3.1	1.0795	0.01078796	-0.00274046
3.15	1.09224	0.01091003	-0.00287722
3.2	1.0746	0.01074219	-0.00289826
3.25	1.06204	0.01062012	-0.00289826
3.3	1.05353	0.01052856	-0.00289826
3.35	1.04411	0.01043701	-0.00289826
3.4	1.08743	0.01086426	-0.00289826
3.45	1.09914	0.01098633	-0.00289826
3.5	1.08057	0.01080322	-0.00289826
