t	%	I	y
0.0	0.05334	0.05334473	7.89e-05
0.05	0.05293	0.05293274	7.89e-05
0.1	0.05287	0.0528717	6.90375e-05
0.15	0.05299	0.05299377	5.9175e-05
0.2	0.05295	0.052948	5.9175e-05
0.25	0.05325	0.05325317	5.9175e-05
0.3	0.05327	0.05326843	5.9175e-05
0.35	0.05315	0.05314636	5.9175e-05
0.4	0.0533	0.05329895	3.945e-05
0.45	0.05356	0.05355835	3.945e-05
0.5	0.05373	0.0537262	1.9725e-05
0.55	0.05373	0.0537262	-2.95875e-05
0.6	0.05402	0.05401611	-0.00017752500000000002
0.65	0.05447	0.05447388	-0.0002465625
0.7	0.05452	0.05451965	-0.0003156
0.75	0.0549	0.05490112	-0.00045860625000000005
0.8	0.05508	0.05508423	-0.0005312600000000001
0.85	0.05518	0.05517578	-0.0005312600000000001
0.9	0.05521	0.0552063	-0.0005312600000000001
0.95	0.05508	0.05508423	-0.00056282
1.0	0.05556	0.05555725	-0.00073114
1.05	0.05537	0.05537415	-0.0008521199999999999
1.1	0.05531	0.05531311	-0.0008679
1.15	0.05511	0.05511475	-0.0008679
1.2	0.05513	0.05513	-0.0008679
1.25	0.05437	0.05436707	-0.0008941999999999999
1.3	0.05481	0.05480957	-0.0009257600000000001
1.35	0.05507	0.05506897	-0.0009468
1.4	0.05507	0.05506897	-0.00104674
1.45	0.05476	0.05476379	-0.00114142
1.5	0.05489	0.05488586	-0.00120454
1.55	0.05484	0.05484009	-0.0012676599999999999
1.6	0.05458	0.05458069	-0.00139916
1.65	0.05362	0.05361938	-0.0015517
1.7	0.05347	0.0534668	-0.0017042399999999999
1.75	0.05278	0.05278015	-0.00179892
1.8	0.05273	0.05273437	-0.0018567800000000001
1.85	0.05246	0.05245972	-0.00187256
1.9	0.05246	0.05245972	-0.00188308
1.95	0.05258	0.05258179	-0.0018936
2.0	0.05243	0.0524292	-0.0018936
2.05	0.05235	0.05235291	-0.0017095
2.1	0.05228	0.05227661	-0.0015780000000000002
2.15	0.05217	0.0521698	-0.0015780000000000002
2.2	0.05206	0.05206299	-0.0015780000000000002
2.25	0.05182	0.05181885	-0.0015780000000000002
2.3	0.05186	0.05186462	-0.0015780000000000002
2.35	0.05174	0.05174255	-0.0015780000000000002
2.4	0.05171	0.05171204	-0.0015780000000000002
2.45	0.05191	0.0519104	-0.0015780000000000002
2.5	0.05191	0.0519104	-0.0015780000000000002
2.55	0.05159	0.05158997	-0.0015780000000000002
2.6	0.05188	0.05187988	-0.0015990400000000001
2.65	0.05211	0.05210876	-0.0016569
