t	%	I	y
0.0	32.69162	3269.1628418	0.0
0.05	32.6828	3268.2800293	0.0
0.1	32.62999	3262.99926758	0.0
0.15	32.69481	3269.48193359	0.0
0.2	32.65704	3265.70532227	0.0
0.25	32.66005	3266.00512695	0.0
0.3	32.66853	3266.85375977	0.0
0.35	32.64265	3264.26586914	0.0
0.4	32.64789	3264.78979492	0.0
0.45	32.64984	3264.984375	0.0
0.5	32.64511	3264.51123047	0.0
0.55	32.63051	3263.05102539	0.0
0.6	32.66443	3266.44262695	0.0
0.65	32.62241	3262.24121094	0.0
0.7	32.60951	3260.9519043	0.0
0.75	32.65382	3265.38330078	0.0
0.8	32.61815	3261.81616211	0.0
0.85	32.64792	3264.79321289	0.0
0.9	32.63228	3263.22924805	0.0
0.95	32.63135	3263.13549805	0.0
1.0	32.63385	3263.38623047	0.0
1.05	32.62512	3262.51269531	0.0
1.1	32.62328	3262.328125	0.0
1.15	32.62326	3262.32617187	0.0
1.2	32.63495	3263.49609375	0.0
1.25	32.61981	3261.98095703	0.0
1.3	32.64006	3264.0065918	0.0
1.35	32.61006	3261.0065918	0.0
1.4	32.61171	3261.17163086	0.0
1.45	32.62798	3262.79785156	0.0
1.5	32.60374	3260.37426758	0.0
1.55	32.62639	3262.63916016	0.0
1.6	32.61398	3261.39868164	0.0
1.65	32.6035	3260.35083008	0.0
1.7	32.61382	3261.3815918	0.0
1.75	32.60204	3260.20458984	0.0
1.8	32.60503	3260.50341797	0.0
1.85	32.60884	3260.88476563	0.0
1.9	32.61111	3261.11230469	0.0
1.95	32.59451	3259.45166016	0.0
2.0	32.60306	3260.3059082	0.0
2.05	32.60023	3260.02392578	0.0
2.1	32.59637	3259.63842773	0.0
2.15	32.60742	3260.7434082	0.0
2.2	32.59506	3259.50708008	0.0
2.25	32.59952	3259.95239258	0.0
2.3	32.60519	3260.52075195	0.0
2.35	32.59543	3259.54345703	0.0
2.4	32.595	3259.50097656	0.0
2.45	32.60431	3260.43188477	0.0
2.5	32.58481	3258.48168945	0.0
2.55	32.61594	3261.59423828	0.0
2.6	32.58707	3258.70654297	0.0
2.65	32.60541	3260.54150391	0.0
2.7	32.60542	3260.54345703	0.0
2.75	32.5835	3258.35083008	0.0
2.8	32.61516	3261.51708984	0.0
2.85	32.59251	3259.25219727	0.0
2.9	32.59192	3259.19238281	0.0
2.95	32.60257	3260.25756836	0.0
3.0	32.58682	3258.68334961	0.0
3.05	32.57347	3257.34814453	0.0
3.1	32.58377	3258.37719727	0.0
3.15	32.61194	3261.19482422	0.0
3.2	32.55356	3255.35595703	0.0
3.25	32.60219	3260.21948242	0.0
3.3	32.59247	3259.24780273	0.0
3.35	32.56799	3256.80029297	0.0
3.4	32.58372	3258.37353516	0.0
3.45	32.55431	3255.43164062	0.0
3.5	32.57805	3257.8059082	0.0
3.55	32.57568	3257.56835938	0.0
3.6	32.5724	3257.24145508	0.0
3.65	32.56023	3256.02319336	0.0
3.7	32.56793	3256.79296875	0.0
3.75	32.59161	3259.16210938	0.0
3.8	32.56003	3256.00292969	0.0
3.85	32.55797	3255.79736328	0.0
3.9	32.62718	3262.71923828	0.0
3.95	32.55069	3255.06958008	0.0
4.0	32.58592	3258.59301758	0.0
4.05	32.55408	3255.40820313	0.0
4.1	32.55537	3255.53735352	0.0
4.15	32.59622	3259.62207031	0.0
4.2	32.5611	3256.11035156	0.0
4.25	32.55769	3255.77026367	0.0
4.3	32.58177	3258.17822266	0.0
4.35	32.57262	3257.26171875	0.0
4.4	32.56367	3256.36791992	0.0
4.45	32.58434	3258.43432617	0.0
4.5	32.5777	3257.77026367	0.0
4.55	32.58073	3258.07446289	0.0
4.6	32.59395	3259.39477539	0.0
4.65	32.5685	3256.85083008	0.0
4.7	32.58237	3258.23730469	0.0
4.75	32.59157	3259.1574707	0.0
4.8	32.56154	3256.15454102	0.0
4.85	32.58914	3258.91455078	0.0
4.9	32.56526	3256.52685547	0.0
4.95	32.56461	3256.46069336	0.0
5.0	32.58276	3258.27636719	0.0
5.05	32.56972	3256.97314453	0.0
5.1	32.56812	3256.81176758	0.0
5.15	32.58069	3258.06982422	0.0
5.2	32.57219	3257.21899414	0.0
5.25	32.57503	3257.50317383	0.0
5.3	32.57709	3257.70849609	0.0
5.35	32.57793	3257.79345703	0.0
5.4	32.58817	3258.81665039	0.0
5.45	32.57042	3257.04296875	0.0
5.5	32.58157	3258.15795898	0.0
5.55	32.58601	3258.60229492	0.0
5.6	32.5656	3256.56030273	0.0
5.65	32.58968	3258.96728516	0.0
5.7	32.58281	3258.28076172	0.0
5.75	32.57309	3257.30908203	0.0
5.8	32.58559	3258.55883789	0.0
5.85	32.57281	3257.28198242	0.0
5.9	32.57378	3257.37866211	0.0
5.95	32.57649	3257.65014648	0.0
6.0	32.57184	3257.18408203	0.0
6.05	32.57391	3257.39257813	0.0
6.1	32.57225	3257.22509766	0.0
6.15	32.57739	3257.74047852	0.0
6.2	32.58107	3258.10742188	0.0
6.25	32.57756	3257.75683594	0.0
6.3	32.58528	3258.52832031	0.0
6.35	32.57782	3257.7824707	0.0
6.4	32.5798	3257.98120117	0.0
6.45	32.57477	3257.47680664	0.0
6.5	32.57829	3257.8293457	0.0
6.55	32.59731	3259.73022461	0.0
6.6	32.56648	3256.64916992	0.0
6.65	32.58104	3258.10498047	0.0
6.7	32.5744	3257.43994141	0.0
6.75	32.56671	3256.67163086	0.0
6.8	32.58841	3258.84130859	0.0
6.85	32.57765	3257.76635742	0.0
6.9	32.5753	3257.53027344	0.0
6.95	32.58563	3258.56420898	0.0
7.0	32.58408	3258.40771484	0.0
7.05	32.58612	3258.61254883	0.0
7.1	32.58919	3258.91992188	0.0
7.15	32.58513	3258.51293945	0.0
