t	%	I	y
0.0	0.03896	0.03895569	0.0
0.05	0.03912	0.03912354	0.0
0.1	0.03879	0.03878784	0.0
0.15	0.0386	0.03860474	0.0
0.2	0.03853	0.03852844	0.0
0.25	0.03824	0.03823853	0.0
0.3	0.03819	0.03819275	0.0
0.35	0.03784	0.0378418	0.0
0.4	0.03786	0.03785706	0.0
0.45	0.03734	0.03733826	0.0
0.5	0.03651	0.03651428	0.0
0.55	0.03607	0.03607178	0.0
0.6	0.03566	0.03565979	0.0
0.65	0.035	0.03500366	0.0
0.7	0.03473	0.034729	0.0
0.75	0.03395	0.03395081	0.0
0.8	0.03317	0.03317261	0.0
0.85	0.03371	0.03370667	0.0
0.9	0.03372	0.03372192	0.0
0.95	0.03275	0.03274536	0.0
1.0	0.03252	0.03251648	0.0
1.05	0.03017	0.03016663	0.0
1.1	0.02959	0.02958679	0.0
1.15	0.03076	0.03076172	0.0
1.2	0.03349	0.03349304	0.0
1.25	0.0343	0.03430176	0.0
1.3	0.03394	0.03393555	0.0
1.35	0.03198	0.03198242	0.0
1.4	0.03165	0.03164673	0.0
1.45	0.03096	0.03096008	0.0
1.5	0.02855	0.02854919	0.0
1.55	0.03101	0.03100586	0.0
1.6	0.03281	0.0328064	-1.9725e-05
1.65	0.03119	0.03118896	-3.945e-05
1.7	0.0302	0.03019714	-3.945e-05
1.75	0.03011	0.03010559	-3.945e-05
1.8	0.02838	0.02838135	-3.945e-05
1.85	0.02959	0.02958679	-3.945e-05
1.9	0.03239	0.03239441	-3.945e-05
1.95	0.03371	0.03370667	-3.945e-05
2.0	0.03197	0.03196716	-3.945e-05
2.05	0.03149	0.03149414	-3.945e-05
2.1	0.0311	0.03109741	-3.945e-05
2.15	0.02937	0.02937317	-3.945e-05
2.2	0.02998	0.02998352	-3.945e-05
2.25	0.03084	0.03083801	-3.945e-05
2.3	0.03441	0.03440857	-3.945e-05
2.35	0.03378	0.03378296	-3.945e-05
2.4	0.03218	0.03218079	-3.945e-05
2.45	0.03084	0.03083801	-3.945e-05
2.5	0.03023	0.03022766	-3.945e-05
2.55	0.02939	0.02938843	-3.945e-05
2.6	0.03331	0.03330994	-5.9175e-05
2.65	0.03482	0.03482056	-0.00010355625
2.7	0.03476	0.03475952	-0.00011835
2.75	0.03532	0.0353241	-0.00014793749999999998
2.8	0.03421	0.03421021	-0.00033532500000000003
2.85	0.03423	0.03422546	-0.00039943125
2.9	0.03459	0.03459167	-0.000414225
2.95	0.03482	0.03482056	-0.000414225
3.0	0.03491	0.03491211	-0.000453675
3.05	0.03571	0.03570557	-0.0006680200000000001
3.1	0.03612	0.03611755	-0.0008784200000000001
3.15	0.03658	0.03657532	-0.00094154
3.2	0.03697	0.03697205	-0.0009468
3.25	0.03702	0.03701782	-0.00091524
3.3	0.03532	0.0353241	-0.0007890000000000001
3.35	0.03789	0.03788757	-0.0007521800000000001
3.4	0.03819	0.03819275	-0.0007521800000000001
3.45	0.03625	0.03625488	-0.0007521800000000001
3.5	0.03787	0.03787231	-0.0007521800000000001
3.55	0.03793	0.03793335	-0.0008679
3.6	0.03787	0.03787231	-0.0009468
3.65	0.03819	0.03819275	-0.00139916
3.7	0.03766	0.03765869	-0.00208822
3.75	0.03728	0.03727722	-0.0023669999999999997
3.8	0.03691	0.03691101	-0.00246694
3.85	0.03682	0.03681946	-0.0026510400000000003
3.9	0.03682	0.03681946	-0.00274046
3.95	0.03668	0.03668213	-0.00290352
4.0	0.03633	0.03633118	-0.0029403400000000005
4.05	0.0361	0.03610229	-0.002893
4.1	0.03578	0.03578186	-0.00272994
4.15	0.03557	0.03556824	-0.0027036399999999998
4.2	0.03551	0.0355072	-0.0027036399999999998
4.25	0.03531	0.03530884	-0.0027036399999999998
4.3	0.035	0.03500366	-0.0027036399999999998
4.35	0.0334	0.03340149	-0.0027036399999999998
4.4	0.03519	0.03518677	-0.00274046
4.45	0.0351	0.03509521	-0.00289826
4.5	0.03296	0.03295898	-0.00289826
4.55	0.03166	0.03166199	-0.00289826
4.6	0.03081	0.0308075	-0.0029193
4.65	0.02946	0.02946472	-0.0029193
4.7	0.03235	0.03234863	-0.00296138
4.75	0.03432	0.03431702	-0.00305606
4.8	0.035	0.03500366	-0.0031560000000000004
4.85	0.03235	0.03234863	-0.00324016
4.9	0.03198	0.03198242	-0.00325594
4.95	0.03149	0.03149414	-0.00327172
5.0	0.03058	0.03057861	-0.0033716600000000003
5.05	0.03218	0.03218079	-0.0035505000000000003
5.1	0.03423	0.03422546	-0.00361888
