t	%	I	y
0.0	0.09128	0.09127808	0.0
0.05	0.09134	0.09133911	0.0
0.1	0.09131	0.09130859	0.0
0.15	0.09135	0.09135437	0.0
0.2	0.09134	0.09133911	0.0
0.25	0.09142	0.09141541	0.0
0.3	0.0912	0.09120178	0.0
0.35	0.09132	0.09132385	0.0
0.4	0.09128	0.09127808	0.0
0.45	0.09151	0.09150696	0.0
0.5	0.09103	0.09103394	0.0
0.55	0.09116	0.09115601	0.0
0.6	0.09084	0.09083557	0.0
0.65	0.09068	0.09068298	0.0
0.7	0.09087	0.09086609	0.0
0.75	0.0912	0.09120178	0.0
0.8	0.09277	0.09277344	0.0
0.85	0.09346	0.09346008	0.0
0.9	0.0925	0.09249878	-9.8625e-06
0.95	0.09122	0.09121704	-9.369375000000001e-05
1.0	0.09088	0.09088135	-0.00039450000000000005
1.05	0.09108	0.09107971	-0.0009731000000000001
1.1	0.09097	0.0909729	-0.00137812
1.15	0.09096	0.09095764	-0.0019251600000000002
1.2	0.09084	0.09083557	-0.00262474
1.25	0.09064	0.09063721	-0.0033401
1.3	0.09065	0.09065247	-0.00408176
1.35	0.09024	0.09024048	-0.004991740000000001
1.4	0.09012	0.09011841	-0.0057597
1.45	0.09	0.08999634	-0.006312000000000001
1.5	0.08977	0.08976746	-0.0066276
1.55	0.08974	0.08973694	-0.00710626
1.6	0.08939	0.08938599	-0.00791104
1.65	0.08942	0.0894165	-0.008794719999999999
1.7	0.08949	0.0894928	-0.0096258
1.75	0.08936	0.08935547	-0.010104460000000001
1.8	0.0892	0.08920288	-0.01015706
1.85	0.0896	0.08959961	-0.01015706
1.9	0.08994	0.0899353	-0.01010972
1.95	0.0899	0.08990479	-0.010062380000000001
2.0	0.08981	0.08981323	-0.010062380000000001
2.05	0.08965	0.08964539	-0.010062380000000001
2.1	0.08966	0.08966064	-0.010062380000000001
2.15	0.08984	0.08984375	-0.010062380000000001
2.2	0.08981	0.08981323	-0.010062380000000001
2.25	0.08961	0.08961487	-0.010062380000000001
2.3	0.0898	0.08979797	-0.01013076
2.35	0.08978	0.08978271	-0.010325380000000002
2.4	0.08969	0.08969116	-0.010609420000000001
2.45	0.08942	0.0894165	-0.011282700000000001
2.5	0.0898	0.08979797	-0.012034880000000001
2.55	0.08923	0.0892334	-0.01263452
2.6	0.08902	0.08901978	-0.01311844
2.65	0.08928	0.08927917	-0.01372334
2.7	0.08926	0.08926392	-0.01416518
2.75	0.08902	0.08901978	-0.01442292
2.8	0.08971	0.08970642	-0.014969960000000001
2.85	0.08983	0.08982849	-0.015616940000000001
2.9	0.09	0.08999634	-0.01618502
2.95	0.09009	0.09008789	-0.0167794
3.0	0.08972	0.08972168	-0.01725806
3.05	0.08954	0.08953857	-0.01750002
3.1	0.08957	0.08956909	-0.0178314
3.15	0.0896	0.08959961	-0.01807336
3.2	0.08929	0.08929443	-0.01810492
3.25	0.08955	0.08955383	-0.01810492
3.3	0.08932	0.08932495	-0.01810492
3.35	0.08939	0.08938599	-0.01810492
3.4	0.08934	0.08934021	-0.01810492
3.45	0.08945	0.08944702	-0.01810492
3.5	0.08908	0.08908081	-0.01810492
3.55	0.08905	0.08905029	-0.018062840000000004
3.6	0.08882	0.08882141	-0.01804706
3.65	0.08871	0.0887146	-0.01805758
3.7	0.089	0.08900452	-0.018157520000000003
3.75	0.08922	0.08921814	-0.01864144
3.8	0.08928	0.08927917	-0.01954616
3.85	0.08936	0.08935547	-0.02021418
3.9	0.08955	0.08955383	-0.02071914
3.95	0.08928	0.08927917	-0.02126092
4.0	0.08911	0.08911133	-0.0217764
4.05	0.08885	0.08885193	-0.022602220000000003
4.1	0.08923	0.0892334	-0.02328602
4.15	0.08897	0.088974	-0.024069760000000003
4.2	0.08875	0.08874512	-0.02514806
4.25	0.08893	0.08892822	-0.02565828
4.3	0.08911	0.08911133	-0.02610538
4.35	0.08864	0.08863831	-0.026584040000000003
4.4	0.08859	0.08859253	-0.027120560000000002
4.45	0.08865	0.08865356	-0.02759396
4.5	0.08861	0.08860779	-0.02758344
4.55	0.08821	0.08821106	-0.0273257
4.6	0.08833	0.08833313	-0.02724154
4.65	0.08832	0.08831787	-0.02724154
4.7	0.08844	0.08843994	-0.02724154
4.75	0.08818	0.08818054	-0.02724154
4.8	0.08972	0.08972168	-0.02724154
