t	%	I	y
0.0	4.69226	0.04692078	0.0
0.05	4.68883	0.046875	0.0
0.1	4.68599	0.04685974	0.0
0.15	4.72223	0.04721069	0.0
0.2	4.73784	0.04736328	0.0
0.25	4.71077	0.04710388	0.0
0.3	4.6954	0.04695129	0.0
0.35	4.71095	0.04710388	0.0
0.4	4.73347	0.04733276	0.0
0.45	4.71173	0.04710388	0.0
0.5	4.69627	0.04695129	0.0
0.55	4.69531	0.04695129	0.0
0.6	4.6929	0.04692078	0.0
0.65	4.64145	0.04640198	0.0
0.7	4.57527	0.04574585	0.0
0.75	4.54695	0.04545593	0.0
0.8	4.55423	0.04553223	0.0
0.85	4.50481	0.04504395	0.0
0.9	4.47723	0.04476929	0.0
0.95	4.42838	0.04428101	0.0
1.0	4.44737	0.04446411	0.0
1.05	4.42389	0.04423523	0.0
1.1	4.38083	0.04380798	0.0
1.15	4.36174	0.04360962	0.0
1.2	4.37883	0.04377747	0.0
1.25	4.42644	0.04425049	0.0
1.3	4.41695	0.04415894	0.0
1.35	4.41588	0.04414368	0.0
1.4	4.43776	0.04437256	0.0
1.45	4.48337	0.04483032	0.0
1.5	4.46181	0.0446167	0.0
1.55	4.46707	0.04466248	0.0
1.6	4.45926	0.04458618	0.0
1.65	4.56148	0.04560852	0.0
1.7	4.55959	0.04559326	0.0
1.75	4.56567	0.0456543	0.0
1.8	4.57104	0.04570007	0.0
1.85	4.60295	0.04602051	0.0
1.9	4.58975	0.04588318	0.0
1.95	4.57924	0.04579163	0.0
2.0	4.56711	0.04566956	0.0
2.05	4.62352	0.04623413	0.0
2.1	4.63922	0.04638672	0.0
2.15	4.61774	0.0461731	0.0
2.2	4.6109	0.0460968	0.0
2.25	4.62653	0.04626465	0.0
2.3	4.66899	0.04667664	0.0
2.35	4.65828	0.04656982	0.0
2.4	4.66542	0.04664612	0.0
2.45	4.68521	0.04684448	0.0
2.5	4.72107	0.04721069	0.0
2.55	4.69751	0.04696655	0.0
2.6	4.68106	0.04679871	0.0
2.65	4.67738	0.04676819	0.0
