t	%	I	y
0.0	0.06636	0.06636047	0.0
0.05	0.07184	0.07183838	0.0
0.1	0.07463	0.07463074	0.0
0.15	0.07741	0.07740784	0.0
0.2	0.0797	0.07969666	0.0
0.25	0.08292	0.08291626	0.0
0.3	0.08401	0.08401489	0.0
0.35	0.08478	0.08477783	0.0
0.4	0.08569	0.08569336	0.0
0.45	0.08681	0.08680725	0.0
0.5	0.08754	0.08753967	0.0
0.55	0.08797	0.08796692	0.0
0.6	0.08894	0.08894348	0.0
0.65	0.08928	0.08927917	0.0
0.7	0.08965	0.08964539	0.0
0.75	0.09	0.08999634	0.0
0.8	0.09062	0.09062195	0.0
0.85	0.09109	0.09109497	0.0
0.9	0.09152	0.09152222	0.0
0.95	0.09203	0.09202576	0.0
1.0	0.09218	0.09217834	0.0
1.05	0.09283	0.09283447	0.0
1.1	0.09352	0.09352112	0.0
1.15	0.09502	0.09501648	0.0
1.2	0.09586	0.09585571	0.0
1.25	0.09674	0.09674072	0.0
1.3	0.09703	0.09703064	0.0
1.35	0.09741	0.09741211	0.0
1.4	0.09698	0.09698486	0.0
1.45	0.09648	0.09648132	0.0
1.5	0.09676	0.09675598	0.0
1.55	0.1004	0.10040283	0.0
1.6	0.10258	0.10258484	0.0
1.65	0.10275	0.10275269	0.0
1.7	0.10248	0.10247803	0.0
1.75	0.10237	0.10237122	0.0
1.8	0.1024	0.10240173	0.0
1.85	0.10207	0.10206604	0.0
1.9	0.10194	0.10194397	0.0
1.95	0.10175	0.10174561	0.0
2.0	0.10168	0.10168457	0.0
2.05	0.10179	0.10179138	0.0
2.1	0.1013	0.1013031	0.0
2.15	0.10089	0.10089111	0.0
2.2	0.1008	0.10079956	0.0
2.25	0.10062	0.10061646	0.0
2.3	0.10022	0.10021973	0.0
2.35	0.10001	0.1000061	0.0
2.4	0.09991	0.09991455	0.0
2.45	0.09962	0.09962463	0.0
2.5	0.09949	0.0994873	0.0
2.55	0.09944	0.09944153	0.0
2.6	0.09898	0.09898376	0.0
2.65	0.09862	0.09861755	0.0
2.7	0.09851	0.09851074	0.0
2.75	0.09778	0.09777832	0.0
2.8	0.09682	0.09681702	0.0
2.85	0.09436	0.09436035	0.0
2.9	0.09328	0.09327698	0.0
2.95	0.09267	0.09266663	0.0
3.0	0.09268	0.09268188	0.0
3.05	0.09146	0.09146118	0.0
3.1	0.0894	0.08940125	0.0
3.15	0.08672	0.0867157	0.0
3.2	0.08412	0.0841217	0.0
3.25	0.08432	0.08432007	0.0
3.3	0.08646	0.0864563	0.0
3.35	0.08488	0.08488464	0.0
3.4	0.07915	0.07914734	0.0
3.45	0.07649	0.07649231	0.0
3.5	0.07381	0.07380676	0.0
3.55	0.06898	0.06898499	0.0
3.6	0.06699	0.06698608	0.0
3.65	0.06534	0.06533813	0.0
3.7	0.06419	0.06419373	0.0
3.75	0.062	0.06199646	0.0
3.8	0.06189	0.06188965	0.0
3.85	0.06282	0.06282043	0.0
3.9	0.06393	0.06393433	0.0
3.95	0.06491	0.06491089	0.0
4.0	0.06473	0.06472778	0.0
4.05	0.06419	0.06419373	0.0
4.1	0.06337	0.06336975	0.0
4.15	0.06247	0.06246948	0.0
4.2	0.06033	0.06033325	0.0
4.25	0.05975	0.05975342	0.0
4.3	0.0596	0.05960083	0.0
4.35	0.06009	0.06008911	0.0
4.4	0.06007	0.06007385	0.0
4.45	0.06068	0.0606842	0.0
4.5	0.0609	0.06089783	0.0
4.55	0.06181	0.06181335	0.0
4.6	0.06291	0.06291199	0.0
4.65	0.06358	0.06358337	0.0
4.7	0.06383	0.06382751	0.0
4.75	0.06407	0.06407166	0.0
4.8	0.06465	0.06465149	0.0
4.85	0.0647	0.06469727	0.0
4.9	0.06482	0.06481934	0.0
4.95	0.06482	0.06481934	0.0
5.0	0.06491	0.06491089	0.0
5.05	0.06494	0.06494141	0.0
5.1	0.06483	0.06483459	0.0
5.15	0.06454	0.06454468	0.0
5.2	0.06396	0.06396484	0.0
5.25	0.0639	0.06390381	0.0
5.3	0.06374	0.06373596	0.0
5.35	0.06364	0.06364441	0.0
5.4	0.06389	0.06388855	0.0
5.45	0.06381	0.06381226	0.0
5.5	0.06369	0.06369019	0.0
5.55	0.06401	0.06401062	0.0
5.6	0.064	0.06399536	0.0
