t	%	I	y
0.0	0.04868	0.04867554	0.0
0.05	0.04869	0.0486908	0.0
0.1	0.0488	0.04879761	0.0
0.15	0.04886	0.04885864	0.0
0.2	0.0489	0.04890442	0.0
0.25	0.04889	0.04888916	0.0
0.3	0.04903	0.04902649	0.0
0.35	0.04903	0.04902649	0.0
0.4	0.04892	0.04891968	0.0
0.45	0.04872	0.04872131	0.0
0.5	0.04872	0.04872131	0.0
0.55	0.04887	0.0488739	0.0
0.6	0.04865	0.04864502	0.0
0.65	0.04897	0.04896545	0.0
0.7	0.04887	0.0488739	0.0
0.75	0.04918	0.04917908	0.0
0.8	0.04922	0.04922485	0.0
0.85	0.04921	0.04920959	0.0
0.9	0.04924	0.04924011	0.0
0.95	0.04919	0.04919434	0.0
1.0	0.0497	0.04969788	0.0
1.05	0.04985	0.04985046	0.0
1.1	0.04959	0.04959106	0.0
1.15	0.04973	0.04972839	0.0
1.2	0.04985	0.04985046	0.0
1.25	0.04987	0.04986572	0.0
1.3	0.05005	0.05004883	0.0
1.35	0.05014	0.05014038	0.0
1.4	0.04994	0.04994202	0.0
1.45	0.04944	0.04943848	-4.93125e-06
1.5	0.04945	0.04945374	-8.876250000000001e-05
1.55	0.04968	0.04968262	-0.00017259375000000003
1.6	0.05008	0.05007935	-0.00017752500000000002
1.65	0.04997	0.04997253	-0.00017752500000000002
1.7	0.05029	0.05029297	-0.00017752500000000002
1.75	0.05046	0.05046082	-0.00017752500000000002
1.8	0.05052	0.05052185	-0.00017752500000000002
1.85	0.05046	0.05046082	-0.000138075
1.9	0.0506	0.05059814	-0.000138075
1.95	0.05055	0.05055237	-0.000138075
2.0	0.0508	0.05079651	-0.000138075
2.05	0.05051	0.05050659	-0.000138075
2.1	0.05057	0.05056763	-0.000138075
2.15	0.05019	0.05018616	-0.000138075
2.2	0.05045	0.05044556	-0.000138075
2.25	0.05017	0.0501709	-0.000138075
2.3	0.05032	0.05032349	-0.000138075
2.35	0.05043	0.0504303	-0.000138075
2.4	0.05052	0.05052185	-0.000138075
2.45	0.05045	0.05044556	-0.00014300625
2.5	0.05042	0.05041504	-0.00018738750000000002
2.55	0.05023	0.05023193	-0.00023176875
2.6	0.0506	0.05059814	-0.0002367
2.65	0.05058	0.05058289	-0.0002367
2.7	0.05046	0.05046082	-0.0002367
2.75	0.05014	0.05014038	-0.0002367
2.8	0.05034	0.05033875	-0.0002367
2.85	0.05032	0.05032349	-0.00027615
2.9	0.05037	0.05036926	-0.0005312600000000001
2.95	0.05045	0.05044556	-0.00093628
3.0	0.05038	0.05038452	-0.0011834999999999999
3.05	0.05046	0.05046082	-0.0011834999999999999
3.1	0.05026	0.05026245	-0.00111512
3.15	0.05019	0.05018616	-0.00068906
3.2	0.04996	0.04995728	0.0
3.25	0.04977	0.04977417	0.0
3.3	0.04968	0.04968262	0.0
3.35	0.04997	0.04997253	0.0
3.4	0.04977	0.04977417	0.0
3.45	0.04985	0.04985046	0.0
3.5	0.04999	0.04998779	0.0
3.55	0.04977	0.04977417	0.0
3.6	0.0498	0.04980469	0.0
3.65	0.04985	0.04985046	0.0
3.7	0.04988	0.04988098	0.0
3.75	0.04993	0.04992676	0.0
3.8	0.04982	0.04981995	0.0
3.85	0.05028	0.05027771	-4.4381250000000005e-05
3.9	0.04984	0.04983521	-0.0001282125
3.95	0.05006	0.05006409	-0.000138075
4.0	0.05011	0.05010986	-0.000138075
4.05	0.04993	0.04992676	-0.000138075
4.1	0.04987	0.04986572	-0.00014793749999999998
4.15	0.05003	0.05003357	-0.0001578
4.2	0.05	0.05000305	-0.0001578
4.25	0.04979	0.04978943	-0.000216975
4.3	0.05016	0.05015564	-0.00032546250000000006
4.35	0.04994	0.04994202	-0.0004635375
4.4	0.05005	0.05004883	-0.00068906
4.45	0.05022	0.05021667	-0.00111512
4.5	0.05013	0.05012512	-0.00154644
4.55	0.0497	0.04969788	-0.0017883999999999999
4.6	0.04912	0.04911804	-0.0020514
4.65	0.0493	0.04930115	-0.00248798
4.7	0.04878	0.04878235	-0.00296664
4.75	0.0489	0.04890442	-0.00349264
4.8	0.04877	0.04876709	-0.00382928
4.85	0.04854	0.04853821	-0.0038661
4.9	0.04868	0.04867554	-0.0038240200000000005
4.95	0.04837	0.04837036	-0.0037872
5.0	0.04848	0.04847717	-0.0037872
5.05	0.04834	0.04833984	-0.00378194
5.1	0.04831	0.04830933	-0.00374512
5.15	0.04854	0.04853821	-0.0035505000000000003
5.2	0.0484	0.04840088	-0.0033927000000000002
5.25	0.04836	0.0483551	-0.00340322
5.3	0.04854	0.04853821	-0.00349264
5.35	0.0486	0.04859924	-0.00360836
5.4	0.0484	0.04840088	-0.00382928
5.45	0.04872	0.04872131	-0.0040133799999999996
5.5	0.04852	0.04852295	-0.00447626
5.55	0.04803	0.04803467	-0.0050285600000000005
5.6	0.04767	0.04766846	-0.00558086
5.65	0.04755	0.04754639	-0.00614368
5.7	0.04735	0.04734802	-0.00667494
5.75	0.04749	0.04748535	-0.00706418
5.8	0.04756	0.04756165	-0.00730088
5.85	0.04742	0.04742432	-0.00750602
5.9	0.04762	0.04762268	-0.007742720000000001
5.95	0.04724	0.04724121	-0.007858440000000001
6.0	0.04721	0.04721069	-0.00786896
6.05	0.04713	0.0471344	-0.00786896
6.1	0.04732	0.0473175	-0.00786896
6.15	0.04729	0.04728699	-0.00786896
6.2	0.04703	0.04702759	-0.00786896
6.25	0.0472	0.04719543	-0.00769012
6.3	0.04701	0.04701233	-0.00759544
6.35	0.04747	0.04747009	-0.00751654
6.4	0.04738	0.04737854	-0.00751654
6.45	0.04713	0.0471344	-0.00751654
6.5	0.04741	0.04740906	-0.00753758
6.55	0.04735	0.04734802	-0.0076007
6.6	0.04721	0.04721069	-0.00775324
6.65	0.04732	0.0473175	-0.0078637
6.7	0.04707	0.04707336	-0.00811618
6.75	0.04729	0.04728699	-0.00856328
6.8	0.047	0.04699707	-0.00913136
6.85	0.04715	0.04714966	-0.009704700000000002
6.9	0.04695	0.04695129	-0.01036746
6.95	0.04729	0.04728699	-0.01087768
7.0	0.04707	0.04707336	-0.01130374
7.05	0.04724	0.04724121	-0.01166142
7.1	0.04726	0.04725647	-0.011892860000000002
7.15	0.04721	0.04721069	-0.01193494
7.2	0.04716	0.04716492	-0.011835
7.25	0.04716	0.04716492	-0.0117561
7.3	0.04713	0.0471344	-0.0117561
7.35	0.04723	0.04722595	-0.0117561
7.4	0.04735	0.04734802	-0.0117561
7.45	0.04739	0.0473938	-0.01169298
7.5	0.04707	0.04707336	-0.0116772
7.55	0.04733	0.04733276	-0.0116772
7.6	0.04712	0.04711914	-0.0116772
7.65	0.04692	0.04692078	-0.011714020000000002
7.7	0.04707	0.04707336	-0.01176662
