t	I	a	y
0.0	0.0446167	0.0	0.0
0.05	0.04452515	0.0	0.0
0.1	0.04440308	0.0	0.0
0.15	0.04438782	0.0	0.0
0.2	0.04452515	0.0	0.0
0.25	0.04426575	0.0	0.0
0.3	0.04432678	0.0	0.0
0.35	0.04417419	0.0	0.0
0.4	0.04388428	0.0	0.0
0.45	0.04400635	0.0	0.0
0.5	0.04386902	0.0	0.0
0.55	0.04405212	0.0	0.0
0.6	0.04415894	0.0	0.0
0.65	0.04400635	0.0	0.0
0.7	0.04405212	0.0	0.0
0.75	0.04414368	0.0	0.0
0.8	0.04385376	0.0	0.0
0.85	0.04380798	0.0	0.0
0.9	0.04379272	0.0	0.0
0.95	0.04396057	0.0	0.0
1.0	0.04359436	0.0	0.0
1.05	0.0438385	0.0	0.0
1.1	0.04373169	0.0	0.0
1.15	0.04385376	0.0	0.0
1.2	0.04388428	0.0	0.0
1.25	0.04382324	0.0	0.0
1.3	0.04382324	0.0	0.0
1.35	0.04360962	0.0	0.0
1.4	0.04341125	0.0	0.0
1.45	0.04324341	0.0	0.0
1.5	0.04347229	0.0	0.0
1.55	0.04325867	0.0	0.0
1.6	0.04351807	0.0	0.0
1.65	0.04371643	0.0	0.0
1.7	0.04364014	0.0	0.0
1.75	0.04354858	0.0	0.0
1.8	0.04333496	0.0	0.0
1.85	0.0433197	0.0	0.0
1.9	0.04367065	0.0	0.0
1.95	0.04354858	0.0	0.0
2.0	0.04380798	0.0	0.0
2.05	0.04359436	0.0	0.0
2.1	0.04351807	0.0	0.0
2.15	0.04350281	0.0	0.0
2.2	0.04336548	0.0	0.0
2.25	0.04360962	0.0	0.0
2.3	0.0436554	0.0	0.0
2.35	0.04368591	0.0	0.0
2.4	0.04368591	0.0	0.0
2.45	0.04344177	0.0	0.0
2.5	0.0431366	0.0	0.0
2.55	0.04356384	0.0	0.0
2.6	0.04371643	0.0	0.0
2.65	0.04341125	0.0	0.0
2.7	0.0435791	0.0	0.0
2.75	0.04353333	0.0	0.0
2.8	0.04345703	0.0	0.0
2.85	0.04374695	0.000392699375	4.931253683079447e-06
2.9	0.04362488	0.0015708	1.972504612563031e-05
2.95	0.04354858	0.0015708	1.972504612563031e-05
3.0	0.04338074	0.0015708	1.972504612563031e-05
3.05	0.04359436	0.0015708	1.972504612563031e-05
3.1	0.04411316	0.0015708	1.972504612563031e-05
3.15	0.04393005	0.0015708	1.972504612563031e-05
3.2	0.04394531	0.0015708	1.972504612563031e-05
3.25	0.04396057	0.0015708	1.972504612563031e-05
3.3	0.04428101	0.0015708	1.972504612563031e-05
3.35	0.04434204	0.0015708	1.972504612563031e-05
3.4	0.04440308	0.0015708	1.972504612563031e-05
3.45	0.04421997	0.0015708	1.972504612563031e-05
3.5	0.04399109	0.0015708	1.972504612563031e-05
3.55	0.04400635	0.0015708	1.972504612563031e-05
3.6	0.04426575	0.0015708	1.972504612563031e-05
3.65	0.04412842	-3.4694469499999995e-17	-4.356697295593162e-19
3.7	0.04403687	-0.03141595	-0.0003945002946463557
3.75	0.04362488	-0.11113392	-0.0013955447530698427
3.8	0.04322815	-0.19477889	-0.0024459018268074054
3.85	0.04290771	-0.24347361	-0.0030573772521159445
3.9	0.04304504	-0.28902674	-0.0036294027107464724
3.95	0.04281616	-0.33811416	-0.004245809397586419
4.0	0.0425415	-0.41311974	-0.0051876788432062655
4.05	0.04238892	-0.48184213	-0.00605064822989684
4.1	0.04219055	-0.53407115	-0.006706505008988048
4.15	0.0422821	-0.5639163	-0.007081280257508773
4.2	0.04217529	-0.57648268	-0.0072390803753673155
4.25	0.04248047	-0.59651035	-0.0074905743367493505
4.3	0.04188538	-0.60789863	-0.0076335806700136705
4.35	0.04211426	-0.61457452	-0.00771741199047435
4.4	0.04150391	-0.628319	-0.007890005892927114
4.45	0.04130554	-0.64206348	-0.00806259979537988
4.5	0.04103088	-0.65659335	-0.008245056095322209
4.55	0.04104614	-0.65816415	-0.008264781141447838
4.6	0.0406189	-0.65816415	-0.008264781141447838
4.65	0.04187012	-0.65031016	-0.008166156036392938
4.7	0.04180908	-0.65031016	-0.008166156036392938
4.75	0.04153442	-0.65031016	-0.008166156036392938
4.8	0.04142761	-0.65031016	-0.008166156036392938
4.85	0.04130554	-0.65031016	-0.008166156036392938
4.9	0.0413208	-0.65031016	-0.008166156036392938
4.95	0.04144287	-0.65031016	-0.008166156036392938
5.0	0.04107666	-0.65031016	-0.008166156036392938
5.05	0.04046631	-0.65423716	-0.008215468651707013
5.1	0.04058838	-0.68015532	-0.008540931410486913
5.15	0.04025269	-0.73316973	-0.009206650587067685
5.2	0.04020691	-0.78382795	-0.009842782320033263
5.25	0.03977966	-0.83409347	-0.010473982791467431
5.3	0.03961182	-0.87022182	-0.01092765822449068
5.35	0.03941345	-0.89810347	-0.011277777165354367
5.4	0.0390625	-0.92834132	-0.0116574836754065
5.45	0.03952026	-0.96996746	-0.012180196644296202
5.5	0.03959656	-1.01552058	-0.01275222197735348
5.55	0.03959656	-1.05047083	-0.013191103625782505
5.6	0.03933716	-1.09013346	-0.01368916016144192
