t	I	a	y
0.0	0.04867554	0.0	0.0
0.05	0.0486908	0.0	0.0
0.1	0.04879761	0.0	0.0
0.15	0.04885864	0.0	0.0
0.2	0.04890442	0.0	0.0
0.25	0.04888916	0.0	0.0
0.3	0.04902649	0.0	0.0
0.35	0.04902649	0.0	0.0
0.4	0.04891968	0.0	0.0
0.45	0.04872131	0.0	0.0
0.5	0.04872131	0.0	0.0
0.55	0.0488739	0.0	0.0
0.6	0.04864502	0.0	0.0
0.65	0.04896545	0.0	0.0
0.7	0.0488739	0.0	0.0
0.75	0.04917908	0.0	0.0
0.8	0.04922485	0.0	0.0
0.85	0.04920959	0.0	0.0
0.9	0.04924011	0.0	0.0
0.95	0.04919434	0.0	0.0
1.0	0.04969788	0.0	0.0
1.05	0.04985046	0.0	0.0
1.1	0.04959106	0.0	0.0
1.15	0.04972839	0.0	0.0
1.2	0.04985046	0.0	0.0
1.25	0.04986572	0.0	0.0
1.3	0.05004883	0.0	0.0
1.35	0.05014038	0.0	0.0
1.4	0.04994202	0.0	0.0
1.45	0.04943848	-0.000392699375	-4.931253683079447e-06
1.5	0.04945374	-0.00706859	-8.87625819920863e-05
1.55	0.04968262	-0.01374448	-0.00017259390245276502
1.6	0.05007935	-0.01413718	-0.0001775251639841726
1.65	0.04997253	-0.01413718	-0.0001775251639841726
1.7	0.05029297	-0.01413718	-0.0001775251639841726
1.75	0.05046082	-0.01413718	-0.0001775251639841726
1.8	0.05052185	-0.01413718	-0.0001775251639841726
1.85	0.05046082	-0.01099558	-0.00013807507173291196
1.9	0.05059814	-0.01099558	-0.00013807507173291196
1.95	0.05055237	-0.01099558	-0.00013807507173291196
2.0	0.05079651	-0.01099558	-0.00013807507173291196
2.05	0.05050659	-0.01099558	-0.00013807507173291196
2.1	0.05056763	-0.01099558	-0.00013807507173291196
2.15	0.05018616	-0.01099558	-0.00013807507173291196
2.2	0.05044556	-0.01099558	-0.00013807507173291196
2.25	0.0501709	-0.01099558	-0.00013807507173291196
2.3	0.05032349	-0.01099558	-0.00013807507173291196
2.35	0.0504303	-0.01099558	-0.00013807507173291196
2.4	0.05052185	-0.01099558	-0.00013807507173291196
2.45	0.05044556	-0.01138828	-0.00014300633326431956
2.5	0.05041504	-0.01492258	-0.00018738768704698776
2.55	0.05023193	-0.01845687	-0.00023176891525640586
2.6	0.05059814	-0.01884957	-0.00023670017678781343
2.65	0.05058289	-0.01884957	-0.00023670017678781343
2.7	0.05046082	-0.01884957	-0.00023670017678781343
2.75	0.05014038	-0.01884957	-0.00023670017678781343
2.8	0.05033875	-0.01884957	-0.00023670017678781343
2.85	0.05032349	-0.02199117	-0.0002761502690390741
2.9	0.05036926	-0.04241153	-0.0005325753663792677
2.95	0.05044556	-0.07461288	-0.0009369381840884386
3.0	0.05038452	-0.09424785	-0.001183500883939067
3.05	0.05046082	-0.09424785	-0.001183500883939067
