t	I	a	y
0.0	0.034729	0.0	0.0
0.05	0.03440857	0.0	0.0
0.1	0.03491211	0.0	0.0
0.15	0.03486633	0.0	0.0
0.2	0.03482056	0.0	0.0
0.25	0.03538513	0.0	0.0
0.3	0.03538513	0.0	0.0
0.35	0.03533936	0.0	0.0
0.4	0.03523254	0.0	0.0
0.45	0.03552246	0.0	0.0
0.5	0.03529358	0.0	0.0
0.55	0.03547668	0.0	0.0
0.6	0.03552246	0.0	0.0
0.65	0.03511047	0.0	0.0
0.7	0.03503418	0.0	0.0
0.75	0.03613281	0.0	0.0
0.8	0.03575134	0.0	0.0
0.85	0.03581238	0.0	0.0
0.9	0.03565979	0.0	0.0
0.95	0.03552246	0.0	0.0
1.0	0.03547668	0.0	0.0
1.05	0.03590393	0.0	0.0
1.1	0.03521729	0.0	0.0
1.15	0.03547668	-0.00589049	-7.396879739786357e-05
1.2	0.03530884	-0.02670356	-0.0003353252818427149
1.25	0.0353241	-0.02827436	-0.0003550503279683452
1.3	0.03541565	-0.03298675	-0.00041422534077198604
1.35	0.03504944	-0.04594583	-0.0005769567201619359
1.4	0.03495789	-0.06911509	-0.0008679006482219826
1.45	0.03465271	-0.08914276	-0.0011193946096040189
1.5	0.03433228	-0.11309742	-0.0014202010607268806
1.55	0.03459167	-0.13351779	-0.0016766262836403242
1.6	0.03463745	-0.16493374	-0.00207112657828668
1.65	0.03451538	-0.19792049	-0.002485351919058666
1.7	0.03474426	-0.19713509	-0.002475489395995851
1.75	0.03468323	-0.19634969	-0.0024656268729330356
1.8	0.0348053	-0.19634969	-0.0024656268729330356
1.85	0.03474426	-0.1912446	-0.002401520598597987
1.9	0.03509521	-0.1861395	-0.002337414198689689
1.95	0.0350647	-0.19281539	-0.0024212455191503675
2.0	0.03393555	-0.19792049	-0.002485351919058666
2.05	0.03509521	-0.20930877	-0.0026283582523229858
2.1	0.03492737	-0.25682539	-0.0032250398930373015
2.15	0.03417969	-0.28667054	-0.0035998151415580267
2.2	0.03416443	-0.30002232	-0.0037674777824793847
2.25	0.0337677	-0.34557545	-0.004339503241109913
2.3	0.03384399	-0.376206	-0.004724141012693453
2.35	0.03381348	-0.3785622	-0.004753728581881899
2.4	0.03387451	-0.36913741	-0.004635378430701367
2.45	0.03396606	-0.36756662	-0.004615653510148987
2.5	0.03398132	-0.36756662	-0.004615653510148987
2.55	0.03411865	-0.36756662	-0.004615653510148987
2.6	0.0337677	-0.36756662	-0.004615653510148987
2.65	0.03108215	-0.36756662	-0.004615653510148987
2.7	0.03167725	-0.36913741	-0.004635378430701367
2.75	0.03514099	-0.3765987	-0.0047290722742248615
2.8	0.03573608	-0.38641619	-0.0048523536869368
2.85	0.03504944	-0.39309207	-0.004936184881824229
2.9	0.03256226	-0.40762195	-0.005118641307339809
2.95	0.03208923	-0.45042618	-0.005656147935250485
3.0	0.03137207	-0.49165962	-0.006173929642608779
3.05	0.03062439	-0.52425367	-0.006583223721849358
3.1	0.03196716	-0.54899373	-0.006893892696035035
3.15	0.03388977	-0.55724041	-0.006997448937048094
3.2	0.03163147	-0.55763311	-0.007002380198579502
3.25	0.03364563	-0.54977913	-0.00690375521909785
3.3	0.03361511	-0.54977913	-0.00690375521909785
3.35	0.03367615	-0.54977913	-0.00690375521909785
3.4	0.03366089	-0.54977913	-0.00690375521909785
3.45	0.03370667	-0.54977913	-0.00690375521909785
3.5	0.03364563	-0.54977913	-0.00690375521909785
3.55	0.03358459	-0.54977913	-0.00690375521909785
3.6	0.03385925	-0.54977913	-0.00690375521909785
3.65	0.03239441	-0.54977913	-0.00690375521909785
3.7	0.03514099	-0.54977913	-0.00690375521909785
3.75	0.03344727	-0.54977913	-0.00690375521909785
3.8	0.03359985	-0.54977913	-0.00690375521909785
3.85	0.03514099	-0.54977913	-0.00690375521909785
3.9	0.03495789	-0.54977913	-0.00690375521909785
3.95	0.03405762	-0.54977913	-0.00690375521909785
4.0	0.03364563	-0.54977913	-0.00690375521909785
4.05	0.03385925	-0.54977913	-0.00690375521909785
4.1	0.03387451	-0.54977913	-0.00690375521909785
4.15	0.0335083	-0.54977913	-0.00690375521909785
4.2	0.03211975	-0.54977913	-0.00690375521909785
4.25	0.0349884	-0.54977913	-0.00690375521909785
4.3	0.03295898	-0.54977913	-0.00690375521909785
4.35	0.032547	-0.54977913	-0.00690375521909785
4.4	0.03068542	-0.55606232	-0.006982655278027121
4.45	0.02999878	-0.55606232	-0.006982655278027121
4.5	0.03106689	-0.55606232	-0.006982655278027121
4.55	0.03497314	-0.55606232	-0.006982655278027121
4.6	0.03515625	-0.55920391	-0.007022105244705132
4.65	0.03361511	-0.56941409	-0.007150317793375228
4.7	0.03382874	-0.57334109	-0.007199630408689304
4.75	0.03401184	-0.57726808	-0.007248942898430129
4.8	0.03399658	-0.57962428	-0.007278530467618575
4.85	0.03422546	-0.57962428	-0.007278530467618575
4.9	0.03378296	-0.57883888	-0.0072686679445557595
4.95	0.03382874	-0.57216299	-0.007184836624095082
5.0	0.03384399	-0.57019949	-0.007160180316438044
5.05	0.03390503	-0.57019949	-0.007160180316438044
5.1	0.03410339	-0.57019949	-0.007160180316438044
5.15	0.03433228	-0.57019949	-0.007160180316438044
5.2	0.03416443	-0.57491189	-0.007219355454814934
5.25	0.03100586	-0.58355127	-0.0073278429573594
5.3	0.03407288	-0.60789863	-0.0076335806700136705
5.35	0.03392029	-0.62046501	-0.0077913807878722124
5.4	0.03417969	-0.63617299	-0.007988630997982017
5.45	0.03431702	-0.66601814	-0.008363406246502742
5.5	0.03411865	-0.70293188	-0.008826944077015552
5.55	0.03427124	-0.71746176	-0.009009400502531132
5.6	0.03424072	-0.71628366	-0.00899460671793691
5.65	0.03421021	-0.71628366	-0.00899460671793691
5.7	0.03448486	-0.71628366	-0.00899460671793691
5.75	0.0345459	-0.71628366	-0.00899460671793691
5.8	0.03425598	-0.71628366	-0.00899460671793691
