t	I	a	y
0.0	0.04412842	0.0	0.0
0.05	0.04377747	0.0	0.0
0.1	0.04399109	0.0	0.0
0.15	0.04394531	0.0	0.0
0.2	0.04400635	0.0	0.0
0.25	0.04393005	0.0	0.0
0.3	0.04428101	0.0	0.0
0.35	0.04417419	0.0	0.0
0.4	0.04402161	0.0	0.0
0.45	0.04438782	0.0	0.0
0.5	0.04449463	0.0	0.0
0.55	0.04475403	0.0011781	1.4793784594222734e-05
0.6	0.04501343	0.0015708	1.972504612563031e-05
0.65	0.04516602	0.0015708	1.972504612563031e-05
0.7	0.04537964	0.0015708	1.972504612563031e-05
0.75	0.04553223	0.0015708	1.972504612563031e-05
0.8	0.0456543	0.0015708	1.972504612563031e-05
0.85	0.04612732	0.0015708	1.972504612563031e-05
0.9	0.04658508	0.0015708	1.972504612563031e-05
0.95	0.04684448	0.0015708	1.972504612563031e-05
1.0	0.04740906	0.0015708	1.972504612563031e-05
1.05	0.0480957	0.0015708	1.972504612563031e-05
1.1	0.04847717	0.0015708	1.972504612563031e-05
1.15	0.04858398	0.0015708	1.972504612563031e-05
1.2	0.04893494	0.0015708	1.972504612563031e-05
1.25	0.04942322	0.0015708	1.972504612563031e-05
1.3	0.04943848	0.0015708	1.972504612563031e-05
1.35	0.04963684	0.0015708	1.972504612563031e-05
1.4	0.04963684	0.0015708	1.972504612563031e-05
1.45	0.04971313	0.00314159	3.944996667801052e-05
1.5	0.0499115	0.00314159	3.944996667801052e-05
1.55	0.05018616	0.00314159	3.944996667801052e-05
1.6	0.0504303	0.00314159	3.944996667801052e-05
1.65	0.05075073	0.00314159	3.944996667801052e-05
1.7	0.05075073	0.00314159	3.944996667801052e-05
1.75	0.05079651	0.00314159	3.944996667801052e-05
1.8	0.05064392	0.00314159	3.944996667801052e-05
1.85	0.04943848	0.0027489	3.4518830719853045e-05
1.9	0.04893494	0.0015708	1.972504612563031e-05
1.95	0.04794312	0.0015708	1.972504612563031e-05
2.0	0.04684448	0.0015708	1.972504612563031e-05
2.05	0.04554749	0.0015708	1.972504612563031e-05
2.1	0.0448761	0.0015708	1.972504612563031e-05
2.15	0.04464722	-0.01610067	-0.0002021813460679604
2.2	0.04441833	-0.03455754	-0.00043395026132436623
2.25	0.04237366	-0.0612611	-0.0007692755431670811
2.3	0.04217529	-0.06597349	-0.0008284505559707219
2.35	0.04141235	-0.07539828	-0.0009468007071512537
2.4	0.04055786	-0.09424785	-0.001183500883939067
2.45	0.03971863	-0.11388282	-0.0014300635837896957
2.5	0.03907776	-0.11623901	-0.001459651027404891
2.55	0.03907776	-0.11623901	-0.001459651027404891
2.6	0.03860474	-0.1256638	-0.0015780011785854228
2.65	0.03839111	-0.13351779	-0.0016766262836403242
2.7	0.03831482	-0.14765496	-0.0018541513220512468
2.75	0.03834534	-0.17475122	-0.0021944078654253696
2.8	0.03855896	-0.19320809	-0.0024261767806817752
2.85	0.03878784	-0.19477889	-0.0024459018268074054
2.9	0.03877258	-0.19477889	-0.0024459018268074054
2.95	0.03872681	-0.19477889	-0.0024459018268074054
3.0	0.03845215	-0.19477889	-0.0024459018268074054
3.05	0.03846741	-0.19438619	-0.0024409705652759977
3.1	0.03862	-0.1877103	-0.002357139244815319
3.15	0.03788757	-0.18221251	-0.002288101708948863
3.2	0.03823853	-0.18221251	-0.002288101708948863
3.25	0.03814697	-0.18221251	-0.002288101708948863
3.3	0.03834534	-0.18221251	-0.002288101708948863
3.35	0.03843689	-0.18221251	-0.002288101708948863
3.4	0.03872681	-0.18221251	-0.002288101708948863
3.45	0.03881836	-0.18221251	-0.002288101708948863
3.5	0.03868103	-0.18221251	-0.002288101708948863
3.55	0.03907776	-0.18456871	-0.0023176892781373087
3.6	0.03919983	-0.1900665	-0.0023867268140037646
3.65	0.03996277	-0.19517159	-0.002450833088338813
3.7	0.04051208	-0.20184748	-0.0025346644087994915
3.75	0.04058838	-0.22619484	-0.0028404021214537612
3.8	0.04016113	-0.27017717	-0.0033927025339586594
3.85	0.04093933	-0.27331876	-0.0034321525006366697
3.9	0.04154968	-0.27410416	-0.0034420150236994847
3.95	0.0423584	-0.27960196	-0.003511052685139191
4.0	0.04273987	-0.28745594	-0.0036096776646208427
4.05	0.04418945	-0.29688073	-0.003728027815801374
4.1	0.04455566	-0.31023251	-0.0038956904567227315
4.15	0.04559326	-0.33183097	-0.004166909338657148
