t	I	a	y
0.0	0.04011536	0.0	0.0
0.05	0.04014587	0.0	0.0
0.1	0.04019165	0.0	0.0
0.15	0.04023743	0.0	0.0
0.2	0.04026794	0.0	0.0
0.25	0.04017639	0.0	0.0
0.3	0.04037476	0.00471239	5.917501280364084e-05
0.35	0.04071045	0.01295908	0.00016273137938994985
0.4	0.04090881	0.01727877	0.00021697513066218312
0.45	0.04083252	0.01727877	0.00021697513066218312
0.5	0.0408783	0.01727877	0.00021697513066218312
0.55	0.04092407	0.01727877	0.00021697513066218312
0.6	0.04104614	0.01727877	0.00021697513066218312
0.65	0.04151917	0.01727877	0.00021697513066218312
0.7	0.04164124	0.01727877	0.00021697513066218312
0.75	0.04165649	0.01727877	0.00021697513066218312
0.8	0.04222107	0.01727877	0.00021697513066218312
0.85	0.0426178	0.01727877	0.00021697513066218312
0.9	0.043396	0.01727877	0.00021697513066218312
0.95	0.04307556	0.01727877	0.00021697513066218312
1.0	0.04333496	0.01727877	0.00021697513066218312
1.05	0.04412842	0.01727877	0.00021697513066218312
1.1	0.04452515	0.01727877	0.00021697513066218312
1.15	0.04444885	0.01374448	0.00017259390245276502
1.2	0.04489136	1.73472348e-18	2.1783486540752437e-20
1.25	0.04483032	-0.00785399	-9.862510505490145e-05
1.3	0.04521179	-0.01806417	-0.00022683765372499828
1.35	0.04553223	-0.03652104	-0.0004586065689814041
1.4	0.04655457	-0.05811951	-0.0007298255764890706
1.45	0.04759216	-0.08207417	-0.0010306320276119326
1.5	0.0483551	-0.10445803	-0.001311713432609164
1.55	0.04878235	-0.12095141	-0.001518826165781782
1.6	0.04974365	-0.13980098	-0.0017555263425695954
1.65	0.05023193	-0.15943595	-0.002002089042420224
1.7	0.04997253	-0.18142711	-0.002278239185886048
1.75	0.04968262	-0.20459637	-0.002569183113946095
1.8	0.04930115	-0.22619484	-0.0028404021214537612
1.85	0.04911804	-0.25486189	-0.0032003835853802636
1.9	0.04920959	-0.27960196	-0.003511052685139191
1.95	0.04966736	-0.30552011	-0.0038365153183458406
2.0	0.04937744	-0.34243386	-0.004300053274431902
2.05	0.04928589	-0.35657103	-0.004477578312842825
2.1	0.04896545	-0.34950244	-0.004388815730850739
2.15	0.04890442	-0.33889956	-0.004255671920649234
2.2	0.04898071	-0.33772146	-0.004240878136055011
2.25	0.04898071	-0.33772146	-0.004240878136055011
2.3	0.04899597	-0.33772146	-0.004240878136055011
2.35	0.0489502	-0.33772146	-0.004240878136055011
2.4	0.04907227	-0.33772146	-0.004240878136055011
2.45	0.04910278	-0.33772146	-0.004240878136055011
2.5	0.04882812	-0.33850686	-0.0042507406591178265
2.55	0.0488739	-0.34753895	-0.0043641595487669506
2.6	0.0479126	-0.36756662	-0.004615653510148987
2.65	0.04701233	-0.39819717	-0.0050002912817325275
2.7	0.04573059	-0.43354011	-0.005444104066119709
2.75	0.04486084	-0.46652686	-0.005858329406891695
2.8	0.04373169	-0.48851802	-0.006134479550357519
2.85	0.04341125	-0.51443618	-0.0064599423091374186
2.9	0.04324341	-0.53878354	-0.006765680021791687
2.95	0.04292297	-0.5631309	-0.007071417734445957
3.0	0.04348755	-0.59847385	-0.007515230644406389
3.05	0.04397583	-0.6279263	-0.007885074631395707
3.1	0.04469299	-0.65973495	-0.008284506187573471
3.15	0.04574585	-0.69625599	-0.008743112756554875
3.2	0.04759216	-0.72885004	-0.009152406835795452
3.25	0.04772949	-0.73984562	-0.009290481907528365
3.3	0.04766846	-0.73670403	-0.009251031940850354
3.35	0.04743958	-0.72767194	-0.00913761305120123
3.4	0.04763794	-0.72570844	-0.009112956743544192
3.45	0.04786682	-0.72570844	-0.009112956743544192
3.5	0.04777527	-0.72570844	-0.009112956743544192
3.55	0.04806519	-0.72570844	-0.009112956743544192
3.6	0.04798889	-0.73042084	-0.009172131881921083
3.65	0.04792786	-0.73748943	-0.009260894463913169
3.7	0.0486145	-0.76262219	-0.009576494699630253
3.75	0.04866028	-0.79600163	-0.009995651176360398
3.8	0.04852295	-0.83095188	-0.01043453282478942
3.85	0.04840088	-0.86747292	-0.010893139393770825
3.9	0.04881287	-0.91184795	-0.01145037106780713
3.95	0.04837036	-0.96564776	-0.012125952767450718
4.0	0.04490662	-1.01944758	-0.012801534592667555
