I	y
0.01046753	0.0
0.01219177	0.0
0.01054382	0.0
0.01065063	0.0
0.01234436	0.0
0.00897217	0.0
0.01118469	0.0
0.01013184	0.0
0.00898743	0.0
0.01158142	0.0
0.00946045	0.0
0.0098114	0.0
0.01057434	0.0
0.0087738	0.0
0.01170349	0.0
0.00920105	0.0
0.01261902	0.0
0.01025391	0.0
0.01295471	0.0
0.01123047	0.0
0.01486206	0.0
0.01325989	0.0
0.01287842	0.0
0.01139832	0.0
0.01094055	0.0
0.01272583	0.0
0.01072693	0.0
0.01226807	0.0
0.01252747	0.0
0.00996399	0.0
0.01322937	0.0
0.0113678	0.0
0.01036072	0.0
0.01315308	0.0
0.01176453	0.0
0.01063538	0.0
0.01348877	0.0
0.01176453	0.0019462000000000001
0.01069641	0.0019462000000000001
0.01303101	0.0019462000000000001
0.01176453	0.0019462000000000001
0.0096283	0.0019462000000000001
0.01223755	0.0019462000000000001
0.00997925	0.0019462000000000001
0.00917053	0.0
0.01130676	0.0
0.00984192	0.0
0.00906372	0.0
0.01148987	0.0
0.01022339	0.0
0.01045227	0.0
0.01225281	-0.0221972
0.01116943	-0.035505
0.00990295	-0.05770220000000001
0.01210022	-0.06901120000000001
0.01141357	-0.0936806
0.01106262	-0.12624
0.01081848	-0.1513828
0.01295471	-0.1785244
0.01119995	-0.224865
0.00999451	-0.280095
0.01245117	-0.30918280000000004
0.01112366	-0.34421440000000003
0.00996399	-0.3762478
0.01268005	-0.406335
0.00920105	-0.44578500000000004
0.01026917	-0.44973
0.01037598	-0.4344234
0.00889587	-0.430005
0.01185608	-0.430005
0.01019287	-0.430005
0.00917053	-0.430005
0.01203918	-0.430005
0.01069641	-0.430005
0.00958252	-0.430005
0.01142883	-0.430005
0.01200867	-0.43789500000000003
0.00999451	-0.4665094
0.00956726	-0.5039606
0.01127625	-0.5518266
0.0100708	-0.60753
0.00901794	-0.6489262
0.01170349	-0.6844838
0.01028442	-0.714045
0.00964355	-0.7456050000000001
0.01193237	-0.7865278000000001
0.01087952	-0.8245049999999999
0.00975037	-0.8624822
0.01251221	-0.8915700000000001
0.01042175	-0.9132938
0.00978088	-0.942855
0.01211548	-0.966525
0.01078796	-1.0040288000000002
0.00982666	-1.0311178
0.01254272	-1.0355888000000002
0.01092529	-1.0325906
0.01283264	-1.01781
0.01261902	-1.01781
0.01023865	-1.01781
0.01167297	-1.01781
0.01321411	-1.01781
0.01113892	-1.01781
0.01055908	-1.01781
0.01173401	-1.01781
0.01203918	-1.01781
0.01142883	-1.0222284000000001
0.01158142	-1.0385344
0.01353455	-1.0680956000000001
0.01347351	-1.1046
0.01333618	-1.1366334
0.01295471	-1.1696662
0.01263428	-1.2056972
0.0145874	-1.24662
0.01341248	-1.2895416
0.01234436	-1.3215750000000002
0.01322937	-1.3447716
0.01528931	-1.3669688000000002
0.0148468	-1.3842216
0.01483154	-1.4133094000000002
0.01417542	-1.4349806
0.01559448	-1.4438700000000002
0.01629639	-1.4438700000000002
0.01513672	-1.4330344000000002
0.01295471	-1.4192006000000001
0.01373291	-1.4182538
0.01571655	-1.4182538
0.01489258	-1.4182538
0.01464844	-1.4182538
0.01370239	-1.4182538
0.01445007	-1.4182538
0.01577759	-1.4192006000000001
0.0151825	-1.4276166000000001
0.01502991	-1.4340338000000001
0.01452637	-1.4438700000000002
0.01545715	-1.4635950000000002
0.01585388	-1.4995734000000003
0.01469421	-1.550385
0.01402283	-1.6080872
0.01376343	-1.66479
0.01377869	-1.7037666
0.01582336	-1.7220188
0.01461792	-1.7402184
0.01245117	-1.75947
0.01254272	-1.7831400000000002
0.01455688	-1.8324788
0.01127625	-1.8817650000000001
0.0110321	-1.9182694
0.01252747	-1.9517756
0.01072693	-1.960665
0.01422119	-1.9581928
0.01190186	-1.9429388
0.01016235	-1.9350488
0.01342773	-1.9350488
0.01171875	-1.9350488
0.0118103	-1.9350488
0.01365662	-1.9350488
0.01216125	-1.9350488
0.01069641	-1.9359956
0.01335144	-1.9458844
0.01156616	-1.96461
0.01017761	-2.023785
0.01289368	-2.0800144
0.01098633	-2.1204638
0.00994873	-2.1520238000000003
0.01263428	-2.17764
0.01068115	-2.2023094
0.01394653	-2.23287
0.01196289	-2.2664288
0.01290894	-2.292045
0.0133667	-2.3383856
0.01124573	-2.39067
0.01438904	-2.4296466000000003
0.01023865	-2.4577350000000004
0.01449585	-2.4597338000000004
0.00959778	-2.4557888
0.01332092	-2.4429544
0.00827026	-2.4400088
0.0115509	-2.4400088
0.00695801	-2.4400088
0.0098114	-2.4400088
0.00921631	-2.4400088
0.00837708	-2.4400088
0.00909424	-2.4400088
0.00737	-2.4429544
0.00930786	-2.449845
0.00688171	-2.4804056
0.00965881	-2.5405800000000003
0.00770569	-2.5962834000000004
0.01112366	-2.62737
0.00814819	-2.6505666000000003
0.01153564	-2.6796544000000004
0.00836182	-2.7131606
0.01196289	-2.7437738000000005
0.00891113	-2.7777534
0.01263428	-2.8078406
