I	y
0.04969788	0.0
0.04963684	0.0
0.04956055	0.0
0.04934692	0.0
0.04981995	0.0
0.04960632	0.0
0.04953003	0.0
0.04951477	0.0
0.04943848	0.0
0.04934692	0.0
0.04901123	0.0
0.04934692	0.0
0.04940796	0.0
0.04986572	0.0
0.04983521	0.0
0.04977417	0.0
0.05012512	0.0
0.05030823	0.0
0.05073547	0.0
0.0508728	0.0
0.05090332	0.0
0.05104065	0.0
0.05123901	0.0
0.05131531	0.0
0.05172729	0.0
0.05189514	0.0
0.05192566	0.0
0.05195618	0.0
0.05172729	0.0
0.05169678	0.0
0.05162048	0.0
0.05174255	0.0
0.05168152	0.0
0.05166626	0.0
0.05152893	0.0
0.05143738	0.0
0.05102539	0.0
0.0514679	-0.0029456
0.05119324	-0.0335588
0.05137634	-0.090735
0.05198669	-0.15974620000000003
0.05158997	-0.1844156
0.0512085	-0.21992060000000002
0.05101013	-0.2450634
0.0506897	-0.2938762
0.0508728	-0.3491062
0.05108643	-0.3846638
0.05114746	-0.39649880000000004
0.05056763	-0.42606000000000005
0.05038452	-0.47292660000000003
0.05012512	-0.49707
0.04992676	-0.5315756
0.04954529	-0.58386
0.04907227	-0.643035
0.04924011	-0.698265
0.04879761	-0.7446056
0.0486908	-0.7811100000000001
0.04873657	-0.7949438000000001
0.04841614	-0.7919456
0.04856873	-0.7830562
0.04779053	-0.7811100000000001
0.04789734	-0.7811100000000001
0.04776001	-0.7811100000000001
0.04769897	-0.7811100000000001
0.04707336	-0.7811100000000001
0.04733276	-0.7811100000000001
0.04762268	-0.785055
0.04751587	-0.800835
0.04751587	-0.8363400000000001
0.0473175	-0.9226566
0.04736328	-1.0109194
0.04776001	-1.0784578
0.04812622	-1.1262712000000001
0.04829407	-1.1741372
0.04832458	-1.2140606
0.04821777	-1.2569822
0.04850769	-1.2959062
0.0488739	-1.345245
0.04951477	-1.3797506000000002
0.04959106	-1.4068922000000001
0.04986572	-1.4260912
0.04997253	-1.4315616
0.05003357	-1.4438700000000002
0.04995728	-1.4710116000000002
0.04966736	-1.4991
0.04972839	-1.5286612000000002
0.04975891	-1.5720562000000002
0.04981995	-1.60956
0.04992676	-1.61745
0.04995728	-1.6115588
0.05007935	-1.59378
0.05027771	-1.59378
0.05015564	-1.59378
0.05026245	-1.59378
0.05015564	-1.59378
0.05012512	-1.59378
0.050354	-1.59378
0.05023193	-1.59378
0.0500946	-1.59378
0.05024719	-1.6070878
0.05001831	-1.6193962000000002
0.05073547	-1.6667888000000002
0.0506897	-1.747635
0.0500946	-1.7930288
0.04920959	-1.8580950000000003
0.04960632	-1.9177434000000002
0.04945374	-1.9833356
0.0491333	-2.0370928
0.04858398	-2.07507
0.04830933	-2.1347184
0.04829407	-2.1736950000000004
0.04814148	-2.2230338
0.04740906	-2.2742662
0.04760742	-2.3088244
0.04753113	-2.3423306
0.04734802	-2.4069234
0.04718018	-2.48535
0.04740906	-2.5381078
0.0473175	-2.5652494
0.04740906	-2.5819761999999997
0.04747009	-2.5898662000000003
0.04760742	-2.5893927999999997
0.0473175	-2.5740862
0.04733276	-2.5543612
0.04762268	-2.5524150000000003
0.04745483	-2.5524150000000003
0.04748535	-2.5524150000000003
0.04789734	-2.5524150000000003
0.04756165	-2.5524150000000003
0.0473938	-2.5524150000000003
0.04728699	-2.5524150000000003
0.04743958	-2.5524150000000003
0.04766846	-2.5524150000000003
0.04753113	-2.5528884
0.04748535	-2.5553606
