I	y
0.04011536	0.0
0.04014587	0.0
0.04019165	0.0
0.04023743	0.0
0.04026794	0.0
0.04017639	0.0
0.04037476	0.0059438
0.04071045	0.0162534
0.04090881	0.0216712
0.04083252	0.0216712
0.0408783	0.0216712
0.04092407	0.0216712
0.04104614	0.0216712
0.04151917	0.0216712
0.04164124	0.0216712
0.04165649	0.0216712
0.04222107	0.0216712
0.0426178	0.0216712
0.043396	0.0216712
0.04307556	0.0216712
0.04333496	0.0216712
0.04412842	0.0216712
0.04452515	0.0216712
0.04444885	0.017252800000000002
0.04489136	0.0
0.04483032	-0.009888800000000001
0.04521179	-0.0226706
0.04553223	-0.045867200000000004
0.04655457	-0.07300880000000001
0.04759216	-0.1030434
0.0483551	-0.1311844
0.04878235	-0.15185620000000002
0.04974365	-0.1755788
0.05023193	-0.2001956
0.04997253	-0.2278106
0.04968262	-0.2568984
0.04930115	-0.28404
0.04911804	-0.32001840000000004
0.04920959	-0.351105
0.04966736	-0.3836644
0.04937744	-0.430005
0.04928589	-0.4477312
0.04896545	-0.4388944
0.04890442	-0.42558660000000004
0.04898071	-0.42411380000000004
0.04898071	-0.42411380000000004
0.04899597	-0.42411380000000004
0.0489502	-0.42411380000000004
0.04907227	-0.42411380000000004
0.04910278	-0.42411380000000004
0.04882812	-0.42506060000000007
0.0488739	-0.43642220000000004
0.0479126	-0.461565
0.04701233	-0.5000156
0.04573059	-0.54441
0.04486084	-0.5858061999999999
0.04373169	-0.6134738
0.04341125	-0.6459806
0.04324341	-0.6765938
0.04292297	-0.7071544000000001
0.04348755	-0.7515488
0.04397583	-0.7885266000000001
0.04469299	-0.82845
0.04574585	-0.8743172
0.04759216	-0.91524
0.04772949	-0.9290738000000001
0.04766846	-0.9251288
0.04743958	-0.9137672000000001
0.04763794	-0.911295
0.04786682	-0.911295
0.04777527	-0.911295
0.04806519	-0.911295
0.04798889	-0.9172388
0.04792786	-0.9260756
0.0486145	-0.9576356
0.04866028	-0.9995578
0.04852295	-1.0434262
0.04840088	-1.0892934
0.04881287	-1.1450494
0.04837036	-1.2125878
0.04490662	-1.2801262
0.04373169	-1.3398272000000002
0.04342651	-1.3945838000000002
0.0433197	-1.4197266000000002
0.04356384	-1.4221462
0.04302979	-1.4221462
0.0433197	-1.4211994000000001
0.04304504	-1.4068922000000001
0.04301453	-1.4004750000000001
0.04299927	-1.4004750000000001
0.04312134	-1.4004750000000001
0.04325867	-1.4004750000000001
0.04321289	-1.4004750000000001
0.04315186	-1.4054194
0.04333496	-1.4349806
0.04342651	-1.4853188
0.04420471	-1.5404962000000002
0.04519653	-1.597725
0.0460968	-1.6480106
0.04776001	-1.7012944
0.05024719	-1.75947
0.04930115	-1.8280078
0.04815674	-1.88571
0.04776001	-1.9079072000000001
0.04786682	-1.90938
0.04763794	-1.9039622
0.0475769	-1.8876562
0.04737854	-1.8876562
0.04737854	-1.8876562
0.04695129	-1.8876562
0.04675293	-1.8876562
0.04666138	-1.8876562
0.04602051	-1.8876562
0.04570007	-1.8886555999999999
0.04481506	-1.8965456
0.04400635	-1.9236872
0.04147339	-1.984335
0.0402832	-2.0504006
0.03848267	-2.1145199999999997
0.03729248	-2.1756938000000003
0.03625488	-2.244705
0.03730774	-2.3216588000000002
0.0397644	-2.418285
0.04139709	-2.5164366
0.04626465	-2.5958099999999997
0.04870605	-2.6426766
0.04953003	-2.6529862000000004
0.05027771	-2.6456222
0.05010986	-2.623425
0.05075073	-2.623425
0.05062866	-2.623425
0.05104065	-2.623425
0.0506897	-2.623425
0.05015564	-2.6238984000000003
0.04959106	-2.6253712
0.04966736	-2.6253712
0.05163574	-2.62737
0.05187988	-2.6342606
0.05162048	-2.6382056
0.05163574	-2.6421506000000003
0.05119324	-2.670765
0.04960632	-2.7334116
0.04670715	-2.7999506000000003
0.04475403	-2.8680149999999998
0.04278564	-2.9409712
0.04229736	-3.0159262
0.04322815	-3.0948262000000004
0.04464722	-3.1722534000000002
0.04898071	-3.2447362
0.05223083	-3.3310528
0.05314636	-3.4272056
0.04977417	-3.5248838
0.04574585	-3.5958938
0.04574585	-3.6037838000000004
0.045578	-3.5968406
0.0448761	-3.5795878
0.04371643	-3.5761688
0.04336548	-3.5761688
0.04244995	-3.5761688
0.04141235	-3.5761688
0.03952026	-3.5761688
0.0382843	-3.5761688
0.03723145	-3.5761688
0.03671265	-3.5850056
0.036026	-3.61362
0.03494263	-3.6678506
0.03440857	-3.7369144000000003
0.03433228	-3.7896722
0.03565979	-3.8404838000000003
0.03717041	-3.8892966
0.03890991	-3.9371100000000006
0.04142761	-3.9879216
0.04899597	-4.0495688
0.05244446	-4.1190534
0.05345154	-4.18959
0.05183411	-4.2497644
0.04908752	-4.288215
0.04940796	-4.2896878
0.04966736	-4.2813244
0.04815674	-4.2670172
0.04806519	-4.264545
0.04853821	-4.264545
0.0486908	-4.264545
0.04867554	-4.264545
