I	y
0.01127625	0.0
0.01081848	0.0
0.01052856	0.0
0.01011658	0.0
0.00958252	0.0
0.00933838	0.0
0.00900269	0.0
0.00810242	0.0
0.00784302	0.0
0.00765991	0.0
0.0075531	0.0
0.00779724	0.0
0.00793457	0.0
0.00775146	0.0
0.00773621	0.0
0.00769043	0.0
0.00758362	0.0
0.00785828	0.0
0.00802612	0.0
0.00776672	0.0
0.00772095	0.0
0.00769043	0.0
0.00752258	0.0
0.00776672	0.0
0.00804138	0.0
0.0080719	0.0
0.00802612	0.0
0.00798035	0.0
0.00775146	0.0
0.00782776	0.0
0.0080719	0.0
0.00814819	0.0
0.0080719	0.0
0.00802612	0.0
0.00787354	0.0
0.00787354	0.0
0.00816345	0.0
0.00849915	0.0
0.00840759	0.0
0.00836182	0.0
0.00828552	0.0
0.00822449	0.0
0.00843811	0.0
0.00900269	0.0
0.00897217	0.0
0.00883484	0.0
0.00872803	0.0
0.00865173	-0.0044184
0.00888062	-0.029561200000000003
0.00964355	-0.050811600000000005
0.00971985	-0.05523
0.00959778	-0.056702800000000005
0.00959778	-0.0650662
0.00958252	-0.0838444
0.00958252	-0.1015706
0.01017761	-0.12376780000000001
0.01037598	-0.14791120000000002
0.01031494	-0.1646906
0.01017761	-0.1804706
0.01014709	-0.2066128
0.01010132	-0.2307562
0.01013184	-0.2500078
0.01078796	-0.2742038
0.01091003	-0.287985
0.01074219	-0.2899312
0.01062012	-0.2899312
0.01052856	-0.2899312
0.01043701	-0.2899312
0.01086426	-0.2899312
0.01098633	-0.2899312
0.01080322	-0.2899312
0.01048279	-0.2899312
0.01036072	-0.2899312
0.01019287	-0.2899312
0.01042175	-0.2899312
0.01060486	-0.2899312
0.01057434	-0.2899312
0.01011658	-0.2899312
0.01000977	-0.2899312
0.00985718	-0.2914566
0.00987244	-0.2938762
0.0100708	-0.30771
0.01016235	-0.33432560000000006
0.00959778	-0.35505000000000003
0.00947571	-0.3767212
0.00935364	-0.3870834
0.00917053	-0.40433620000000003
0.00941467	-0.43347660000000005
0.00958252	-0.46551000000000003
0.00933838	-0.485235
0.00927734	-0.4911788
0.00923157	-0.4911788
0.00907898	-0.4911788
0.00935364	-0.4896534
0.0096283	-0.4783444
0.00958252	-0.4714012
0.00947571	-0.4714012
0.00952148	-0.4714012
0.00956726	-0.4714012
0.00979614	-0.4714012
0.01023865	-0.4714012
0.01075745	-0.4714012
0.01069641	-0.4714012
0.01075745	-0.4743994
0.01086426	-0.47934380000000004
0.01089478	-0.48228940000000003
0.01116943	-0.4901794
0.01167297	-0.5143228
0.01147461	-0.56019
0.01141357	-0.6129478
0.0113678	-0.6449812
0.01132202	-0.6652321999999999
0.01161194	-0.67065
0.01210022	-0.6711234
0.01191711	-0.6726488
0.0118866	-0.6726488
0.01164246	-0.6667050000000001
0.01168823	-0.6608138
0.01194763	-0.6608138
0.01211548	-0.6608138
0.01193237	-0.6608138
0.01190186	-0.6608138
0.0116272	-0.6608138
0.01165771	-0.6608138
0.01196289	-0.6608138
0.01191711	-0.6608138
0.01170349	-0.6608138
0.01159668	-0.6608138
0.01116943	-0.66276
0.01127625	-0.6671784000000001
0.01141357	-0.6726488
0.01106262	-0.6884288000000001
0.01077271	-0.7061550000000001
0.01055908	-0.7184634
0.00990295	-0.7327706
0.00979614	-0.7500234
0.00982666	-0.77322
0.00933838	-0.7870538
0.0088501	-0.7978894
0.00846863	-0.8072522
0.00765991	-0.808725
0.00752258	-0.808725
0.00770569	-0.8067788
0.00727844	-0.8033072
0.00706482	-0.8028338
0.00695801	-0.8028338
0.00660706	-0.8028338
0.00648499	-0.8028338
0.00672913	-0.8028338
0.00679016	-0.8028338
0.00662231	-0.8028338
0.00656128	-0.8028338
0.00634766	-0.8028338
0.00628662	-0.8033072
0.00656128	-0.80478
0.00682068	-0.80478
0.00668335	-0.80478
0.00669861	-0.80478
0.00663757	-0.8067788
0.00662231	-0.8161416000000001
0.00697327	-0.8383388
0.00740051	-0.8624822
0.00733948	-0.8935162000000001
0.00744629	-0.9142406000000001
0.00746155	-0.9251288
0.00750732	-0.9468000000000001
0.00790405	-0.9843038000000001
0.00849915	-1.0113928
0.00846863	-1.0198088
0.00849915	-1.0198088
0.00860596	-1.01781
0.00868225	-1.0143384
0.00901794	-1.013865
0.00976563	-1.013865
0.00979614	-1.013865
0.00978088	-1.013865
0.00991821	-1.013865
0.0098877	-1.0119188000000001
0.01000977	-1.005975
0.01071167	-1.005975
