I	y
0.05334473	0.00789
0.05293274	0.00789
0.0528717	0.0068906
0.05299377	0.0058912
0.052948	0.0058912
0.05325317	0.0058912
0.05326843	0.0058912
0.05314636	0.0058912
0.05329895	0.003945
0.05355835	0.003945
0.0537262	0.0019988000000000002
0.0537262	-0.0029456
0.05401611	-0.017778799999999997
0.05447388	-0.0246694
0.05451965	-0.03156
0.05490112	-0.045867200000000004
0.05508423	-0.0532312
0.05517578	-0.0532312
0.0552063	-0.0532312
0.05508423	-0.0562294
0.05555725	-0.0729562
0.05537415	-0.08531720000000001
0.05531311	-0.08679
0.05511475	-0.08679
0.05513	-0.08679
0.05436707	-0.0892622
0.05480957	-0.0926812
0.05506897	-0.09468
0.05506897	-0.1045162
0.05476379	-0.1139316
0.05488586	-0.12029619999999999
0.05484009	-0.1267134
0.05458069	-0.1400212
0.05361938	-0.15532780000000002
0.0534668	-0.17063440000000002
0.05278015	-0.17999720000000002
0.05273437	-0.185415
0.05245972	-0.18741380000000002
0.05245972	-0.1883606
0.05258179	-0.18936
0.0524292	-0.18936
0.05235291	-0.1711078
0.05227661	-0.1578
0.0521698	-0.1578
0.05206299	-0.1578
0.05181885	-0.1578
0.05186462	-0.1578
0.05174255	-0.1578
0.05171204	-0.1578
0.0519104	-0.1578
0.0519104	-0.1578
0.05158997	-0.1578
0.05187988	-0.15979880000000002
0.05210876	-0.16569
0.05218506	-0.1676888
0.0521698	-0.1725806
0.05255127	-0.17358
0.05180359	-0.1779984
0.05178833	-0.18147
0.05210876	-0.1878872
0.05194092	-0.19924880000000003
0.05168152	-0.2041406
0.05134583	-0.2080856
0.05152893	-0.21502880000000002
0.0519104	-0.22881
0.05136108	-0.2386988
0.0512085	-0.24953440000000002
0.05126953	-0.26184280000000004
0.05134583	-0.27615
0.05065918	-0.2944022
0.05072021	-0.3067106
0.05032349	-0.3160734
0.05041504	-0.319545
0.05056763	-0.319545
0.05052185	-0.319545
0.0504303	-0.319545
0.05027771	-0.311655
0.05021667	-0.29982
0.05004883	-0.29982
0.05014038	-0.29982
0.05010986	-0.29982
0.04998779	-0.29982
0.04988098	-0.29982
0.05003357	-0.29982
0.04975891	-0.29982
0.04975891	-0.29982
0.04983521	-0.29982
0.05004883	-0.29982
0.05014038	-0.29982
0.05006409	-0.3022922
0.05015564	-0.30576380000000003
0.05039978	-0.30771
0.05075073	-0.30771
0.0508728	-0.30771
0.05102539	-0.30771
0.05102539	-0.30771
0.05130005	-0.30771
0.05097961	-0.3101822
0.05111694	-0.31365380000000004
0.05107117	-0.31854560000000004
0.0509491	-0.32349
