I	y
3269.1628418	0.0
3268.2800293	0.0
3262.99926758	0.0
3269.48193359	0.0
3265.70532227	0.0
3266.00512695	0.0
3266.85375977	0.0
3264.26586914	0.0
3264.78979492	0.0
3264.984375	0.0
3264.51123047	0.0
3263.05102539	0.0
3266.44262695	0.0
3262.24121094	0.0
3260.9519043	0.0
3265.38330078	0.0
3261.81616211	0.0
3264.79321289	0.0
3263.22924805	0.0
3263.13549805	0.0
3263.38623047	0.0
3262.51269531	0.0
3262.328125	0.0
3262.32617187	0.0
3263.49609375	0.0
3261.98095703	0.0
3264.0065918	0.0
3261.0065918	0.0
3261.17163086	0.0
3262.79785156	0.0
3260.37426758	0.0
3262.63916016	0.0
3261.39868164	0.0
3260.35083008	0.0
3261.3815918	0.0
3260.20458984	0.0
3260.50341797	0.0
3260.88476563	0.0
3261.11230469	0.0
3259.45166016	0.0
3260.3059082	0.0
3260.02392578	0.0
3259.63842773	0.0
3260.7434082	0.0
3259.50708008	0.0
3259.95239258	0.0
3260.52075195	0.0
3259.54345703	0.0
3259.50097656	0.0
3260.43188477	0.0
3258.48168945	0.0
3261.59423828	0.0
3258.70654297	0.0
3260.54150391	0.0
3260.54345703	0.0
3258.35083008	0.0
3261.51708984	0.0
3259.25219727	0.0
3259.19238281	0.0
3260.25756836	0.0
3258.68334961	0.0
3257.34814453	0.0
3258.37719727	0.0
3261.19482422	0.0
3255.35595703	0.0
3260.21948242	0.0
3259.24780273	0.0
3256.80029297	0.0
3258.37353516	0.0
3255.43164062	0.0
3257.8059082	0.0
3257.56835938	0.0
3257.24145508	0.0
3256.02319336	0.0
3256.79296875	0.0
3259.16210938	0.0
3256.00292969	0.0
3255.79736328	0.0
3262.71923828	0.0
3255.06958008	0.0
3258.59301758	0.0
3255.40820313	0.0
3255.53735352	0.0
3259.62207031	0.0
3256.11035156	0.0
3255.77026367	0.0
3258.17822266	0.0
3257.26171875	0.0
3256.36791992	0.0
3258.43432617	0.0
3257.77026367	0.0
3258.07446289	0.0
3259.39477539	0.0
3256.85083008	0.0
3258.23730469	0.0
3259.1574707	0.0
3256.15454102	0.0
3258.91455078	0.0
3256.52685547	0.0
3256.46069336	0.0
3258.27636719	0.0
3256.97314453	0.0
3256.81176758	0.0
3258.06982422	0.0
3257.21899414	0.0
3257.50317383	0.0
3257.70849609	0.0
3257.79345703	0.0
3258.81665039	0.0
3257.04296875	0.0
