I	y
0.034729	0.0
0.03440857	0.0
0.03491211	0.0
0.03486633	0.0
0.03482056	0.0
0.03538513	0.0
0.03538513	0.0
0.03533936	0.0
0.03523254	0.0
0.03552246	0.0
0.03529358	0.0
0.03547668	0.0
0.03552246	0.0
0.03511047	0.0
0.03503418	0.0
0.03613281	0.0
0.03575134	0.0
0.03581238	0.0
0.03565979	0.0
0.03552246	0.0
0.03547668	0.0
0.03590393	0.0
0.03521729	0.0
0.03547668	-0.0074166
0.03530884	-0.03350620000000001
0.0353241	-0.035505
0.03541565	-0.04139620000000001
0.03504944	-0.05770220000000001
0.03495789	-0.08679
0.03465271	-0.1119328
0.03433228	-0.14202
0.03459167	-0.16763619999999999
0.03463745	-0.2070862
0.03451538	-0.248535
0.03474426	-0.24753560000000002
0.03468323	-0.2465362
0.0348053	-0.2465362
0.03474426	-0.2401716
0.03509521	-0.23375440000000003
0.0350647	-0.2421178
0.03393555	-0.248535
0.03509521	-0.2628422
0.03492737	-0.3224906
0.03417969	-0.35999440000000005
0.03416443	-0.37677380000000005
0.0337677	-0.43395
0.03384399	-0.4724006
0.03381348	-0.47539880000000007
0.03387451	-0.4635638
0.03396606	-0.461565
0.03398132	-0.461565
0.03411865	-0.461565
0.0337677	-0.461565
0.03108215	-0.461565
0.03167725	-0.4635638
0.03514099	-0.47292660000000003
0.03573608	-0.485235
0.03504944	-0.49359840000000005
0.03256226	-0.5118506
0.03208923	-0.5656078
0.03137207	-0.6174188
0.03062439	-0.6583416000000001
0.03196716	-0.6893756
0.03388977	-0.6997378000000001
0.03163147	-0.7002638
0.03364563	-0.6903750000000001
0.03361511	-0.6903750000000001
0.03367615	-0.6903750000000001
0.03366089	-0.6903750000000001
0.03370667	-0.6903750000000001
0.03364563	-0.6903750000000001
0.03358459	-0.6903750000000001
0.03385925	-0.6903750000000001
0.03239441	-0.6903750000000001
0.03514099	-0.6903750000000001
0.03344727	-0.6903750000000001
0.03359985	-0.6903750000000001
0.03514099	-0.6903750000000001
0.03495789	-0.6903750000000001
0.03405762	-0.6903750000000001
0.03364563	-0.6903750000000001
0.03385925	-0.6903750000000001
0.03387451	-0.6903750000000001
0.0335083	-0.6903750000000001
0.03211975	-0.6903750000000001
0.0349884	-0.6903750000000001
0.03295898	-0.6903750000000001
0.032547	-0.6903750000000001
0.03068542	-0.698265
0.02999878	-0.698265
0.03106689	-0.698265
0.03497314	-0.698265
0.03515625	-0.70221
0.03361511	-0.7150444
0.03382874	-0.7199888000000001
0.03401184	-0.7248806000000001
0.03399658	-0.7278787999999999
0.03422546	-0.7278787999999999
0.03378296	-0.7268794
0.03382874	-0.7184634
0.03384399	-0.7160438
0.03390503	-0.7160438
0.03410339	-0.7160438
0.03433228	-0.7160438
0.03416443	-0.7219350000000001
0.03100586	-0.7327706
0.03407288	-0.7633838000000001
0.03392029	-0.7791638000000001
0.03417969	-0.7988888
0.03431702	-0.8363400000000001
0.03411865	-0.8826806
0.03427124	-0.9009328000000001
0.03424072	-0.89946
0.03421021	-0.89946
0.03448486	-0.89946
0.0345459	-0.89946
0.03425598	-0.89946
0.03456116	-0.89946
0.03437805	-0.89946
0.03460693	-0.9024056
0.03459167	-0.92313
0.03442383	-0.9655256
0.03201294	-0.9921938000000001
0.03182983	-1.021755
0.03363037	-1.04148
0.03573608	-1.0503694
0.03546143	-1.053315
0.03190613	-1.0518422
0.03549194	-1.045425
0.03540039	-1.0434262
0.0349884	-1.0394812
0.03511047	-1.0355362
0.03562927	-1.0355362
0.03335571	-1.0380084
0.03341675	-1.053315
0.03230286	-1.0759855999999999
0.03038025	-1.0927650000000002
0.03436279	-1.1139628
0.03598022	-1.1332144
0.03671265	-1.1554116
0.03448486	-1.1835
0.03425598	-1.2091162000000002
0.03466797	-1.21506
0.03565979	-1.21506
0.0357666	-1.21506
0.03599548	-1.2081694
0.03616333	-1.2051712
0.03614807	-1.2051712
0.03614807	-1.2051712
0.03625488	-1.2066966
0.03599548	-1.2209512000000002
0.03511047	-1.2589284
0.03341675	-1.305795
0.03413391	-1.3299384
0.03437805	-1.3718606
0.03494263	-1.424145
0.03703308	-1.4379788
0.03796387	-1.4379788
0.03657532	-1.43598
0.03665161	-1.4325084
0.03681946	-1.4320350000000002
0.03688049	-1.4320350000000002
0.03749084	-1.4320350000000002
0.03665161	-1.4320350000000002
0.03605652	-1.4320350000000002
0.03530884	-1.4512866000000002
0.0358429	-1.4892638000000002
0.03564453	-1.5271884
0.0362854	-1.566165
0.03500366	-1.5962522000000001
0.03364563	-1.6194488000000002
0.03527832	-1.6322306
0.03645325	-1.63323
0.03955078	-1.63323
0.03637695	-1.6322306
0.03692627	-1.6312838
0.03691101	-1.6312838
0.03616333	-1.6312838
0.03834534	-1.6342294000000002
0.0358429	-1.6712072
0.03565979	-1.72002
0.03529358	-1.7559984000000002
0.03538513	-1.7939756000000002
0.03450012	-1.8215906
0.03390503	-1.8324788
0.03381348	-1.834425
0.03872681	-1.8275344000000002
0.03620911	-1.8191184000000002
0.03666687	-1.818645
0.03669739	-1.818645
0.03614807	-1.818645
0.0375824	-1.8201178000000002
0.03819275	-1.8324788
0.03608704	-1.8734016
0.0353241	-1.929105
0.0349884	-1.9656094
0.03474426	-2.015895
0.03207397	-2.0445094
0.03286743	-2.0563444000000004
0.03359985	-2.0578172
0.03807068	-2.0514
0.03570557	-2.0514
0.03610229	-2.0504006
0.03596497	-2.0494538
0.03326416	-2.0514
0.03645325	-2.0558184
0.03729248	-2.0780156
0.03527832	-2.1253556000000002
0.03497314	-2.1618600000000003
0.03408813	-2.1963656
0.03475952	-2.2348688
0.03297424	-2.2496494000000005
0.03233337	-2.2506488000000004
0.03579712	-2.244705
0.03549194	-2.23287
0.03569031	-2.23287
0.03573608	-2.23287
0.03547668	-2.23287
0.03239441	-2.2348688
0.03349304	-2.2368150000000004
0.03381348	-2.244705
0.03535461	-2.2718466
0.037323	-2.3107705999999997
0.03588867	-2.3246044
0.0355072	-2.3492738
0.03439331	-2.3748899999999997
0.03488159	-2.3926688
0.03488159	-2.39856
0.03430176	-2.3966138000000003
0.03631592	-2.3926688
0.03619385	-2.3926688
0.03637695	-2.3926688
0.03665161	-2.3926688
0.03466797	-2.3936156000000004
0.03425598	-2.3966138000000003
0.03358459	-2.3980866
0.03417969	-2.4084488000000004
0.03459167	-2.4444272
0.03495789	-2.4745144
0.03753662	-2.4957122000000003
0.03684998	-2.5189088
0.03570557	-2.5514156000000003
0.03616333	-2.5662488000000003
0.03588867	-2.5662488000000003
0.03538513	-2.56425
0.03636169	-2.560305
0.03656006	-2.560305
0.03671265	-2.560305
0.03634644	-2.560305
0.03660583	-2.5617778
0.03460693	-2.5662488000000003
0.03451538	-2.5691944
0.03349304	-2.5800300000000003
0.03379822	-2.5849744
0.03489685	-2.5908656000000003
0.0352478	-2.599755
0.03689575	-2.623425
0.03872681	-2.6485678000000004
0.03778076	-2.6648738
0.03659058	-2.6855456
0.03820801	-2.7043238
0.03819275	-2.7082688
0.03785706	-2.7052706
0.0380249	-2.6993794
0.03831482	-2.6983800000000002
0.03840637	-2.6983800000000002
0.03839111	-2.6983800000000002
0.03848267	-2.6983800000000002
0.03831482	-2.7003788
0.0401001	-2.7102150000000003
0.03837585	-2.7546094
0.0380249	-2.8123115999999997
0.03800964	-2.8246200000000004
0.03752136	-2.8522350000000003
0.03717041	-2.8709606
0.037323	-2.87196
0.0377655	-2.87196
0.0372467	-2.8714866000000003
0.0377655	-2.8670155999999998
0.03825378	-2.8581788
0.0382843	-2.85618
0.03816223	-2.85618
0.03851318	-2.85618
0.03840637	-2.8605983999999998
0.03742981	-2.8700138
0.03816223	-2.8966294
0.03788757	-2.9301356
0.0381012	-2.9562778
0.03929138	-2.9804738
0.04020691	-3.0105084
0.04066467	-3.041595
0.04074097	-3.0608466
0.04043579	-3.065265
0.03985596	-3.0642656
0.04006958	-3.0603206000000003
0.04081726	-3.05343
0.04109192	-3.0514838
0.040802	-3.0514838
0.04090881	-3.0514838
0.0408783	-3.0514838
0.04116821	-3.057375
0.0411377	-3.0583744
0.04119873	-3.065265
0.04074097	-3.0958256000000004
0.0397644	-3.1303838
0.03945923	-3.1406934000000004
0.03964233	-3.1491094000000004
0.03930664	-3.167835
0.03862	-3.1935038000000002
0.03860474	-3.2156484000000005
0.03843689	-3.2240644000000005
0.03862	-3.2250638000000005
0.03849792	-3.2250638000000005
0.03874207	-3.2171738
0.03860474	-3.2112300000000005
0.03895569	-3.2112300000000005
0.03988647	-3.2112300000000005
0.03875732	-3.2117034
0.03897095	-3.215175
0.03941345	-3.2186466000000005
0.03903198	-3.21912
0.03913879	-3.2319544000000002
0.03915405	-3.25068
0.03897095	-3.2560978
0.03883362	-3.25857
0.03912354	-3.2758228000000003
0.03938293	-3.2970205999999997
0.03947449	-3.3271078000000003
0.03953552	-3.35325
0.03952026	-3.3616134000000004
0.039505	-3.3631388
0.03941345	-3.3586678
0.03913879	-3.3552488
0.03933716	-3.35325
0.03872681	-3.35325
0.03926086	-3.35325
0.03907776	-3.3571950000000004
0.03913879	-3.3640856
0.03918457	-3.3976444
0.03793335	-3.4459838000000005
0.03681946	-3.4716
0.03585815	-3.48738
0.03514099	-3.5169938000000003
0.03485107	-3.5436094000000002
0.03520203	-3.5761688
0.03660583	-3.5963672000000004
0.03817749	-3.59784
0.03669739	-3.59784
0.03614807	-3.593895
0.03565979	-3.5880038
