I	y
0.04867554	0.0
0.0486908	0.0
0.04879761	0.0
0.04885864	0.0
0.04890442	0.0
0.04888916	0.0
0.04902649	0.0
0.04902649	0.0
0.04891968	0.0
0.04872131	0.0
0.04872131	0.0
0.0488739	0.0
0.04864502	0.0
0.04896545	0.0
0.0488739	0.0
0.04917908	0.0
0.04922485	0.0
0.04920959	0.0
0.04924011	0.0
0.04919434	0.0
0.04969788	0.0
0.04985046	0.0
0.04959106	0.0
0.04972839	0.0
0.04985046	0.0
0.04986572	0.0
0.05004883	0.0
0.05014038	0.0
0.04994202	0.0
0.04943848	-0.000493125
0.04945374	-0.008889399999999999
0.04968262	-0.017252800000000002
0.05007935	-0.017778799999999997
0.04997253	-0.017778799999999997
0.05029297	-0.017778799999999997
0.05046082	-0.017778799999999997
0.05052185	-0.017778799999999997
0.05046082	-0.0138338
0.05059814	-0.0138338
0.05055237	-0.0138338
0.05079651	-0.0138338
0.05050659	-0.0138338
0.05056763	-0.0138338
0.05018616	-0.0138338
0.05044556	-0.0138338
0.0501709	-0.0138338
0.05032349	-0.0138338
0.0504303	-0.0138338
0.05052185	-0.0138338
0.05044556	-0.014307199999999999
0.05041504	-0.018725600000000002
0.05023193	-0.0231966
0.05059814	-0.02367
0.05058289	-0.02367
0.05046082	-0.02367
0.05014038	-0.02367
0.05033875	-0.02367
0.05032349	-0.027615
0.05036926	-0.053283800000000006
0.05044556	-0.0936806
0.05038452	-0.11835000000000001
0.05046082	-0.11835000000000001
0.05026245	-0.11145940000000001
0.05018616	-0.06901120000000001
0.04995728	0.0
0.04977417	0.0
0.04968262	0.0
0.04997253	0.0
0.04977417	0.0
0.04985046	0.0
0.04998779	0.0
0.04977417	0.0
0.04980469	0.0
0.04985046	0.0
0.04988098	0.0
0.04992676	0.0
0.04981995	0.0
0.05027771	-0.0044184
0.04983521	-0.012834400000000001
0.05006409	-0.0137812
0.05010986	-0.0137812
0.04992676	-0.0137812
0.04986572	-0.014780600000000001
0.05003357	-0.01578
0.05000305	-0.01578
0.04978943	-0.0216712
0.05015564	-0.0325594
0.04994202	-0.0463406
0.05004883	-0.06901120000000001
0.05021667	-0.11145940000000001
0.05012512	-0.1548544
0.04969788	-0.1789978
0.04911804	-0.20514000000000002
0.04930115	-0.2490084
0.04878235	-0.29687440000000004
0.04890442	-0.3491588
0.04876709	-0.38266500000000003
0.04853821	-0.38661
0.04867554	-0.38266500000000003
0.04837036	-0.37872
0.04847717	-0.37872
0.04833984	-0.3782466
0.04830933	-0.374775
0.04853821	-0.35505000000000003
0.04840088	-0.33927
0.0483551	-0.34026940000000006
0.04853821	-0.3491588
0.04859924	-0.36099380000000003
0.04840088	-0.38266500000000003
0.04872131	-0.40139060000000004
0.04852295	-0.4477312
0.04803467	-0.5030138000000001
0.04766846	-0.5582438
0.04754639	-0.6144206
0.04734802	-0.6677044000000001
0.04748535	-0.7061550000000001
0.04756165	-0.7298250000000001
0.04742432	-0.7505494
0.04762268	-0.7742194
0.04724121	-0.7860544
0.04721069	-0.7870538
0.0471344	-0.7870538
0.0473175	-0.7870538
0.04728699	-0.7870538
0.04702759	-0.7870538
0.04719543	-0.7688016000000001
0.04701233	-0.7594388
0.04747009	-0.7515488
0.04737854	-0.7515488
0.0471344	-0.7515488
0.04740906	-0.7534950000000001
0.04734802	-0.7599122
0.04721069	-0.7752188
0.0473175	-0.7865278000000001
0.04707336	-0.8116706
0.04728699	-0.856065
0.04699707	-0.9132938
0.04714966	-0.97047
0.04695129	-1.0365356
0.04728699	-1.0878206
0.04707336	-1.1302688
0.04724121	-1.1662472000000002
0.04725647	-1.1894438
0.04721069	-1.1933888000000001
0.04716492	-1.1835
0.04716492	-1.17561
0.0471344	-1.17561
0.04722595	-1.17561
