t,I,dI,a,da,y,dy
39.15,0.05470276,0.001,-14.30525283,0.0031415926535897933,-0.081,3.945e-05
39.2,0.05503845,0.001,-14.30525283,0.0031415926535897933,-0.081,3.945e-05
39.25,0.05503845,0.001,-14.30525283,0.0031415926535897933,-0.081,3.945e-05
39.3,0.05500793,0.001,-14.30525283,0.0031415926535897933,-0.081,3.945e-05
39.35,0.05506897,0.001,-14.30525283,0.0031415926535897933,-0.081,3.945e-05
39.4,0.05455017,0.001,-14.29896964,0.0031415926535897933,-0.0809210999410707,3.945e-05
39.45,0.05490112,0.001,-14.29622075,0.0031415926535897933,-0.08088658123592411,3.945e-05
39.5,0.05401611,0.001,-14.29190105,0.0031415926535897933,-0.0808323373590787,3.945e-05
39.8,0.05474854,0.001,-14.29111566,0.0031415926535897933,-0.0808224749615891,3.945e-05
39.7,0.05458069,0.001,-14.29111566,0.0031415926535897933,-0.0808224749615891,3.945e-05
39.75,0.05467224,0.001,-14.29111566,0.0031415926535897933,-0.0808224749615891,3.945e-05
39.6,0.05419922,0.001,-14.29111566,0.0031415926535897933,-0.0808224749615891,3.945e-05
39.55,0.05422974,0.001,-14.29111566,0.0031415926535897933,-0.0808224749615891,3.945e-05
39.65,0.05432129,0.001,-14.29111566,0.0031415926535897933,-0.0808224749615891,3.945e-05
39.85,0.05485535,0.001,-14.28954486,0.0031415926535897933,-0.0808027499154635,3.945e-05
39.9,0.05441284,0.001,-14.28954486,0.0031415926535897933,-0.0808027499154635,3.945e-05
39.95,0.05458069,0.001,-14.28836676,0.0031415926535897933,-0.08078795613086921,3.945e-05
40.0,0.05448914,0.001,-14.28483247,0.0031415926535897933,-0.0807435749026598,3.945e-05
40.05,0.05441284,0.001,-14.28443977,0.0031415926535897933,-0.08073864364112841,3.945e-05
40.1,0.05490112,0.001,-14.28012007,0.0031415926535897933,-0.080684399764283,3.945e-05
40.15,0.05534363,0.001,-14.27226609,0.0031415926535897933,-0.08058577478480132,3.945e-05
40.2,0.05584717,0.001,-14.25969971,0.0031415926535897933,-0.08042797466694272,3.945e-05
40.25,0.05574036,0.001,-14.25616541,0.0031415926535897933,-0.08038359331316013,3.945e-05
40.3,0.05607605,0.001,-14.25341652,0.0031415926535897933,-0.08034907460801351,3.945e-05
40.35,0.05622864,0.001,-14.25066762,0.0031415926535897933,-0.08031455577729361,3.945e-05
40.4,0.05603027,0.001,-14.24556253,0.0031415926535897933,-0.0802504495029586,3.945e-05
40.45,0.05633545,0.001,-14.23653044,0.0031415926535897933,-0.08013703061330942,3.945e-05
40.5,0.05630493,0.001,-14.23063995,0.0031415926535897933,-0.08006306181591162,3.945e-05
40.55,0.05557251,0.001,-14.20825609,0.0031415926535897933,-0.0797819804109144,3.945e-05
40.6,0.05479431,0.001,-14.17958903,0.0031415926535897933,-0.07942199882141461,3.945e-05
40.65,0.05429077,0.001,-14.15995406,0.0031415926535897933,-0.07917543612156401,3.945e-05
40.7,0.05477905,0.001,-14.14346069,0.0031415926535897933,-0.07896832351396461,3.945e-05
40.75,0.05548096,0.001,-14.12696732,0.0031415926535897933,-0.0787612109063653,3.945e-05
40.8,0.05615234,0.001,-14.11675713,0.0031415926535897933,-0.0786329982321219,3.945e-05
40.85,0.05647278,0.001,-14.10890315,0.0031415926535897933,-0.07853437325264022,3.945e-05
40.9,0.05830383,0.001,-14.09633677,0.0031415926535897933,-0.0783765731347817,3.945e-05
40.95,0.05867004,0.001,-14.09201707,0.0031415926535897933,-0.07832232925793621,3.945e-05
41.0,0.05895996,0.001,-14.08534118,0.0031415926535897933,-0.0782384979374756,3.945e-05
41.05,0.06066895,0.001,-14.04842744,0.0031415926535897933,-0.0777749601069627,3.945e-05
41.1,0.05908203,0.001,-13.99502033,0.0031415926535897933,-0.07710430966885053,3.945e-05
41.15,0.05718994,0.001,-13.94043511,0.0031415926535897933,-0.07641886532057092,3.945e-05
41.2,0.05964661,0.001,-13.8842791,0.0031415926535897933,-0.0757136960517389,3.945e-05
41.25,0.061203,0.001,-13.86268064,0.0031415926535897933,-0.07544247716980441,3.945e-05
41.3,0.06231689,0.001,-13.84972156,0.0031415926535897933,-0.0752797457904145,3.945e-05
41.35,0.06291199,0.001,-13.8202691,0.0031415926535897933,-0.0749099016778519,3.945e-05
41.4,0.06300354,0.001,-13.80573923,0.0031415926535897933,-0.07472744537790961,3.945e-05
41.45,0.06278992,0.001,-13.79238745,0.0031415926535897933,-0.07455978273698823,3.945e-05
41.5,0.05845642,0.001,-13.75390291,0.0031415926535897933,-0.07407651986034981,3.945e-05
41.55,0.05749512,0.001,-13.72366506,0.0031415926535897933,-0.07369681335029772,3.945e-05
41.6,0.0574646,0.001,-13.698925,0.0031415926535897933,-0.073386144376112,3.945e-05
41.65,0.05929565,0.001,-13.65415727,0.0031415926535897933,-0.07282398144054432,3.945e-05
