t,I,dI,a,da,y,dy
81.5,0.04747009,0.001,-14.30525283,0.0031415926535897933,-0.08098027495387429,3.945e-05
81.45,0.04673767,0.001,-14.28836676,0.0031415926535897933,-0.0807682310847435,3.945e-05
80.85,0.04579163,0.001,-14.28012007,0.0031415926535897933,-0.08066467471815729,3.945e-05
80.9,0.04570007,0.001,-14.28012007,0.0031415926535897933,-0.08066467471815729,3.945e-05
80.95,0.04563904,0.001,-14.27658578,0.0031415926535897933,-0.0806202934899478,3.945e-05
80.8,0.04521179,0.001,-14.27383688,0.0031415926535897933,-0.08058577465922799,3.945e-05
81.4,0.04740906,0.001,-14.25969971,0.0031415926535897933,-0.08040824962081701,3.945e-05
80.75,0.04420471,0.001,-14.25263112,0.0031415926535897933,-0.08031948703882501,3.945e-05
81.35,0.04745483,0.001,-14.24674063,0.0031415926535897933,-0.0802455182414271,3.945e-05
81.0,0.04711914,0.001,-14.24556253,0.0031415926535897933,-0.0802307244568329,3.945e-05
81.3,0.04737854,0.001,-14.24556253,0.0031415926535897933,-0.0802307244568329,3.945e-05
81.25,0.04750061,0.001,-14.24556253,0.0031415926535897933,-0.0802307244568329,3.945e-05
81.05,0.0473175,0.001,-14.24556253,0.0031415926535897933,-0.0802307244568329,3.945e-05
81.15,0.04753113,0.001,-14.24556253,0.0031415926535897933,-0.0802307244568329,3.945e-05
81.1,0.04719543,0.001,-14.24556253,0.0031415926535897933,-0.0802307244568329,3.945e-05
81.2,0.04762268,0.001,-14.24556253,0.0031415926535897933,-0.0802307244568329,3.945e-05
80.7,0.04382324,0.001,-14.23456695,0.0031415926535897933,-0.0800926493850999,3.945e-05
80.65,0.04434204,0.001,-14.21885897,0.0031415926535897933,-0.0798953991749901,3.945e-05
80.6,0.04626465,0.001,-14.2015802,0.0031415926535897933,-0.079678424044328,3.945e-05
80.55,0.04814148,0.001,-14.17291314,0.0031415926535897933,-0.0793184424548282,3.945e-05
80.5,0.04985046,0.001,-14.14660229,0.0031415926535897933,-0.07898804856009019,3.945e-05
80.45,0.05122375,0.001,-14.11675713,0.0031415926535897933,-0.07861327318599619,3.945e-05
80.4,0.04968262,0.001,-14.0727748,0.0031415926535897933,-0.07806097277349129,3.945e-05
80.35,0.04725647,0.001,-14.02093849,0.0031415926535897933,-0.0774100473815048,3.945e-05
80.3,0.04751587,0.001,-13.97617076,0.0031415926535897933,-0.076847884445937,3.945e-05
80.25,0.04959106,0.001,-13.94318401,0.0031415926535897933,-0.07643365910516499,3.945e-05
80.2,0.05198669,0.001,-13.91883665,0.0031415926535897933,-0.0761279213925108,3.945e-05
80.15,0.05189514,0.001,-13.87995941,0.0031415926535897933,-0.07563972725434091,3.945e-05
80.1,0.04994202,0.001,-13.84422377,0.0031415926535897933,-0.07519098320842231,3.945e-05
79.4,0.04849243,0.001,-13.83244279,0.0031415926535897933,-0.07504304561362661,3.945e-05
79.35,0.04870605,0.001,-13.83205009,0.0031415926535897933,-0.07503811435209519,3.945e-05
80.05,0.0488739,0.001,-13.83087199,0.0031415926535897933,-0.07502332056750101,3.945e-05
79.3,0.0483551,0.001,-13.83008659,0.0031415926535897933,-0.0750134580444382,3.945e-05
79.45,0.04914856,0.001,-13.8261596,0.0031415926535897933,-0.0749641455546974,3.945e-05
80.0,0.04992676,0.001,-13.81516401,0.0031415926535897933,-0.07482607035739121,3.945e-05
79.25,0.04801941,0.001,-13.81516401,0.0031415926535897933,-0.07482607035739121,3.945e-05
79.95,0.05029297,0.001,-13.81162972,0.0031415926535897933,-0.0747816891291818,3.945e-05
79.5,0.05010986,0.001,-13.81123702,0.0031415926535897933,-0.0747767578676503,3.945e-05
79.6,0.04975891,0.001,-13.81045162,0.0031415926535897933,-0.07476689534458751,3.945e-05
79.55,0.04997253,0.001,-13.81045162,0.0031415926535897933,-0.07476689534458751,3.945e-05
79.7,0.05020142,0.001,-13.81045162,0.0031415926535897933,-0.07476689534458751,3.945e-05
79.75,0.05010986,0.001,-13.81045162,0.0031415926535897933,-0.07476689534458751,3.945e-05
79.8,0.05018616,0.001,-13.81045162,0.0031415926535897933,-0.07476689534458751,3.945e-05
79.9,0.05010986,0.001,-13.81045162,0.0031415926535897933,-0.07476689534458751,3.945e-05
79.65,0.05018616,0.001,-13.81045162,0.0031415926535897933,-0.07476689534458751,3.945e-05
79.85,0.05021667,0.001,-13.81045162,0.0031415926535897933,-0.07476689534458751,3.945e-05
79.2,0.04550171,0.001,-13.78374806,0.0031415926535897933,-0.0744315700627448,3.945e-05
79.15,0.04586792,0.001,-13.76489849,0.0031415926535897933,-0.07419486988595701,3.945e-05
79.1,0.04684448,0.001,-13.74133653,0.0031415926535897933,-0.0738989946963655,3.945e-05
79.05,0.04753113,0.001,-13.72837745,0.0031415926535897933,-0.0737362633169756,3.945e-05
79.0,0.04838562,0.001,-13.72248696,0.0031415926535897933,-0.07366229451957769,3.945e-05
78.95,0.04891968,0.001,-13.71345487,0.0031415926535897933,-0.07354887562992861,3.945e-05
78.9,0.04908752,0.001,-13.70913518,0.0031415926535897933,-0.07349463187865639,3.945e-05
78.85,0.04933167,0.001,-13.70481549,0.0031415926535897933,-0.07344038812738411,3.945e-05
78.8,0.04985046,0.001,-13.68321702,0.0031415926535897933,-0.07316916911987649,3.945e-05
78.75,0.0491333,0.001,-13.65101567,0.0031415926535897933,-0.07276480630216729,3.945e-05
78.7,0.04608154,0.001,-13.60781874,0.0031415926535897933,-0.07222236841272521,3.945e-05
78.65,0.04319763,0.001,-13.56697801,0.0031415926535897933,-0.0717095180924716,3.945e-05
78.6,0.04219055,0.001,-13.52142488,0.0031415926535897933,-0.0711374926338411,3.945e-05
78.55,0.04333496,0.001,-13.47587175,0.0031415926535897933,-0.07056546717521049,3.945e-05
78.5,0.04325867,0.001,-13.42796243,0.0031415926535897933,-0.0699638542729648,3.945e-05
78.45,0.04202271,0.001,-13.40479317,0.0031415926535897933,-0.06967291034490479,3.945e-05
77.85,0.04212952,0.001,-13.40479317,0.0031415926535897933,-0.06967291034490479,3.945e-05
77.8,0.0418396,0.001,-13.40361507,0.0031415926535897933,-0.0696581165603105,3.945e-05
77.9,0.04263306,0.001,-13.39497568,0.0031415926535897933,-0.06954962893219281,3.945e-05
77.75,0.0410614,0.001,-13.39301218,0.0031415926535897933,-0.06952497262453579,3.945e-05
78.4,0.04290771,0.001,-13.3863363,0.0031415926535897933,-0.0694411414296484,3.945e-05
77.95,0.0428772,0.001,-13.3851582,0.0031415926535897933,-0.0694263476450541,3.945e-05
78.25,0.04278564,0.001,-13.3847655,0.0031415926535897933,-0.06942141638352271,3.945e-05
78.2,0.04275513,0.001,-13.3847655,0.0031415926535897933,-0.06942141638352271,3.945e-05
78.15,0.04275513,0.001,-13.3847655,0.0031415926535897933,-0.06942141638352271,3.945e-05
78.1,0.04290771,0.001,-13.3847655,0.0031415926535897933,-0.06942141638352271,3.945e-05
78.05,0.04283142,0.001,-13.3847655,0.0031415926535897933,-0.06942141638352271,3.945e-05
78.0,0.04298401,0.001,-13.3847655,0.0031415926535897933,-0.06942141638352271,3.945e-05
78.35,0.04304504,0.001,-13.3847655,0.0031415926535897933,-0.06942141638352271,3.945e-05
78.3,0.04304504,0.001,-13.3847655,0.0031415926535897933,-0.06942141638352271,3.945e-05
77.7,0.04029846,0.001,-13.38005311,0.0031415926535897933,-0.0693622413707191,3.945e-05
77.65,0.03944397,0.001,-13.36591593,0.0031415926535897933,-0.0691847162067349,3.945e-05
77.6,0.03797913,0.001,-13.34863716,0.0031415926535897933,-0.06896774107607269,3.945e-05
77.55,0.0372467,0.001,-13.32978759,0.0031415926535897933,-0.0687310408992849,3.945e-05
77.5,0.03671265,0.001,-13.30465483,0.0031415926535897933,-0.06841544066356779,3.945e-05
77.45,0.03611755,0.001,-13.27952207,0.0031415926535897933,-0.06809984042785079,3.945e-05
77.4,0.0365448,0.001,-13.25438931,0.0031415926535897933,-0.06778424019213371,3.945e-05
77.35,0.03637695,0.001,-13.22572225,0.0031415926535897933,-0.06742425860263389,3.945e-05
77.3,0.03640747,0.001,-13.19941139,0.0031415926535897933,-0.0670938645823226,3.945e-05
77.25,0.03564453,0.001,-13.16485385,0.0031415926535897933,-0.0666599143209982,3.945e-05
77.2,0.03364563,0.001,-13.1318671,0.0031415926535897933,-0.06624568898022619,3.945e-05
77.15,0.03256226,0.001,-13.09456066,0.0031415926535897933,-0.06577721988818201,3.945e-05
77.1,0.03181458,0.001,-13.05961042,0.0031415926535897933,-0.0653383383653263,3.945e-05
77.05,0.03141785,0.001,-13.02466017,0.0031415926535897933,-0.06489945671689719,3.945e-05
77.0,0.03143311,0.001,-13.0046325,0.0031415926535897933,-0.0646479627555152,3.945e-05
76.35,0.03117371,0.001,-12.99677852,0.0031415926535897933,-0.06454933777603351,3.945e-05
76.95,0.03121948,0.001,-12.99599312,0.0031415926535897933,-0.0645394752529707,3.945e-05
76.4,0.03115845,0.001,-12.99520772,0.0031415926535897933,-0.06452961272990791,3.945e-05
76.3,0.03108215,0.001,-12.99363692,0.0031415926535897933,-0.06450988768378231,3.945e-05
76.25,0.03106689,0.001,-12.98342674,0.0031415926535897933,-0.06438167513511221,3.945e-05
76.9,0.03105164,0.001,-12.98264134,0.0031415926535897933,-0.0643718126120494,3.945e-05
76.7,0.03135681,0.001,-12.98107054,0.0031415926535897933,-0.06435208756592371,3.945e-05
76.65,0.03140259,0.001,-12.98107054,0.0031415926535897933,-0.06435208756592371,3.945e-05
76.6,0.03135681,0.001,-12.98107054,0.0031415926535897933,-0.06435208756592371,3.945e-05
76.55,0.03120422,0.001,-12.98107054,0.0031415926535897933,-0.06435208756592371,3.945e-05
76.5,0.03108215,0.001,-12.98107054,0.0031415926535897933,-0.06435208756592371,3.945e-05
76.45,0.03112793,0.001,-12.98107054,0.0031415926535897933,-0.06435208756592371,3.945e-05
76.8,0.03128052,0.001,-12.98107054,0.0031415926535897933,-0.06435208756592371,3.945e-05
76.85,0.03102112,0.001,-12.98107054,0.0031415926535897933,-0.06435208756592371,3.945e-05
76.75,0.03103638,0.001,-12.98107054,0.0031415926535897933,-0.06435208756592371,3.945e-05
76.2,0.03105164,0.001,-12.97635815,0.0031415926535897933,-0.0642929125531201,3.945e-05
76.15,0.03085327,0.001,-12.96300637,0.0031415926535897933,-0.0641252499121988,3.945e-05
76.1,0.03074646,0.001,-12.95279619,0.0031415926535897933,-0.0639970373635287,3.945e-05
76.05,0.03045654,0.001,-12.94022981,0.0031415926535897933,-0.0638392372456701,3.945e-05
76.0,0.03050232,0.001,-12.91823864,0.0031415926535897933,-0.063563086976631,3.945e-05
75.95,0.03012085,0.001,-12.89546208,0.0031415926535897933,-0.06327707431010239,3.945e-05
75.9,0.03027344,0.001,-12.8821103,0.0031415926535897933,-0.06310941166918109,3.945e-05
75.85,0.03005981,0.001,-12.86875852,0.0031415926535897933,-0.0629417490282597,3.945e-05
75.8,0.03004456,0.001,-12.85854834,0.0031415926535897933,-0.06281353647958961,3.945e-05
75.75,0.03004456,0.001,-12.83773527,0.0031415926535897933,-0.06255217999514469,3.945e-05
75.7,0.03024292,0.001,-12.81220981,0.0031415926535897933,-0.062231648497896294,3.945e-05
75.65,0.03007507,0.001,-12.78315006,0.0031415926535897933,-0.0618667357724383,3.945e-05
75.6,0.03019714,0.001,-12.74859251,0.0031415926535897933,-0.061432785385540714,3.945e-05
75.55,0.03114319,0.001,-12.71914006,0.0031415926535897933,-0.06106294139855141,3.945e-05
75.5,0.03155518,0.001,-12.69832699,0.0031415926535897933,-0.06080158491410649,3.945e-05
75.45,0.03132629,0.001,-12.67515773,0.0031415926535897933,-0.06051064098604651,3.945e-05
75.4,0.03192139,0.001,-12.64334908,0.0031415926535897933,-0.06011120942986871,3.945e-05
75.35,0.03266907,0.001,-12.60682804,0.0031415926535897933,-0.05965260286088729,3.945e-05
75.3,0.03283691,0.001,-12.58522957,0.0031415926535897933,-0.059381383853379696,3.945e-05
74.5,0.03237915,0.001,-12.57580479,0.0031415926535897933,-0.05926303382777241,3.945e-05
74.55,0.032547,0.001,-12.57580479,0.0031415926535897933,-0.05926303382777241,3.945e-05
74.6,0.03268433,0.001,-12.57580479,0.0031415926535897933,-0.05926303382777241,3.945e-05
75.25,0.0333252,0.001,-12.57423399,0.0031415926535897933,-0.0592433087816467,3.945e-05
74.65,0.03271484,0.001,-12.57187779,0.0031415926535897933,-0.05921372121245831,3.945e-05
74.45,0.03282166,0.001,-12.5687362,0.0031415926535897933,-0.0591742712457803,3.945e-05
75.2,0.03300476,0.001,-12.56638,0.0031415926535897933,-0.0591446836765918,3.945e-05
74.4,0.03282166,0.001,-12.55852601,0.0031415926535897933,-0.0590460585715369,3.945e-05
74.7,0.03248596,0.001,-12.55852601,0.0031415926535897933,-0.0590460585715369,3.945e-05
75.0,0.0327301,0.001,-12.55695522,0.0031415926535897933,-0.0590263336509846,3.945e-05
74.8,0.03240967,0.001,-12.55695522,0.0031415926535897933,-0.0590263336509846,3.945e-05
74.85,0.03240967,0.001,-12.55695522,0.0031415926535897933,-0.0590263336509846,3.945e-05
74.9,0.03257751,0.001,-12.55695522,0.0031415926535897933,-0.0590263336509846,3.945e-05
