t,I,dI,a,da,y,dy
91.15,0.03308105,0.001,-14.30682363,0.0031415926535897933,-0.0809802749538744,3.945e-05
91.1,0.03315735,0.001,-14.30603823,0.0031415926535897933,-0.08097041243081159,3.945e-05
91.05,0.03317261,0.001,-14.30407473,0.0031415926535897933,-0.08094575612315451,3.945e-05
91.0,0.03289795,0.001,-14.28169087,0.0031415926535897933,-0.08066467471815729,3.945e-05
90.95,0.03302002,0.001,-14.25577271,0.0031415926535897933,-0.08033921195937739,3.945e-05
90.9,0.0332489,0.001,-14.22906915,0.0031415926535897933,-0.0800038866775347,3.945e-05
90.85,0.03321838,0.001,-14.20589989,0.0031415926535897933,-0.07971294274947459,3.945e-05
90.8,0.0327301,0.001,-14.18430143,0.0031415926535897933,-0.07944172386754021,3.945e-05
90.75,0.03225708,0.001,-14.16231026,0.0031415926535897933,-0.07916557359850111,3.945e-05
90.7,0.03155518,0.001,-14.1387483,0.0031415926535897933,-0.07886969840890969,3.945e-05
90.65,0.03079224,0.001,-14.11754253,0.0031415926535897933,-0.0786034106629334,3.945e-05
90.6,0.03056335,0.001,-14.10104916,0.0031415926535897933,-0.07839629805533409,3.945e-05
90.55,0.03036499,0.001,-14.08534118,0.0031415926535897933,-0.07819904784522429,3.945e-05
90.5,0.03039551,0.001,-14.06806241,0.0031415926535897933,-0.07798207271456199,3.945e-05
90.45,0.03033447,0.001,-14.04724934,0.0031415926535897933,-0.07772071623011721,3.945e-05
90.4,0.02992249,0.001,-14.03036327,0.0031415926535897933,-0.0775086723609864,3.945e-05
90.35,0.02993774,0.001,-14.01740419,0.0031415926535897933,-0.07734594098159649,3.945e-05
89.3,0.03031921,0.001,-14.0146553,0.0031415926535897933,-0.0773114222764499,3.945e-05
89.35,0.03056335,0.001,-14.0146553,0.0031415926535897933,-0.0773114222764499,3.945e-05
89.4,0.03024292,0.001,-14.0146553,0.0031415926535897933,-0.0773114222764499,3.945e-05
89.25,0.03015137,0.001,-14.011121,0.0031415926535897933,-0.07726704092266719,3.945e-05
89.45,0.0302887,0.001,-14.0099429,0.0031415926535897933,-0.07725224713807301,3.945e-05
90.3,0.029953,0.001,-14.00837211,0.0031415926535897933,-0.0772325222175206,3.945e-05
90.0,0.03004456,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
90.05,0.03018188,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
90.25,0.02996826,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
90.2,0.03016663,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
90.15,0.03015137,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
90.1,0.02980042,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
89.55,0.0302124,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
89.5,0.03015137,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
89.65,0.0304718,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
89.6,0.03034973,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
89.7,0.03019714,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
89.75,0.03004456,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
89.8,0.03022766,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
89.85,0.03025818,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
89.9,0.0300293,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
89.95,0.03033447,0.001,-14.00523051,0.0031415926535897933,-0.0771930721252694,3.945e-05
89.2,0.03013611,0.001,-13.99737652,0.0031415926535897933,-0.07709444702021441,3.945e-05
89.15,0.02984619,0.001,-13.98049045,0.0031415926535897933,-0.0768824031510837,3.945e-05
89.1,0.03012085,0.001,-13.95810659,0.0031415926535897933,-0.0766013217460864,3.945e-05
89.05,0.03009033,0.001,-13.93454462,0.0031415926535897933,-0.0763054464309217,3.945e-05
89.0,0.02981567,0.001,-13.91098266,0.0031415926535897933,-0.0760095712413303,3.945e-05
88.95,0.02992249,0.001,-13.8866353,0.0031415926535897933,-0.075703833528676,3.945e-05
88.9,0.02993774,0.001,-13.85679015,0.0031415926535897933,-0.0753290582801553,3.945e-05
88.85,0.03005981,0.001,-13.81987641,0.0031415926535897933,-0.0748655204496425,3.945e-05
88.8,0.03009033,0.001,-13.78374806,0.0031415926535897933,-0.0744118450166192,3.945e-05
88.75,0.03074646,0.001,-13.75665181,0.0031415926535897933,-0.07407158859881831,3.945e-05
88.7,0.03106689,0.001,-13.73034095,0.0031415926535897933,-0.07374119457850699,3.945e-05
88.65,0.03153992,0.001,-13.70638629,0.0031415926535897933,-0.0734403881273842,3.945e-05
88.6,0.03155518,0.001,-13.68478782,0.0031415926535897933,-0.07316916911987649,3.945e-05
88.55,0.03153992,0.001,-13.66201126,0.0031415926535897933,-0.0728831564533479,3.945e-05
88.5,0.03152466,0.001,-13.64237629,0.0031415926535897933,-0.0726365937534972,3.945e-05
88.45,0.03138733,0.001,-13.62391942,0.0031415926535897933,-0.07240482483824089,3.945e-05
88.4,0.03155518,0.001,-13.60781874,0.0031415926535897933,-0.07220264336659961,3.945e-05
88.35,0.0316925,0.001,-13.59093267,0.0031415926535897933,-0.0719905994974689,3.945e-05
88.3,0.0322113,0.001,-13.57640279,0.0031415926535897933,-0.07180814307195331,3.945e-05
88.25,0.03291321,0.001,-13.55951672,0.0031415926535897933,-0.07159609920282249,3.945e-05
88.2,0.03330994,0.001,-13.54027445,0.0031415926535897933,-0.07135446776450331,3.945e-05
88.15,0.0340271,0.001,-13.52417378,0.0031415926535897933,-0.07115228641843531,3.945e-05
88.1,0.03457642,0.001,-13.5065023,0.0031415926535897933,-0.07093037990066849,3.945e-05
88.05,0.03504944,0.001,-13.49000893,0.0031415926535897933,-0.07072326729306909,3.945e-05
88.0,0.03559875,0.001,-13.47587175,0.0031415926535897933,-0.07054574212908489,3.945e-05
87.95,0.03564453,0.001,-13.46644697,0.0031415926535897933,-0.07042739210347769,3.945e-05
87.0,0.03634644,0.001,-13.46487617,0.0031415926535897933,-0.070407667057352,3.945e-05
87.05,0.03633118,0.001,-13.46487617,0.0031415926535897933,-0.070407667057352,3.945e-05
87.1,0.03610229,0.001,-13.46487617,0.0031415926535897933,-0.070407667057352,3.945e-05
86.95,0.03619385,0.001,-13.46251997,0.0031415926535897933,-0.07037807948816359,3.945e-05
87.9,0.03569031,0.001,-13.46016378,0.0031415926535897933,-0.07034849204454839,3.945e-05
87.85,0.03547668,0.001,-13.45741488,0.0031415926535897933,-0.0703139732138285,3.945e-05
86.9,0.03648376,0.001,-13.45623678,0.0031415926535897933,-0.07029917942923429,3.945e-05
87.15,0.03579712,0.001,-13.45427329,0.0031415926535897933,-0.07027452324715049,3.945e-05
87.8,0.03573608,0.001,-13.45230979,0.0031415926535897933,-0.07024986693949349,3.945e-05
87.75,0.03564453,0.001,-13.45230979,0.0031415926535897933,-0.07024986693949349,3.945e-05
87.7,0.03569031,0.001,-13.45152439,0.0031415926535897933,-0.0702400044164307,3.945e-05
87.2,0.03590393,0.001,-13.45073899,0.0031415926535897933,-0.07023014189336789,3.945e-05
87.3,0.03562927,0.001,-13.45073899,0.0031415926535897933,-0.07023014189336789,3.945e-05
87.4,0.03541565,0.001,-13.45073899,0.0031415926535897933,-0.07023014189336789,3.945e-05
87.45,0.03547668,0.001,-13.45073899,0.0031415926535897933,-0.07023014189336789,3.945e-05
87.5,0.03562927,0.001,-13.45073899,0.0031415926535897933,-0.07023014189336789,3.945e-05
87.55,0.03552246,0.001,-13.45073899,0.0031415926535897933,-0.07023014189336789,3.945e-05
87.6,0.03588867,0.001,-13.45073899,0.0031415926535897933,-0.07023014189336789,3.945e-05
87.65,0.03526306,0.001,-13.45073899,0.0031415926535897933,-0.07023014189336789,3.945e-05
87.25,0.03588867,0.001,-13.45073899,0.0031415926535897933,-0.07023014189336789,3.945e-05
87.35,0.03564453,0.001,-13.45073899,0.0031415926535897933,-0.07023014189336789,3.945e-05
86.85,0.03593445,0.001,-13.44170691,0.0031415926535897933,-0.070116723129292,3.945e-05
86.8,0.03564453,0.001,-13.42403544,0.0031415926535897933,-0.0698948167370984,3.945e-05
86.75,0.03518677,0.001,-13.40754206,0.0031415926535897933,-0.06968770400392581,3.945e-05
86.7,0.03495789,0.001,-13.3863363,0.0031415926535897933,-0.0694214163835228,3.945e-05
86.65,0.03527832,0.001,-13.36395243,0.0031415926535897933,-0.0691403348529523,3.945e-05
86.6,0.03547668,0.001,-13.34078317,0.0031415926535897933,-0.06884939092489219,3.945e-05
86.55,0.03652954,0.001,-13.3211482,0.0031415926535897933,-0.06860282822504159,3.945e-05
86.5,0.0375824,0.001,-13.30072783,0.0031415926535897933,-0.0683464030021282,3.945e-05
86.45,0.03868103,0.001,-13.28030746,0.0031415926535897933,-0.0680899777792147,3.945e-05
86.4,0.03926086,0.001,-13.2591017,0.0031415926535897933,-0.06782369015881169,3.945e-05
86.35,0.04045105,0.001,-13.24221562,0.0031415926535897933,-0.06761164616410771,3.945e-05
86.3,0.04031372,0.001,-13.22768575,0.0031415926535897933,-0.06742918986416531,3.945e-05
86.25,0.0398407,0.001,-13.21669017,0.0031415926535897933,-0.0672911147924324,3.945e-05
86.2,0.03973389,0.001,-13.20883618,0.0031415926535897933,-0.0671924896873775,3.945e-05
86.15,0.03804016,0.001,-13.1935209,0.0031415926535897933,-0.06700017073879909,3.945e-05
86.1,0.03663635,0.001,-13.16956624,0.0031415926535897933,-0.0666993642876763,3.945e-05
86.05,0.03582764,0.001,-13.14678968,0.0031415926535897933,-0.0664133516211476,3.945e-05
86.0,0.03549194,0.001,-13.12715471,0.0031415926535897933,-0.066166788921297,3.945e-05
85.95,0.03477478,0.001,-13.10909054,0.0031415926535897933,-0.065939951267572,3.945e-05
85.9,0.03501892,0.001,-13.08945557,0.0031415926535897933,-0.0656933885677214,3.945e-05
85.85,0.03488159,0.001,-13.0698206,0.0031415926535897933,-0.0654468258678708,3.945e-05
85.8,0.03523254,0.001,-13.05018563,0.0031415926535897933,-0.06520026316802009,3.945e-05
85.75,0.03543091,0.001,-13.03329956,0.0031415926535897933,-0.06498821929888939,3.945e-05
85.7,0.03559875,0.001,-13.01798428,0.0031415926535897933,-0.064795900350311,3.945e-05
85.65,0.03562927,0.001,-12.99913471,0.0031415926535897933,-0.06455920017352311,3.945e-05
85.6,0.03514099,0.001,-12.97949974,0.0031415926535897933,-0.06431263747367251,3.945e-05
85.55,0.03466797,0.001,-12.96418447,0.0031415926535897933,-0.0641203186506674,3.945e-05
85.5,0.03341675,0.001,-12.95122539,0.0031415926535897933,-0.06395758727127739,3.945e-05
85.45,0.03305054,0.001,-12.93826631,0.0031415926535897933,-0.0637948558918875,3.945e-05
85.4,0.03230286,0.001,-12.92138024,0.0031415926535897933,-0.06358281202275669,3.945e-05
85.35,0.03173828,0.001,-12.90213797,0.0031415926535897933,-0.06334118058443751,3.945e-05
85.3,0.03114319,0.001,-12.88682269,0.0031415926535897933,-0.0631488616358591,3.945e-05
85.25,0.03079224,0.001,-12.87621981,0.0031415926535897933,-0.06301571782565761,3.945e-05
85.2,0.03092957,0.001,-12.86797312,0.0031415926535897933,-0.06291216145907129,3.945e-05
85.15,0.0305481,0.001,-12.86129723,0.0031415926535897933,-0.0628283301386106,3.945e-05
85.1,0.03027344,0.001,-12.85226515,0.0031415926535897933,-0.06271491137453471,3.945e-05
85.05,0.0302887,0.001,-12.84323306,0.0031415926535897933,-0.0626014924848856,3.945e-05
85.0,0.0300293,0.001,-12.83027398,0.0031415926535897933,-0.06243876110549561,3.945e-05
84.95,0.03010559,0.001,-12.8161368,0.0031415926535897933,-0.06226123594151149,3.945e-05
84.9,0.03018188,0.001,-12.79964343,0.0031415926535897933,-0.062054123333912095,3.945e-05
83.9,0.0300293,0.001,-12.79100404,0.0031415926535897933,-0.06194563570579441,3.945e-05
83.95,0.029953,0.001,-12.79100404,0.0031415926535897933,-0.06194563570579441,3.945e-05
84.0,0.03027344,0.001,-12.79100404,0.0031415926535897933,-0.06194563570579441,3.945e-05
83.85,0.029953,0.001,-12.78982594,0.0031415926535897933,-0.0619308419212002,3.945e-05
83.8,0.0302124,0.001,-12.78315006,0.0031415926535897933,-0.0618470107263127,3.945e-05
84.85,0.02996826,0.001,-12.78315006,0.0031415926535897933,-0.0618470107263127,3.945e-05
84.05,0.03010559,0.001,-12.77804496,0.0031415926535897933,-0.06178290432640439,3.945e-05
84.8,0.029953,0.001,-12.77372527,0.0031415926535897933,-0.061728660575132197,3.945e-05
84.65,0.03015137,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.75,0.02996826,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.7,0.03016663,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.1,0.0302124,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.15,0.0300293,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.6,0.03033447,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.25,0.029953,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.3,0.02984619,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.35,0.02998352,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.4,0.02992249,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.45,0.03024292,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.2,0.03010559,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.5,0.03001404,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
84.55,0.03019714,0.001,-12.77215447,0.0031415926535897933,-0.061708935529006595,3.945e-05
83.75,0.02999878,0.001,-12.77136907,0.0031415926535897933,-0.0616990730059437,3.945e-05
83.7,0.02990723,0.001,-12.75880269,0.0031415926535897933,-0.06154127288808521,3.945e-05
83.65,0.02983093,0.001,-12.74623631,0.0031415926535897933,-0.061383472770226696,3.945e-05
83.6,0.02967834,0.001,-12.73602613,0.0031415926535897933,-0.0612552602215566,3.945e-05
83.55,0.02978516,0.001,-12.72385245,0.0031415926535897933,-0.061102391365229394,3.945e-05
83.5,0.02990723,0.001,-12.71874736,0.0031415926535897933,-0.06103828509089439,3.945e-05
83.45,0.02999878,0.001,-12.71599846,0.0031415926535897933,-0.061003766260174494,3.945e-05
83.4,0.02989197,0.001,-12.71089337,0.0031415926535897933,-0.06093965998583949,3.945e-05
83.35,0.02989197,0.001,-12.69989779,0.0031415926535897933,-0.0608015849141066,3.945e-05
83.3,0.02973938,0.001,-12.6936146,0.0031415926535897933,-0.0607226848551773,3.945e-05
83.25,0.02984619,0.001,-12.6896876,0.0031415926535897933,-0.0606733722398632,3.945e-05
83.2,0.02966309,0.001,-12.68418981,0.0031415926535897933,-0.0606043347039968,3.945e-05
83.15,0.02964783,0.001,-12.67123073,0.0031415926535897933,-0.06044160332460681,3.945e-05
83.1,0.02986145,0.001,-12.65355926,0.0031415926535897933,-0.060219696932413205,3.945e-05
83.05,0.02996826,0.001,-12.63706589,0.0031415926535897933,-0.06001258432481389,3.945e-05
83.0,0.03024292,0.001,-12.62449951,0.0031415926535897933,-0.059854784206955294,3.945e-05
82.95,0.03009033,0.001,-12.61428932,0.0031415926535897933,-0.059726571532712006,3.945e-05
82.9,0.03012085,0.001,-12.60407914,0.0031415926535897933,-0.05959835898404191,3.945e-05
82.85,0.03038025,0.001,-12.59386896,0.0031415926535897933,-0.05947014643537181,3.945e-05
82.8,0.03057861,0.001,-12.58208798,0.0031415926535897933,-0.05932220884057611,3.945e-05
82.75,0.0304718,0.001,-12.56991429,0.0031415926535897933,-0.05916933985867569,3.945e-05
82.7,0.03077698,0.001,-12.55459902,0.0031415926535897933,-0.0589770210356705,3.945e-05
82.65,0.03111267,0.001,-12.54046184,0.0031415926535897933,-0.0587994958716863,3.945e-05
82.6,0.03125,0.001,-12.53025166,0.0031415926535897933,-0.0586712833230162,3.945e-05
82.55,0.0316925,0.001,-12.51572178,0.0031415926535897933,-0.05848882689750069,3.945e-05
82.5,0.03182983,0.001,-12.5051189,0.0031415926535897933,-0.0583556830872992,3.945e-05
82.45,0.03242493,0.001,-12.49333792,0.0031415926535897933,-0.05820774549250339,3.945e-05
82.4,0.03271484,0.001,-12.48312773,0.0031415926535897933,-0.0580795328182601,3.945e-05
82.35,0.03302002,0.001,-12.47173945,0.0031415926535897933,-0.057936526484995796,3.945e-05
82.3,0.03392029,0.001,-12.45328258,0.0031415926535897933,-0.057704757569739404,3.945e-05
82.25,0.0353241,0.001,-12.43718191,0.0031415926535897933,-0.0575025762236714,3.945e-05
82.2,0.0355072,0.001,-12.42500823,0.0031415926535897933,-0.05734970736734431,3.945e-05
82.15,0.03575134,0.001,-12.41558344,0.0031415926535897933,-0.057231357216163695,3.945e-05
82.1,0.03608704,0.001,-12.40615866,0.0031415926535897933,-0.057113007190556495,3.945e-05
82.05,0.03636169,0.001,-12.39555577,0.0031415926535897933,-0.0569798632547817,3.945e-05
82.0,0.03627014,0.001,-12.38416749,0.0031415926535897933,-0.056836856921517395,3.945e-05
81.95,0.03630066,0.001,-12.36924491,0.0031415926535897933,-0.05664946923447041,3.945e-05
81.9,0.03620911,0.001,-12.35589314,0.0031415926535897933,-0.0564818067191223,3.945e-05
81.85,0.03627014,0.001,-12.34254136,0.0031415926535897933,-0.05631414407820089,3.945e-05
81.8,0.03633118,0.001,-12.33233117,0.0031415926535897933,-0.0561859314039576,3.945e-05
81.75,0.03625488,0.001,-12.31937209,0.0031415926535897933,-0.05602320002456761,3.945e-05
81.7,0.03625488,0.001,-12.31112541,0.0031415926535897933,-0.05591964378355459,3.945e-05
81.65,0.03604126,0.001,-12.30405682,0.0031415926535897933,-0.0558308812015625,3.945e-05
81.6,0.03625488,0.001,-12.29934443,0.0031415926535897933,-0.05577170618875889,3.945e-05
