t,I,dI,a,da,y,dy
163.75,0.04710388,0.001,-14.2628413,0.0031415926535897933,-0.081,3.945e-05
163.8,0.04736328,0.001,-14.2628413,0.0031415926535897933,-0.081,3.945e-05
164.6,0.04872131,0.001,-14.2628413,0.0031415926535897933,-0.081,3.945e-05
164.55,0.04888916,0.001,-14.2628413,0.0031415926535897933,-0.081,3.945e-05
164.5,0.04870605,0.001,-14.2628413,0.0031415926535897933,-0.081,3.945e-05
164.45,0.0486908,0.001,-14.2628413,0.0031415926535897933,-0.081,3.945e-05
164.4,0.04881287,0.001,-14.2628413,0.0031415926535897933,-0.081,3.945e-05
164.65,0.04891968,0.001,-14.2624486,0.0031415926535897933,-0.0809950687384685,3.945e-05
164.35,0.04859924,0.001,-14.2612705,0.0031415926535897933,-0.08098027495387429,3.945e-05
164.3,0.04821777,0.001,-14.2612705,0.0031415926535897933,-0.08098027495387429,3.945e-05
164.7,0.04884338,0.001,-14.2604851,0.0031415926535897933,-0.0809704124308115,3.945e-05
163.85,0.0471344,0.001,-14.25773621,0.0031415926535897933,-0.08093589372566488,3.945e-05
164.25,0.04837036,0.001,-14.25538001,0.0031415926535897933,-0.0809063061564765,3.945e-05
164.75,0.0488739,0.001,-14.25027492,0.0031415926535897933,-0.0808421998821414,3.945e-05
164.9,0.04849243,0.001,-14.24870412,0.0031415926535897933,-0.0808224748360158,3.945e-05
164.95,0.04870605,0.001,-14.24870412,0.0031415926535897933,-0.0808224748360158,3.945e-05
165.0,0.04862976,0.001,-14.24870412,0.0031415926535897933,-0.0808224748360158,3.945e-05
165.05,0.04891968,0.001,-14.24831142,0.0031415926535897933,-0.08081754357448441,3.945e-05
164.85,0.0486908,0.001,-14.24752602,0.0031415926535897933,-0.0808076810514216,3.945e-05
165.1,0.04875183,0.001,-14.24713333,0.0031415926535897933,-0.08080274991546339,3.945e-05
165.15,0.04867554,0.001,-14.24713333,0.0031415926535897933,-0.08080274991546339,3.945e-05
164.8,0.04855347,0.001,-14.24713333,0.0031415926535897933,-0.08080274991546339,3.945e-05
163.9,0.04745483,0.001,-14.24556253,0.0031415926535897933,-0.08078302486933779,3.945e-05
165.2,0.04859924,0.001,-14.24556253,0.0031415926535897933,-0.08078302486933779,3.945e-05
164.2,0.04792786,0.001,-14.24399173,0.0031415926535897933,-0.0807632998232121,3.945e-05
164.15,0.04776001,0.001,-14.24399173,0.0031415926535897933,-0.0807632998232121,3.945e-05
164.1,0.04763794,0.001,-14.24399173,0.0031415926535897933,-0.0807632998232121,3.945e-05
164.05,0.04756165,0.001,-14.24399173,0.0031415926535897933,-0.0807632998232121,3.945e-05
164.0,0.04742432,0.001,-14.24399173,0.0031415926535897933,-0.0807632998232121,3.945e-05
163.95,0.04710388,0.001,-14.24399173,0.0031415926535897933,-0.0807632998232121,3.945e-05
165.25,0.04826355,0.001,-14.24359903,0.0031415926535897933,-0.08075836856168069,3.945e-05
165.3,0.04844666,0.001,-14.24163553,0.0031415926535897933,-0.08073371225402369,3.945e-05
165.35,0.04859924,0.001,-14.23731584,0.0031415926535897933,-0.0806794685027515,3.945e-05
165.4,0.04859924,0.001,-14.22828376,0.0031415926535897933,-0.08056604973867561,3.945e-05
165.45,0.04849243,0.001,-14.22553486,0.0031415926535897933,-0.08053153090795569,3.945e-05
165.5,0.04849243,0.001,-14.22121517,0.0031415926535897933,-0.0804772871566835,3.945e-05
165.55,0.04870605,0.001,-14.21925167,0.0031415926535897933,-0.0804526308490265,3.945e-05
165.6,0.04884338,0.001,-14.21571738,0.0031415926535897933,-0.08040824962081701,3.945e-05
165.65,0.04853821,0.001,-14.20589989,0.0031415926535897933,-0.08028496820810509,3.945e-05
165.7,0.0483551,0.001,-14.20393639,0.0031415926535897933,-0.08026031190044809,3.945e-05
165.75,0.04838562,0.001,-14.1996167,0.0031415926535897933,-0.08020606814917579,3.945e-05
165.8,0.04795837,0.001,-14.18587222,0.0031415926535897933,-0.0800334742467231,3.945e-05
165.85,0.04772949,0.001,-14.17684014,0.0031415926535897933,-0.0799200554826472,3.945e-05
165.9,0.04667664,0.001,-14.15995406,0.0031415926535897933,-0.0797080114879432,3.945e-05
165.95,0.0459137,0.001,-14.1395337,0.0031415926535897933,-0.079451586390603,3.945e-05
166.0,0.04374695,0.001,-14.11518634,0.0031415926535897933,-0.0791458486779487,3.945e-05
166.05,0.04344177,0.001,-14.10261996,0.0031415926535897933,-0.07898804856009019,3.945e-05
166.1,0.04319763,0.001,-14.09162437,0.0031415926535897933,-0.078849973362784,3.945e-05
166.9,0.04391479,0.001,-14.08062879,0.0031415926535897933,-0.07871189829105109,3.945e-05
166.85,0.04364014,0.001,-14.08062879,0.0031415926535897933,-0.07871189829105109,3.945e-05
166.8,0.04397583,0.001,-14.08062879,0.0031415926535897933,-0.07871189829105109,3.945e-05
166.75,0.04360962,0.001,-14.08062879,0.0031415926535897933,-0.07871189829105109,3.945e-05
166.7,0.04360962,0.001,-14.08062879,0.0031415926535897933,-0.07871189829105109,3.945e-05
166.65,0.04351807,0.001,-14.08062879,0.0031415926535897933,-0.07871189829105109,3.945e-05
166.6,0.04350281,0.001,-14.08062879,0.0031415926535897933,-0.07871189829105109,3.945e-05
166.55,0.0433197,0.001,-14.08062879,0.0031415926535897933,-0.07871189829105109,3.945e-05
166.5,0.04307556,0.001,-14.08062879,0.0031415926535897933,-0.07871189829105109,3.945e-05
166.45,0.04316711,0.001,-14.08062879,0.0031415926535897933,-0.07871189829105109,3.945e-05
166.4,0.04266357,0.001,-14.08062879,0.0031415926535897933,-0.07871189829105109,3.945e-05
166.15,0.04290771,0.001,-14.07827259,0.0031415926535897933,-0.07868231072186259,3.945e-05
166.95,0.0438385,0.001,-14.07827259,0.0031415926535897933,-0.07868231072186259,3.945e-05
166.35,0.04216003,0.001,-14.0743456,0.0031415926535897933,-0.07863299823212179,3.945e-05
166.3,0.04249573,0.001,-14.0743456,0.0031415926535897933,-0.07863299823212179,3.945e-05
166.25,0.04232788,0.001,-14.0743456,0.0031415926535897933,-0.07863299823212179,3.945e-05
166.2,0.04251099,0.001,-14.0743456,0.0031415926535897933,-0.07863299823212179,3.945e-05
167.0,0.0435791,0.001,-14.07120401,0.0031415926535897933,-0.0785935482654438,3.945e-05
167.05,0.04318237,0.001,-14.06099382,0.0031415926535897933,-0.07846533559120049,3.945e-05
167.1,0.0431366,0.001,-14.04607125,0.0031415926535897933,-0.0782779480297267,3.945e-05
167.15,0.04165649,0.001,-14.02054579,0.0031415926535897933,-0.07795741653247819,3.945e-05
167.2,0.0410614,0.001,-13.98638094,0.0031415926535897933,-0.077528397407112,3.945e-05
167.25,0.04081726,0.001,-13.95653579,0.0031415926535897933,-0.0771536221585913,3.945e-05
167.3,0.04019165,0.001,-13.92747603,0.0031415926535897933,-0.07678870930756009,3.945e-05
167.35,0.04075623,0.001,-13.90666297,0.0031415926535897933,-0.0765273529486885,3.945e-05
167.4,0.04045105,0.001,-13.8889915,0.0031415926535897933,-0.07630544655649489,3.945e-05
167.45,0.04069519,0.001,-13.87563972,0.0031415926535897933,-0.07613778391557359,3.945e-05
168.0,0.04237366,0.001,-13.87328352,0.0031415926535897933,-0.07610819634638509,3.945e-05
167.95,0.04229736,0.001,-13.87328352,0.0031415926535897933,-0.07610819634638509,3.945e-05
167.9,0.04187012,0.001,-13.87328352,0.0031415926535897933,-0.07610819634638509,3.945e-05
167.85,0.04173279,0.001,-13.87328352,0.0031415926535897933,-0.07610819634638509,3.945e-05
167.8,0.0413208,0.001,-13.87328352,0.0031415926535897933,-0.07610819634638509,3.945e-05
167.6,0.04110718,0.001,-13.87328352,0.0031415926535897933,-0.07610819634638509,3.945e-05
167.7,0.04104614,0.001,-13.87328352,0.0031415926535897933,-0.07610819634638509,3.945e-05
167.65,0.04116821,0.001,-13.87328352,0.0031415926535897933,-0.07610819634638509,3.945e-05
167.55,0.04096985,0.001,-13.87328352,0.0031415926535897933,-0.07610819634638509,3.945e-05
167.5,0.04063416,0.001,-13.87328352,0.0031415926535897933,-0.07610819634638509,3.945e-05
167.75,0.04133606,0.001,-13.87328352,0.0031415926535897933,-0.07610819634638509,3.945e-05
168.05,0.04263306,0.001,-13.86542953,0.0031415926535897933,-0.07600957124133019,3.945e-05
168.1,0.0431366,0.001,-13.83165739,0.0031415926535897933,-0.07558548350306869,3.945e-05
168.15,0.04441833,0.001,-13.80848812,0.0031415926535897933,-0.07529453944943539,3.945e-05
168.2,0.04504395,0.001,-13.79474365,0.0031415926535897933,-0.07512194567255591,3.945e-05
168.25,0.045578,0.001,-13.78178457,0.0031415926535897933,-0.07495921429316589,3.945e-05
168.3,0.04624939,0.001,-13.77118168,0.0031415926535897933,-0.07482607035739121,3.945e-05
168.35,0.04681396,0.001,-13.75468831,0.0031415926535897933,-0.07461895774979178,3.945e-05
168.4,0.04751587,0.001,-13.72248696,0.0031415926535897933,-0.07421459493208259,3.945e-05
168.45,0.0478363,0.001,-13.69381991,0.0031415926535897933,-0.0738546134681561,3.945e-05
168.5,0.04827881,0.001,-13.68007543,0.0031415926535897933,-0.0736820195657034,3.945e-05
