t,I,dI,a,da,y,dy
52.45,0.04441833,0.001,-14.30996523,0.0031415926535897933,-0.081,3.945e-05
52.5,0.04449463,0.001,-14.30996523,0.0031415926535897933,-0.081,3.945e-05
52.55,0.04434204,0.001,-14.30878713,0.0031415926535897933,-0.0809852062154058,3.945e-05
52.6,0.04434204,0.001,-14.30839443,0.0031415926535897933,-0.0809802749538744,3.945e-05
52.65,0.04429626,0.001,-14.30368204,0.0031415926535897933,-0.08092109994107079,3.945e-05
52.7,0.0435791,0.001,-14.28561786,0.0031415926535897933,-0.08069426216177249,3.945e-05
53.05,0.04328918,0.001,-14.28169087,0.0031415926535897933,-0.08064494967203169,3.945e-05
53.0,0.04373169,0.001,-14.28169087,0.0031415926535897933,-0.08064494967203169,3.945e-05
52.95,0.04380798,0.001,-14.28169087,0.0031415926535897933,-0.08064494967203169,3.945e-05
52.9,0.04356384,0.001,-14.28169087,0.0031415926535897933,-0.08064494967203169,3.945e-05
52.85,0.04370117,0.001,-14.28169087,0.0031415926535897933,-0.08064494967203169,3.945e-05
52.8,0.0436554,0.001,-14.28169087,0.0031415926535897933,-0.08064494967203169,3.945e-05
52.75,0.04376221,0.001,-14.28169087,0.0031415926535897933,-0.08064494967203169,3.945e-05
53.1,0.04345703,0.001,-14.28090547,0.0031415926535897933,-0.0806350871489689,3.945e-05
53.15,0.04379272,0.001,-14.26951719,0.0031415926535897933,-0.08049208081570448,3.945e-05
53.2,0.04428101,0.001,-14.25027492,0.0031415926535897933,-0.0802504493773853,3.945e-05
53.25,0.04469299,0.001,-14.23535234,0.0031415926535897933,-0.08006306169033829,3.945e-05
53.3,0.04516602,0.001,-14.22278596,0.0031415926535897933,-0.0799052615724798,3.945e-05
53.35,0.04566956,0.001,-14.20786339,0.0031415926535897933,-0.07971787401100609,3.945e-05
53.4,0.04789734,0.001,-14.19372621,0.0031415926535897933,-0.0795403488470219,3.945e-05
53.45,0.04925537,0.001,-14.17291314,0.0031415926535897933,-0.079278992362577,3.945e-05
53.5,0.05026245,0.001,-14.14738768,0.0031415926535897933,-0.0789584608653285,3.945e-05
53.55,0.05090332,0.001,-14.12186222,0.0031415926535897933,-0.07863792936807999,3.945e-05
53.6,0.04962158,0.001,-14.09790756,0.0031415926535897933,-0.0783371229169572,3.945e-05
53.65,0.04676819,0.001,-14.0719894,0.0031415926535897933,-0.0780116601581773,3.945e-05
53.7,0.04478455,0.001,-14.04292965,0.0031415926535897933,-0.07764674743271939,3.945e-05
53.75,0.04333496,0.001,-14.0115137,0.0031415926535897933,-0.07725224713807301,3.945e-05
53.8,0.04165649,0.001,-13.98009775,0.0031415926535897933,-0.07685774684342671,3.945e-05
53.85,0.04083252,0.001,-13.95339419,0.0031415926535897933,-0.07652242156158388,3.945e-05
53.9,0.04029846,0.001,-13.93061763,0.0031415926535897933,-0.0762364088950553,3.945e-05
53.95,0.03959656,0.001,-13.90784107,0.0031415926535897933,-0.07595039622852669,3.945e-05
54.0,0.03819275,0.001,-13.88270831,0.0031415926535897933,-0.0756347959928096,3.945e-05
54.05,0.03787231,0.001,-13.86503683,0.0031415926535897933,-0.0754128894750427,3.945e-05
54.1,0.03788757,0.001,-13.84972156,0.0031415926535897933,-0.07522057065203759,3.945e-05
54.15,0.03787231,0.001,-13.83911867,0.0031415926535897933,-0.0750874267162628,3.945e-05
54.2,0.03771973,0.001,-13.83244279,0.0031415926535897933,-0.07500359552137541,3.945e-05
54.25,0.03799438,0.001,-13.8214472,0.0031415926535897933,-0.07486552032406919,3.945e-05
54.3,0.03808594,0.001,-13.81359322,0.0031415926535897933,-0.0747668953445876,3.945e-05
54.35,0.03816223,0.001,-13.80456113,0.0031415926535897933,-0.07465347645493849,3.945e-05
54.4,0.03863525,0.001,-13.79631444,0.0031415926535897933,-0.07454992008835219,3.945e-05
54.45,0.03926086,0.001,-13.77510868,0.0031415926535897933,-0.07428363246794921,3.945e-05
54.5,0.04008484,0.001,-13.75311751,0.0031415926535897933,-0.07400748219891011,3.945e-05
54.55,0.04141235,0.001,-13.73348254,0.0031415926535897933,-0.0737609194990594,3.945e-05
54.6,0.04237366,0.001,-13.72877015,0.0031415926535897933,-0.07370174448625579,3.945e-05
55.05,0.04258728,0.001,-13.72877015,0.0031415926535897933,-0.07370174448625579,3.945e-05
55.0,0.04263306,0.001,-13.72877015,0.0031415926535897933,-0.07370174448625579,3.945e-05
54.95,0.04269409,0.001,-13.72877015,0.0031415926535897933,-0.07370174448625579,3.945e-05
54.9,0.04301453,0.001,-13.72877015,0.0031415926535897933,-0.07370174448625579,3.945e-05
55.1,0.04266357,0.001,-13.72877015,0.0031415926535897933,-0.07370174448625579,3.945e-05
54.8,0.04273987,0.001,-13.72877015,0.0031415926535897933,-0.07370174448625579,3.945e-05
